day,month,year,date
3,3,2002,2002-03-03
2,10,1970,1970-10-02
22,6,1984,1984-06-22
21,10,1993,1993-10-21
30,7,2011,2011-07-30
1,9,1991,1991-09-01
18,12,1988,1988-12-18
11,2,2010,2010-02-11
16,1,2021,2021-01-16
7,6,1996,1996-06-07
17,8,1988,1988-08-17
2,1,2000,2000-01-02
13,12,1987,1987-12-13
11,6,2020,2020-06-11
16,5,1985,1985-05-16
2,2,2024,2024-02-02
7,10,1975,1975-10-07
21,10,2012,2012-10-21
23,5,2013,2013-05-23
14,4,2018,2018-04-14
21,12,2006,2006-12-21
19,9,2004,2004-09-19
16,11,2021,2021-11-16
19,7,1974,1974-07-19
5,7,1980,1980-07-05
19,9,1989,1989-09-19
24,12,2015,2015-12-24
23,1,2006,2006-01-23
29,11,2004,2004-11-29
26,3,1986,1986-03-26
4,7,1990,1990-07-04
13,12,1993,1993-12-13
26,8,2003,2003-08-26
14,3,1985,1985-03-14
18,7,2011,2011-07-18
29,4,2001,2001-04-29
19,5,2022,2022-05-19
11,7,1996,1996-07-11
24,1,2022,2022-01-24
3,11,1999,1999-11-03
24,1,2024,2024-01-24
17,2,2009,2009-02-17
27,6,2021,2021-06-27
23,5,2010,2010-05-23
24,9,2002,2002-09-24
7,7,2008,2008-07-07
7,4,1994,1994-04-07
25,9,2001,2001-09-25
26,6,1983,1983-06-26
9,9,1992,1992-09-09
20,6,2013,2013-06-20
7,2,2013,2013-02-07
30,11,2003,2003-11-30
19,7,1984,1984-07-19
2,2,2007,2007-02-02
23,7,1975,1975-07-23
12,7,2020,2020-07-12
18,6,1987,1987-06-18
18,6,1970,1970-06-18
22,12,1989,1989-12-22
16,12,1972,1972-12-16
22,9,1989,1989-09-22
21,3,1978,1978-03-21
28,2,1994,1994-02-28
22,10,2008,2008-10-22
28,2,1997,1997-02-28
19,12,2011,2011-12-19
5,9,2016,2016-09-05
18,4,2018,2018-04-18
4,3,1979,1979-03-04
12,11,2015,2015-11-12
15,9,1977,1977-09-15
15,10,1998,1998-10-15
20,5,2000,2000-05-20
17,11,2017,2017-11-17
2,1,2024,2024-01-02
28,3,1981,1981-03-28
19,1,1979,1979-01-19
29,5,2002,2002-05-29
5,2,2013,2013-02-05
7,10,2018,2018-10-07
18,5,1986,1986-05-18
24,8,2010,2010-08-24
27,2,1980,1980-02-27
15,1,1979,1979-01-15
20,7,1994,1994-07-20
21,3,2011,2011-03-21
2,4,2016,2016-04-02
4,8,2020,2020-08-04
5,10,1975,1975-10-05
7,10,2012,2012-10-07
21,3,2011,2011-03-21
11,4,1970,1970-04-11
5,12,2011,2011-12-05
11,5,2010,2010-05-11
14,10,2000,2000-10-14
7,3,2013,2013-03-07
15,3,2006,2006-03-15
26,2,2019,2019-02-26
24,3,1973,1973-03-24
19,7,1975,1975-07-19
15,5,2024,2024-05-15
13,7,2018,2018-07-13
22,8,1970,1970-08-22
17,5,1988,1988-05-17
25,7,2004,2004-07-25
22,1,2005,2005-01-22
17,6,1985,1985-06-17
8,7,2011,2011-07-08
28,3,1991,1991-03-28
17,4,1983,1983-04-17
23,7,2001,2001-07-23
18,9,2008,2008-09-18
28,1,2019,2019-01-28
19,9,2005,2005-09-19
26,11,2020,2020-11-26
11,7,2016,2016-07-11
15,10,1986,1986-10-15
18,7,2010,2010-07-18
29,6,2022,2022-06-29
1,10,1986,1986-10-01
1,12,2006,2006-12-01
15,6,2001,2001-06-15
14,2,1980,1980-02-14
25,12,1999,1999-12-25
29,10,1982,1982-10-29
11,7,1993,1993-07-11
25,1,1981,1981-01-25
18,3,1990,1990-03-18
10,6,1979,1979-06-10
22,7,1994,1994-07-22
28,7,1977,1977-07-28
4,11,2000,2000-11-04
12,8,2021,2021-08-12
16,1,1980,1980-01-16
20,7,1978,1978-07-20
21,6,1971,1971-06-21
14,6,2022,2022-06-14
31,1,2002,2002-01-31
8,12,1998,1998-12-08
31,12,1988,1988-12-31
8,7,2010,2010-07-08
29,7,2010,2010-07-29
6,5,1982,1982-05-06
12,4,2024,2024-04-12
13,7,2011,2011-07-13
3,1,2013,2013-01-03
21,7,1998,1998-07-21
5,3,2000,2000-03-05
25,3,2012,2012-03-25
20,1,1986,1986-01-20
8,8,2024,2024-08-08
31,8,2003,2003-08-31
20,3,1974,1974-03-20
13,9,1971,1971-09-13
1,3,2016,2016-03-01
6,5,2022,2022-05-06
9,9,1996,1996-09-09
24,5,1989,1989-05-24
29,7,1999,1999-07-29
15,4,1975,1975-04-15
24,7,2024,2024-07-24
28,2,1989,1989-02-28
27,3,1970,1970-03-27
19,3,1979,1979-03-19
8,1,1979,1979-01-08
13,12,1999,1999-12-13
18,8,2007,2007-08-18
5,10,1970,1970-10-05
24,8,1997,1997-08-24
10,9,1987,1987-09-10
8,9,2008,2008-09-08
29,8,2012,2012-08-29
13,5,1989,1989-05-13
3,3,2024,2024-03-03
28,6,1977,1977-06-28
30,1,2009,2009-01-30
26,5,2013,2013-05-26
17,8,1975,1975-08-17
26,7,2001,2001-07-26
25,9,2003,2003-09-25
1,6,2022,2022-06-01
7,1,1971,1971-01-07
3,3,2003,2003-03-03
11,1,2011,2011-01-11
11,6,2023,2023-06-11
7,3,2023,2023-03-07
20,4,1971,1971-04-20
5,1,2012,2012-01-05
15,5,1993,1993-05-15
28,7,2003,2003-07-28
1,3,2014,2014-03-01
20,5,1994,1994-05-20
18,2,2004,2004-02-18
14,1,2014,2014-01-14
11,5,2018,2018-05-11
30,11,1999,1999-11-30
8,3,2022,2022-03-08
31,10,2023,2023-10-31
26,8,2024,2024-08-26
17,7,1997,1997-07-17
12,6,1989,1989-06-12
18,4,2023,2023-04-18
17,6,1991,1991-06-17
12,1,1985,1985-01-12
11,5,1980,1980-05-11
8,7,1999,1999-07-08
22,2,2020,2020-02-22
24,8,2023,2023-08-24
21,5,1985,1985-05-21
26,6,1990,1990-06-26
6,9,2001,2001-09-06
9,5,1979,1979-05-09
16,4,1992,1992-04-16
4,11,1977,1977-11-04
22,7,2013,2013-07-22
1,6,2009,2009-06-01
24,5,1996,1996-05-24
15,7,2018,2018-07-15
27,8,2002,2002-08-27
26,12,2018,2018-12-26
3,2,1999,1999-02-03
19,4,2011,2011-04-19
26,5,1992,1992-05-26
20,12,2019,2019-12-20
4,5,2001,2001-05-04
28,1,1978,1978-01-28
26,11,2012,2012-11-26
2,9,2020,2020-09-02
12,7,2003,2003-07-12
17,11,1990,1990-11-17
4,7,2008,2008-07-04
10,6,2006,2006-06-10
3,9,2023,2023-09-03
21,11,2020,2020-11-21
20,10,2007,2007-10-20
5,9,2003,2003-09-05
24,7,2019,2019-07-24
1,11,2006,2006-11-01
9,1,1993,1993-01-09
10,8,2005,2005-08-10
10,11,2020,2020-11-10
6,3,2001,2001-03-06
1,12,2019,2019-12-01
3,12,1993,1993-12-03
8,7,2004,2004-07-08
13,8,2003,2003-08-13
28,5,2012,2012-05-28
30,8,2008,2008-08-30
26,5,1972,1972-05-26
6,4,2021,2021-04-06
20,8,1979,1979-08-20
12,4,2004,2004-04-12
20,5,1992,1992-05-20
19,5,1993,1993-05-19
18,9,1974,1974-09-18
24,3,2016,2016-03-24
31,7,2020,2020-07-31
29,1,1972,1972-01-29
30,5,2011,2011-05-30
28,4,1986,1986-04-28
29,5,1994,1994-05-29
7,1,2013,2013-01-07
15,9,2002,2002-09-15
25,9,2012,2012-09-25
20,2,2023,2023-02-20
2,12,1971,1971-12-02
4,9,2015,2015-09-04
2,4,1993,1993-04-02
5,10,1991,1991-10-05
25,5,2023,2023-05-25
29,12,1973,1973-12-29
14,2,1977,1977-02-14
14,5,1978,1978-05-14
26,11,2016,2016-11-26
27,11,1995,1995-11-27
27,12,2021,2021-12-27
13,2,2013,2013-02-13
15,1,1987,1987-01-15
12,7,1977,1977-07-12
25,3,1999,1999-03-25
10,10,2004,2004-10-10
8,8,1984,1984-08-08
17,4,2015,2015-04-17
12,7,2023,2023-07-12
14,9,2000,2000-09-14
9,3,1978,1978-03-09
25,3,1991,1991-03-25
1,10,2009,2009-10-01
18,4,1987,1987-04-18
28,4,1978,1978-04-28
15,8,1989,1989-08-15
14,7,2012,2012-07-14
18,2,1981,1981-02-18
1,4,1991,1991-04-01
11,4,1976,1976-04-11
21,7,1989,1989-07-21
27,5,2014,2014-05-27
12,10,1975,1975-10-12
26,5,1991,1991-05-26
27,4,1988,1988-04-27
28,3,1991,1991-03-28
4,4,1979,1979-04-04
9,10,2002,2002-10-09
29,8,1995,1995-08-29
19,11,2017,2017-11-19
3,5,2015,2015-05-03
19,7,1987,1987-07-19
7,7,1998,1998-07-07
27,9,1981,1981-09-27
15,8,2020,2020-08-15
28,2,2012,2012-02-28
22,11,1984,1984-11-22
21,10,1977,1977-10-21
24,10,1989,1989-10-24
18,4,2017,2017-04-18
3,9,1997,1997-09-03
7,5,1974,1974-05-07
12,12,1981,1981-12-12
10,1,2020,2020-01-10
17,5,1976,1976-05-17
16,11,2014,2014-11-16
26,8,1978,1978-08-26
18,6,1985,1985-06-18
4,2,1975,1975-02-04
25,12,1970,1970-12-25
23,9,2021,2021-09-23
12,12,2021,2021-12-12
1,11,2018,2018-11-01
6,11,1971,1971-11-06
22,1,1981,1981-01-22
29,7,2011,2011-07-29
20,3,2001,2001-03-20
18,5,2009,2009-05-18
28,8,1981,1981-08-28
11,8,1988,1988-08-11
1,7,1998,1998-07-01
6,4,1980,1980-04-06
4,9,2015,2015-09-04
23,1,2022,2022-01-23
11,8,1992,1992-08-11
14,12,2013,2013-12-14
1,8,1983,1983-08-01
23,11,1971,1971-11-23
27,12,2017,2017-12-27
25,11,1976,1976-11-25
16,10,1979,1979-10-16
23,11,1994,1994-11-23
13,8,1979,1979-08-13
9,7,2012,2012-07-09
8,4,1972,1972-04-08
12,12,1978,1978-12-12
6,7,1977,1977-07-06
24,7,1996,1996-07-24
28,3,2018,2018-03-28
13,11,2016,2016-11-13
26,10,1996,1996-10-26
1,10,2018,2018-10-01
16,10,1980,1980-10-16
20,8,2018,2018-08-20
30,11,1980,1980-11-30
23,3,1984,1984-03-23
25,3,1972,1972-03-25
30,7,2013,2013-07-30
9,1,2011,2011-01-09
29,7,1985,1985-07-29
21,4,1976,1976-04-21
21,12,1984,1984-12-21
20,6,1981,1981-06-20
8,7,2002,2002-07-08
26,10,2012,2012-10-26
27,6,1996,1996-06-27
9,3,1992,1992-03-09
15,8,2023,2023-08-15
1,9,1978,1978-09-01
28,9,1985,1985-09-28
7,10,2004,2004-10-07
14,9,2007,2007-09-14
27,4,2009,2009-04-27
30,3,1980,1980-03-30
31,5,1993,1993-05-31
18,10,1980,1980-10-18
19,6,2019,2019-06-19
18,9,1979,1979-09-18
12,1,1982,1982-01-12
19,5,2013,2013-05-19
24,7,1990,1990-07-24
26,7,2017,2017-07-26
3,7,1998,1998-07-03
19,8,2011,2011-08-19
18,5,1979,1979-05-18
15,8,1970,1970-08-15
17,8,2001,2001-08-17
26,4,1991,1991-04-26
12,11,2022,2022-11-12
11,4,2019,2019-04-11
23,1,2011,2011-01-23
31,3,1978,1978-03-31
5,3,2005,2005-03-05
17,2,2016,2016-02-17
4,6,1983,1983-06-04
22,12,2002,2002-12-22
27,10,1992,1992-10-27
24,5,1984,1984-05-24
13,5,1999,1999-05-13
20,7,1981,1981-07-20
10,6,2015,2015-06-10
30,5,2017,2017-05-30
13,3,1996,1996-03-13
2,9,1997,1997-09-02
8,11,1996,1996-11-08
28,11,2003,2003-11-28
5,7,1970,1970-07-05
16,5,1992,1992-05-16
16,7,1995,1995-07-16
10,12,2020,2020-12-10
26,10,1995,1995-10-26
18,6,2006,2006-06-18
9,8,2008,2008-08-09
15,11,2017,2017-11-15
10,3,2002,2002-03-10
24,4,1987,1987-04-24
22,7,1971,1971-07-22
1,12,1994,1994-12-01
20,4,2021,2021-04-20
28,2,1980,1980-02-28
9,11,1998,1998-11-09
8,2,1981,1981-02-08
18,2,2009,2009-02-18
2,3,1988,1988-03-02
28,7,1978,1978-07-28
13,1,1980,1980-01-13
9,8,1999,1999-08-09
19,5,2011,2011-05-19
28,5,2017,2017-05-28
28,2,2008,2008-02-28
29,1,2023,2023-01-29
4,4,1982,1982-04-04
9,5,1970,1970-05-09
17,10,1986,1986-10-17
9,7,1981,1981-07-09
2,4,1978,1978-04-02
2,3,2024,2024-03-02
23,2,1997,1997-02-23
22,6,2022,2022-06-22
5,10,1974,1974-10-05
9,2,1985,1985-02-09
16,11,1988,1988-11-16
5,7,1970,1970-07-05
11,2,2016,2016-02-11
5,10,1979,1979-10-05
15,7,2008,2008-07-15
30,6,2024,2024-06-30
2,2,2011,2011-02-02
10,11,2000,2000-11-10
19,10,1971,1971-10-19
27,9,1975,1975-09-27
1,8,2020,2020-08-01
17,8,1988,1988-08-17
24,2,1985,1985-02-24
15,6,1995,1995-06-15
25,9,2004,2004-09-25
27,2,2015,2015-02-27
9,6,2007,2007-06-09
14,9,2014,2014-09-14
12,6,1998,1998-06-12
2,11,1993,1993-11-02
15,11,2007,2007-11-15
1,11,2021,2021-11-01
6,11,2020,2020-11-06
8,9,1987,1987-09-08
27,12,2022,2022-12-27
1,1,1988,1988-01-01
4,2,2018,2018-02-04
31,5,1987,1987-05-31
1,10,1991,1991-10-01
25,1,1998,1998-01-25
13,5,1995,1995-05-13
11,10,1998,1998-10-11
5,8,1999,1999-08-05
15,11,1986,1986-11-15
18,2,2019,2019-02-18
19,3,1973,1973-03-19
12,11,2015,2015-11-12
30,10,1970,1970-10-30
22,7,2009,2009-07-22
27,9,1977,1977-09-27
20,12,1972,1972-12-20
14,11,2014,2014-11-14
2,9,1979,1979-09-02
18,5,2006,2006-05-18
30,4,1989,1989-04-30
23,12,2020,2020-12-23
31,10,1978,1978-10-31
26,12,2004,2004-12-26
2,3,1977,1977-03-02
16,9,1986,1986-09-16
20,11,1988,1988-11-20
5,6,1993,1993-06-05
31,3,2008,2008-03-31
8,6,1982,1982-06-08
13,12,2008,2008-12-13
3,1,2004,2004-01-03
24,1,1993,1993-01-24
5,3,1993,1993-03-05
5,12,1981,1981-12-05
11,10,1990,1990-10-11
1,6,1985,1985-06-01
3,1,1998,1998-01-03
10,4,2006,2006-04-10
23,7,2001,2001-07-23
16,8,2024,2024-08-16
17,6,2006,2006-06-17
28,6,2002,2002-06-28
28,7,1989,1989-07-28
3,9,1978,1978-09-03
10,12,1987,1987-12-10
9,12,2009,2009-12-09
2,7,1983,1983-07-02
6,3,2003,2003-03-06
22,10,1999,1999-10-22
2,10,2002,2002-10-02
26,6,1971,1971-06-26
31,12,2007,2007-12-31
24,5,2024,2024-05-24
25,2,1983,1983-02-25
6,3,2012,2012-03-06
4,1,2013,2013-01-04
28,12,2023,2023-12-28
12,3,1979,1979-03-12
19,6,1972,1972-06-19
24,10,1982,1982-10-24
16,5,2002,2002-05-16
20,2,1988,1988-02-20
7,10,2014,2014-10-07
3,1,2001,2001-01-03
20,2,1971,1971-02-20
6,7,2009,2009-07-06
7,9,1971,1971-09-07
8,1,2015,2015-01-08
5,6,2022,2022-06-05
21,11,1985,1985-11-21
25,4,1998,1998-04-25
15,4,1978,1978-04-15
21,9,1988,1988-09-21
5,11,2007,2007-11-05
3,5,1982,1982-05-03
11,10,1977,1977-10-11
27,2,1995,1995-02-27
6,11,1999,1999-11-06
12,8,1973,1973-08-12
17,4,1995,1995-04-17
13,6,1995,1995-06-13
13,1,1984,1984-01-13
31,12,1991,1991-12-31
31,3,2008,2008-03-31
28,8,2008,2008-08-28
11,1,2006,2006-01-11
12,2,2001,2001-02-12
28,12,2018,2018-12-28
25,11,1999,1999-11-25
19,8,1990,1990-08-19
9,8,1995,1995-08-09
24,8,2022,2022-08-24
27,11,1973,1973-11-27
22,11,1995,1995-11-22
27,2,2013,2013-02-27
13,8,1996,1996-08-13
2,10,1980,1980-10-02
29,5,1997,1997-05-29
7,9,1973,1973-09-07
16,2,1989,1989-02-16
13,10,1992,1992-10-13
28,9,2010,2010-09-28
17,8,2020,2020-08-17
5,9,1987,1987-09-05
6,12,2010,2010-12-06
13,4,2018,2018-04-13
16,10,2002,2002-10-16
22,8,2007,2007-08-22
3,2,2015,2015-02-03
9,12,1997,1997-12-09
24,11,1985,1985-11-24
6,1,1980,1980-01-06
26,8,2014,2014-08-26
8,2,1971,1971-02-08
29,3,1980,1980-03-29
21,1,1995,1995-01-21
12,3,2008,2008-03-12
29,3,2014,2014-03-29
24,6,2014,2014-06-24
6,4,1991,1991-04-06
22,3,2005,2005-03-22
22,7,1984,1984-07-22
15,8,1972,1972-08-15
11,1,2002,2002-01-11
24,2,2010,2010-02-24
5,8,1995,1995-08-05
7,10,1996,1996-10-07
17,6,2002,2002-06-17
9,12,1970,1970-12-09
11,9,2017,2017-09-11
30,9,1970,1970-09-30
31,10,2017,2017-10-31
5,4,1970,1970-04-05
17,7,2001,2001-07-17
12,5,2001,2001-05-12
23,2,2008,2008-02-23
14,6,1982,1982-06-14
26,10,1971,1971-10-26
1,3,2009,2009-03-01
15,10,2018,2018-10-15
7,10,2021,2021-10-07
8,9,2000,2000-09-08
27,3,1987,1987-03-27
9,11,1970,1970-11-09
13,1,1982,1982-01-13
9,4,1974,1974-04-09
25,10,1991,1991-10-25
6,9,2002,2002-09-06
28,10,1990,1990-10-28
2,6,1981,1981-06-02
13,4,2019,2019-04-13
26,1,1971,1971-01-26
20,7,1974,1974-07-20
21,9,2014,2014-09-21
26,8,2009,2009-08-26
20,3,1976,1976-03-20
26,6,1996,1996-06-26
2,11,2006,2006-11-02
26,3,2021,2021-03-26
17,2,1986,1986-02-17
13,11,2018,2018-11-13
20,11,2000,2000-11-20
9,5,2006,2006-05-09
14,12,1985,1985-12-14
21,2,2016,2016-02-21
26,1,1987,1987-01-26
13,3,1976,1976-03-13
18,3,2005,2005-03-18
6,1,1990,1990-01-06
9,8,1981,1981-08-09
15,9,2013,2013-09-15
20,10,1980,1980-10-20
7,11,2003,2003-11-07
19,8,1990,1990-08-19
3,2,1977,1977-02-03
26,2,1980,1980-02-26
20,3,2019,2019-03-20
30,10,2013,2013-10-30
26,4,2001,2001-04-26
18,12,1972,1972-12-18
3,4,1978,1978-04-03
30,10,1998,1998-10-30
8,9,1978,1978-09-08
5,6,2018,2018-06-05
8,5,1993,1993-05-08
22,11,1988,1988-11-22
17,2,2002,2002-02-17
29,12,2013,2013-12-29
15,6,1998,1998-06-15
19,12,1992,1992-12-19
1,11,1990,1990-11-01
8,5,2004,2004-05-08
27,3,2006,2006-03-27
26,11,1993,1993-11-26
10,11,2018,2018-11-10
24,6,2015,2015-06-24
19,6,1986,1986-06-19
1,12,1985,1985-12-01
29,1,2011,2011-01-29
30,11,1975,1975-11-30
5,8,1985,1985-08-05
5,7,1992,1992-07-05
6,1,2009,2009-01-06
15,3,1972,1972-03-15
29,10,2001,2001-10-29
29,7,1999,1999-07-29
28,4,1989,1989-04-28
19,2,2015,2015-02-19
22,10,2005,2005-10-22
23,3,1981,1981-03-23
29,10,1999,1999-10-29
5,6,1988,1988-06-05
22,8,2000,2000-08-22
14,7,1992,1992-07-14
4,8,2003,2003-08-04
25,6,2021,2021-06-25
26,5,2024,2024-05-26
12,9,1990,1990-09-12
24,4,2015,2015-04-24
9,5,2006,2006-05-09
17,10,2019,2019-10-17
21,3,2002,2002-03-21
15,2,2016,2016-02-15
16,5,1999,1999-05-16
5,6,1990,1990-06-05
9,11,2007,2007-11-09
11,2,2023,2023-02-11
29,4,1975,1975-04-29
28,12,1984,1984-12-28
1,7,2024,2024-07-01
25,11,1990,1990-11-25
7,4,2011,2011-04-07
19,7,1989,1989-07-19
18,11,1976,1976-11-18
22,10,1975,1975-10-22
17,6,1976,1976-06-17
14,3,1977,1977-03-14
7,4,1981,1981-04-07
11,9,2003,2003-09-11
12,2,2005,2005-02-12
25,11,1982,1982-11-25
6,11,2015,2015-11-06
6,5,1991,1991-05-06
27,6,2020,2020-06-27
11,12,2010,2010-12-11
28,2,2023,2023-02-28
16,8,1991,1991-08-16
23,9,2015,2015-09-23
28,1,1998,1998-01-28
7,9,1994,1994-09-07
5,9,1981,1981-09-05
21,3,1970,1970-03-21
1,4,2019,2019-04-01
21,1,1997,1997-01-21
6,1,1992,1992-01-06
25,3,1982,1982-03-25
19,1,1973,1973-01-19
12,6,2011,2011-06-12
12,5,1971,1971-05-12
10,3,2007,2007-03-10
29,6,1996,1996-06-29
22,5,2013,2013-05-22
12,6,1990,1990-06-12
8,4,2007,2007-04-08
25,4,1976,1976-04-25
17,8,2014,2014-08-17
6,6,1970,1970-06-06
5,9,1985,1985-09-05
18,10,2019,2019-10-18
30,4,1997,1997-04-30
21,11,2001,2001-11-21
22,3,2017,2017-03-22
9,6,1995,1995-06-09
9,12,1987,1987-12-09
15,2,1978,1978-02-15
5,5,2003,2003-05-05
5,6,1987,1987-06-05
5,3,2003,2003-03-05
16,2,1995,1995-02-16
12,4,2022,2022-04-12
28,9,1977,1977-09-28
20,8,1998,1998-08-20
17,4,2023,2023-04-17
10,11,1994,1994-11-10
8,9,1995,1995-09-08
11,6,2023,2023-06-11
15,5,2013,2013-05-15
14,10,1974,1974-10-14
1,4,2002,2002-04-01
2,10,1998,1998-10-02
10,11,2020,2020-11-10
20,10,2023,2023-10-20
27,6,2007,2007-06-27
9,12,1989,1989-12-09
5,3,2023,2023-03-05
7,4,2007,2007-04-07
19,10,1995,1995-10-19
29,11,1983,1983-11-29
4,3,1982,1982-03-04
30,6,1983,1983-06-30
3,12,2018,2018-12-03
6,9,2017,2017-09-06
21,2,2011,2011-02-21
14,7,1999,1999-07-14
28,9,2020,2020-09-28
13,5,1991,1991-05-13
16,6,2003,2003-06-16
19,8,2018,2018-08-19
10,7,1984,1984-07-10
14,3,2004,2004-03-14
20,7,1984,1984-07-20
16,5,2007,2007-05-16
2,8,1982,1982-08-02
29,10,2015,2015-10-29
13,3,2020,2020-03-13
30,9,2001,2001-09-30
17,5,2020,2020-05-17
29,9,1995,1995-09-29
1,10,1973,1973-10-01
29,7,2003,2003-07-29
17,5,1978,1978-05-17
7,11,2020,2020-11-07
21,3,2017,2017-03-21
12,4,2012,2012-04-12
8,4,1970,1970-04-08
25,5,2021,2021-05-25
12,11,2005,2005-11-12
17,5,2021,2021-05-17
22,5,1985,1985-05-22
24,9,2016,2016-09-24
18,5,2014,2014-05-18
30,4,1976,1976-04-30
2,1,2006,2006-01-02
20,7,1998,1998-07-20
30,1,1989,1989-01-30
31,3,2021,2021-03-31
1,10,1981,1981-10-01
25,3,2011,2011-03-25
24,3,2007,2007-03-24
7,1,1983,1983-01-07
5,6,2022,2022-06-05
28,3,2006,2006-03-28
15,8,1988,1988-08-15
10,9,1978,1978-09-10
1,10,1991,1991-10-01
9,11,1996,1996-11-09
9,11,1991,1991-11-09
26,2,2009,2009-02-26
25,8,1988,1988-08-25
13,2,2000,2000-02-13
27,7,2005,2005-07-27
23,4,1975,1975-04-23
27,5,2011,2011-05-27
4,5,2014,2014-05-04
8,4,1990,1990-04-08
12,4,2009,2009-04-12
27,7,1987,1987-07-27
23,2,1998,1998-02-23
20,11,1989,1989-11-20
24,3,2018,2018-03-24
25,4,2003,2003-04-25
28,9,1994,1994-09-28
28,2,1991,1991-02-28
6,4,1980,1980-04-06
24,3,1996,1996-03-24
4,12,1972,1972-12-04
28,11,1975,1975-11-28
14,9,1974,1974-09-14
20,10,2001,2001-10-20
9,10,2023,2023-10-09
7,12,2016,2016-12-07
29,11,1989,1989-11-29
15,6,2015,2015-06-15
9,6,1985,1985-06-09
21,9,1985,1985-09-21
11,10,2013,2013-10-11
6,12,2009,2009-12-06
6,9,2005,2005-09-06
5,1,1981,1981-01-05
10,4,2001,2001-04-10
28,1,1979,1979-01-28
1,6,2004,2004-06-01
27,5,1975,1975-05-27
16,9,2022,2022-09-16
22,3,2011,2011-03-22
15,5,2003,2003-05-15
13,3,1980,1980-03-13
16,1,1983,1983-01-16
28,11,2005,2005-11-28
10,6,1970,1970-06-10
2,9,1973,1973-09-02
9,1,1984,1984-01-09
17,6,1974,1974-06-17
26,11,2022,2022-11-26
7,5,1991,1991-05-07
3,9,2017,2017-09-03
25,1,1986,1986-01-25
22,9,1991,1991-09-22
14,6,1987,1987-06-14
16,5,2006,2006-05-16
20,5,1973,1973-05-20
5,11,2012,2012-11-05
23,7,1988,1988-07-23
7,1,2024,2024-01-07
11,5,1999,1999-05-11
7,10,2011,2011-10-07
19,7,2020,2020-07-19
19,2,1983,1983-02-19
18,6,1987,1987-06-18
8,7,1990,1990-07-08
11,2,2022,2022-02-11
18,7,2005,2005-07-18
2,2,2000,2000-02-02
12,8,1989,1989-08-12
24,9,2000,2000-09-24
15,8,2017,2017-08-15
5,1,1972,1972-01-05
11,9,2011,2011-09-11
27,7,1989,1989-07-27
27,11,2001,2001-11-27
11,11,2021,2021-11-11
1,6,1985,1985-06-01
27,5,1977,1977-05-27
17,7,2022,2022-07-17
4,11,1975,1975-11-04
5,3,2004,2004-03-05
2,10,1975,1975-10-02
4,1,2004,2004-01-04
9,1,1975,1975-01-09
20,6,2011,2011-06-20
18,6,1977,1977-06-18
19,11,1989,1989-11-19
7,7,2009,2009-07-07
5,8,1983,1983-08-05
18,7,2003,2003-07-18
15,9,2015,2015-09-15
4,4,2014,2014-04-04
23,8,1991,1991-08-23
4,8,1985,1985-08-04
4,4,2021,2021-04-04
7,7,2004,2004-07-07
19,11,1993,1993-11-19
3,4,2021,2021-04-03
28,10,1978,1978-10-28
24,12,2023,2023-12-24
28,4,1972,1972-04-28
15,12,2000,2000-12-15
30,10,2017,2017-10-30
18,6,2017,2017-06-18
9,3,2018,2018-03-09
1,2,1982,1982-02-01
9,4,2020,2020-04-09
4,9,1999,1999-09-04
22,3,2018,2018-03-22
3,2,1972,1972-02-03
16,2,2014,2014-02-16
24,10,2007,2007-10-24
21,4,2012,2012-04-21
6,10,1981,1981-10-06
8,3,1971,1971-03-08
19,4,1990,1990-04-19
8,4,1977,1977-04-08
24,12,2006,2006-12-24
10,8,1988,1988-08-10
26,12,1973,1973-12-26
31,3,2010,2010-03-31
5,7,1989,1989-07-05
24,10,2004,2004-10-24
12,3,1994,1994-03-12
3,7,2014,2014-07-03
28,11,1987,1987-11-28
29,9,2022,2022-09-29
28,3,1985,1985-03-28
1,3,2015,2015-03-01
17,6,1973,1973-06-17
31,3,1988,1988-03-31
3,9,1983,1983-09-03
4,2,2018,2018-02-04
5,5,2021,2021-05-05
12,6,1974,1974-06-12
29,4,1999,1999-04-29
26,10,2000,2000-10-26
27,5,2012,2012-05-27
27,3,1972,1972-03-27
27,6,1984,1984-06-27
27,9,2006,2006-09-27
14,8,2008,2008-08-14
20,6,1979,1979-06-20
9,5,1981,1981-05-09
13,9,2003,2003-09-13
1,8,1987,1987-08-01
16,4,1974,1974-04-16
8,5,1979,1979-05-08
25,8,1985,1985-08-25
23,1,2003,2003-01-23
6,8,2010,2010-08-06
4,2,2012,2012-02-04
29,12,1990,1990-12-29
9,8,1995,1995-08-09
22,10,2013,2013-10-22
13,9,2015,2015-09-13
8,4,2022,2022-04-08
29,6,2014,2014-06-29
11,2,2013,2013-02-11
7,10,1975,1975-10-07
21,4,1993,1993-04-21
19,3,1998,1998-03-19
28,5,1997,1997-05-28
6,10,2015,2015-10-06
21,12,1977,1977-12-21
19,7,2015,2015-07-19
6,9,2019,2019-09-06
11,9,2001,2001-09-11
27,10,1985,1985-10-27
28,7,1988,1988-07-28
21,11,1999,1999-11-21
2,8,1980,1980-08-02
15,9,1984,1984-09-15
1,1,1989,1989-01-01
8,6,2011,2011-06-08
8,12,2022,2022-12-08
26,3,2013,2013-03-26
3,4,2001,2001-04-03
20,9,1972,1972-09-20
9,1,2006,2006-01-09
12,5,1984,1984-05-12
18,1,1984,1984-01-18
