birth_day,birth_month,birth_year,birth_date
12,10,1960,1960-10-12
27,5,1997,1997-05-27
29,5,2009,2009-05-29
8,1,2015,2015-01-08
3,1,1914,1914-01-03
26,1,1929,1929-01-26
15,4,1934,1934-04-15
14,2,1920,1920-02-14
6,3,1985,1985-03-06
11,3,1971,1971-03-11
15,5,2006,2006-05-15
13,8,2004,2004-08-13
28,8,2001,2001-08-28
21,6,2020,2020-06-21
15,7,1975,1975-07-15
13,11,1956,1956-11-13
8,7,1989,1989-07-08
24,3,1922,1922-03-24
1,1,1955,1955-01-01
26,3,2001,2001-03-26
20,10,1926,1926-10-20
4,12,1997,1997-12-04
12,2,1999,1999-02-12
7,7,1935,1935-07-07
27,2,1977,1977-02-27
23,7,1933,1933-07-23
28,7,1985,1985-07-28
4,1,2024,2024-01-04
16,11,2013,2013-11-16
21,3,1912,1912-03-21
29,7,2004,2004-07-29
13,3,1926,1926-03-13
19,8,1975,1975-08-19
27,3,1980,1980-03-27
9,12,1961,1961-12-09
22,3,1987,1987-03-22
20,11,1999,1999-11-20
5,2,1931,1931-02-05
8,8,1922,1922-08-08
7,5,2010,2010-05-07
25,2,1950,1950-02-25
13,2,1919,1919-02-13
16,7,1916,1916-07-16
26,8,1973,1973-08-26
21,4,1980,1980-04-21
26,8,1960,1960-08-26
17,2,1910,1910-02-17
30,12,2008,2008-12-30
21,5,1986,1986-05-21
1,2,2021,2021-02-01
15,3,2004,2004-03-15
2,4,1936,1936-04-02
20,6,1955,1955-06-20
12,5,1928,1928-05-12
26,12,1966,1966-12-26
3,8,1946,1946-08-03
6,4,1941,1941-04-06
7,11,1981,1981-11-07
15,1,1947,1947-01-15
11,3,1926,1926-03-11
21,4,1986,1986-04-21
8,6,1934,1934-06-08
7,9,1989,1989-09-07
30,4,1967,1967-04-30
2,8,1957,1957-08-02
10,1,1951,1951-01-10
3,10,1910,1910-10-03
9,6,1961,1961-06-09
4,6,1965,1965-06-04
12,4,1926,1926-04-12
3,7,1988,1988-07-03
28,10,1952,1952-10-28
8,7,2019,2019-07-08
5,4,1944,1944-04-05
1,2,1970,1970-02-01
23,10,1997,1997-10-23
25,10,1957,1957-10-25
18,8,1967,1967-08-18
5,10,1977,1977-10-05
1,5,2004,2004-05-01
11,7,2000,2000-07-11
14,1,1959,1959-01-14
27,6,1912,1912-06-27
19,7,1966,1966-07-19
24,2,1980,1980-02-24
20,7,1936,1936-07-20
14,7,1953,1953-07-14
1,1,1980,1980-01-01
10,1,2010,2010-01-10
5,10,1927,1927-10-05
11,7,2005,2005-07-11
8,7,1968,1968-07-08
11,4,2016,2016-04-11
11,2,1934,1934-02-11
30,5,2014,2014-05-30
29,6,2014,2014-06-29
11,10,2003,2003-10-11
19,7,1968,1968-07-19
2,4,2012,2012-04-02
20,11,1978,1978-11-20
25,2,1987,1987-02-25
14,10,1939,1939-10-14
31,3,2012,2012-03-31
25,4,1966,1966-04-25
10,12,1936,1936-12-10
4,8,1969,1969-08-04
9,2,1926,1926-02-09
14,8,2008,2008-08-14
18,11,1919,1919-11-18
5,1,1962,1962-01-05
8,8,1947,1947-08-08
25,5,1920,1920-05-25
9,3,1916,1916-03-09
14,9,1909,1909-09-14
28,10,1910,1910-10-28
9,6,2016,2016-06-09
3,5,1950,1950-05-03
2,5,2006,2006-05-02
5,6,1958,1958-06-05
20,4,1923,1923-04-20
13,11,1965,1965-11-13
25,5,1997,1997-05-25
7,8,2017,2017-08-07
18,5,1941,1941-05-18
11,12,1917,1917-12-11
5,2,2024,2024-02-05
20,5,2008,2008-05-20
24,2,2008,2008-02-24
9,12,1992,1992-12-09
30,3,1994,1994-03-30
12,4,1966,1966-04-12
13,4,2020,2020-04-13
5,11,1909,1909-11-05
25,9,1982,1982-09-25
10,1,2021,2021-01-10
24,6,1978,1978-06-24
11,3,1980,1980-03-11
2,9,2024,2024-09-02
22,7,1945,1945-07-22
26,6,1972,1972-06-26
25,1,1957,1957-01-25
26,3,1938,1938-03-26
15,10,1918,1918-10-15
19,1,2021,2021-01-19
25,3,1941,1941-03-25
18,5,1976,1976-05-18
12,8,2017,2017-08-12
20,11,1927,1927-11-20
17,5,1979,1979-05-17
23,11,1914,1914-11-23
9,11,1949,1949-11-09
17,9,1950,1950-09-17
9,10,1928,1928-10-09
28,4,2015,2015-04-28
29,1,2019,2019-01-29
15,4,1971,1971-04-15
13,1,1986,1986-01-13
18,1,1977,1977-01-18
4,8,2016,2016-08-04
20,2,1935,1935-02-20
10,8,1921,1921-08-10
4,2,1980,1980-02-04
23,6,1954,1954-06-23
28,6,1934,1934-06-28
8,7,1921,1921-07-08
21,1,1911,1911-01-21
27,7,1985,1985-07-27
10,12,2008,2008-12-10
2,7,1969,1969-07-02
17,4,1951,1951-04-17
13,9,1948,1948-09-13
10,5,2006,2006-05-10
8,11,2019,2019-11-08
26,8,2023,2023-08-26
24,9,1977,1977-09-24
17,10,2004,2004-10-17
21,7,1918,1918-07-21
20,2,1991,1991-02-20
17,1,1942,1942-01-17
22,8,2010,2010-08-22
21,3,1943,1943-03-21
12,4,2018,2018-04-12
23,2,1947,1947-02-23
13,6,1955,1955-06-13
14,9,2010,2010-09-14
6,7,1998,1998-07-06
6,6,2009,2009-06-06
17,10,1940,1940-10-17
4,11,1955,1955-11-04
8,1,1969,1969-01-08
10,1,1917,1917-01-10
10,10,2006,2006-10-10
3,1,1960,1960-01-03
16,6,2008,2008-06-16
23,7,1959,1959-07-23
14,6,1920,1920-06-14
13,6,1911,1911-06-13
18,3,1937,1937-03-18
17,9,1931,1931-09-17
16,9,1925,1925-09-16
19,11,1936,1936-11-19
4,5,1937,1937-05-04
10,1,1978,1978-01-10
31,8,1991,1991-08-31
1,12,1929,1929-12-01
7,3,1926,1926-03-07
5,10,1940,1940-10-05
24,11,2000,2000-11-24
9,4,2022,2022-04-09
28,5,1930,1930-05-28
8,9,2011,2011-09-08
21,9,1947,1947-09-21
12,11,1984,1984-11-12
14,9,1989,1989-09-14
28,10,1908,1908-10-28
2,1,2010,2010-01-02
4,3,1922,1922-03-04
19,8,1921,1921-08-19
12,5,2021,2021-05-12
10,3,1933,1933-03-10
22,7,1950,1950-07-22
17,3,2010,2010-03-17
3,9,1999,1999-09-03
3,10,1976,1976-10-03
21,11,1995,1995-11-21
10,3,1975,1975-03-10
26,9,1966,1966-09-26
1,1,2021,2021-01-01
7,5,1968,1968-05-07
6,3,1972,1972-03-06
6,2,1916,1916-02-06
12,1,2001,2001-01-12
13,2,2020,2020-02-13
19,2,1953,1953-02-19
24,11,1931,1931-11-24
18,10,1923,1923-10-18
5,8,1997,1997-08-05
1,10,1979,1979-10-01
27,6,2017,2017-06-27
25,1,1951,1951-01-25
18,2,1975,1975-02-18
28,5,1916,1916-05-28
8,8,2000,2000-08-08
1,10,2011,2011-10-01
21,11,1926,1926-11-21
7,10,2016,2016-10-07
11,8,1958,1958-08-11
6,9,1989,1989-09-06
10,5,2008,2008-05-10
8,6,1920,1920-06-08
6,7,1943,1943-07-06
18,6,1979,1979-06-18
27,3,1917,1917-03-27
20,9,1924,1924-09-20
2,4,1937,1937-04-02
16,6,2010,2010-06-16
27,10,1994,1994-10-27
10,10,1936,1936-10-10
15,10,1946,1946-10-15
14,1,1928,1928-01-14
28,1,1979,1979-01-28
4,10,1976,1976-10-04
20,5,1912,1912-05-20
16,10,1913,1913-10-16
23,7,1925,1925-07-23
13,2,1939,1939-02-13
12,7,1928,1928-07-12
4,11,1996,1996-11-04
14,11,2015,2015-11-14
31,1,2023,2023-01-31
10,6,2022,2022-06-10
8,11,2022,2022-11-08
30,10,1963,1963-10-30
11,12,1965,1965-12-11
26,10,1971,1971-10-26
15,3,1972,1972-03-15
14,1,1948,1948-01-14
27,1,1954,1954-01-27
5,9,1988,1988-09-05
3,8,1999,1999-08-03
8,1,1945,1945-01-08
23,8,1994,1994-08-23
9,11,1999,1999-11-09
2,7,1930,1930-07-02
13,11,1959,1959-11-13
8,5,1910,1910-05-08
28,9,1979,1979-09-28
9,2,1936,1936-02-09
27,8,2022,2022-08-27
17,7,1969,1969-07-17
11,8,1995,1995-08-11
2,11,1927,1927-11-02
7,2,1969,1969-02-07
8,12,1953,1953-12-08
13,10,2000,2000-10-13
30,5,1933,1933-05-30
3,1,1917,1917-01-03
23,5,1915,1915-05-23
9,3,2010,2010-03-09
7,8,1973,1973-08-07
7,4,2006,2006-04-07
30,4,1912,1912-04-30
4,9,1936,1936-09-04
25,4,2013,2013-04-25
19,2,2014,2014-02-19
19,5,1997,1997-05-19
27,3,1979,1979-03-27
28,1,1973,1973-01-28
31,1,2000,2000-01-31
16,5,1972,1972-05-16
17,4,1918,1918-04-17
28,5,1955,1955-05-28
31,12,1969,1969-12-31
8,3,1932,1932-03-08
7,9,2012,2012-09-07
18,4,1968,1968-04-18
7,4,1949,1949-04-07
22,1,1973,1973-01-22
26,5,2020,2020-05-26
8,2,1993,1993-02-08
7,2,1925,1925-02-07
22,2,1999,1999-02-22
9,1,1944,1944-01-09
4,2,2011,2011-02-04
22,5,1924,1924-05-22
12,12,2014,2014-12-12
3,7,1983,1983-07-03
20,4,1960,1960-04-20
15,3,2008,2008-03-15
14,3,2022,2022-03-14
19,2,1909,1909-02-19
11,10,2004,2004-10-11
19,9,1945,1945-09-19
16,7,1927,1927-07-16
30,6,1916,1916-06-30
10,12,1955,1955-12-10
16,5,1986,1986-05-16
11,4,2021,2021-04-11
11,9,2000,2000-09-11
22,8,1941,1941-08-22
5,3,2001,2001-03-05
26,7,1947,1947-07-26
23,1,1934,1934-01-23
22,9,1995,1995-09-22
29,7,1983,1983-07-29
26,4,1961,1961-04-26
24,4,2024,2024-04-24
10,1,1985,1985-01-10
3,9,1926,1926-09-03
9,5,1938,1938-05-09
23,3,1917,1917-03-23
29,11,1924,1924-11-29
2,6,1940,1940-06-02
18,11,1909,1909-11-18
6,8,1992,1992-08-06
31,12,1949,1949-12-31
25,7,1947,1947-07-25
8,7,1984,1984-07-08
26,12,1914,1914-12-26
24,3,1998,1998-03-24
16,7,2015,2015-07-16
21,10,1991,1991-10-21
6,4,2012,2012-04-06
11,5,2024,2024-05-11
31,7,1991,1991-07-31
23,9,1919,1919-09-23
9,10,1997,1997-10-09
27,2,1992,1992-02-27
21,4,1930,1930-04-21
17,1,2011,2011-01-17
17,2,2022,2022-02-17
20,8,2015,2015-08-20
7,11,2009,2009-11-07
25,3,1911,1911-03-25
23,3,2008,2008-03-23
5,7,1933,1933-07-05
23,8,1992,1992-08-23
6,5,1958,1958-05-06
14,9,1931,1931-09-14
10,2,1980,1980-02-10
26,12,1941,1941-12-26
23,12,1975,1975-12-23
9,9,2001,2001-09-09
22,11,1940,1940-11-22
8,9,1920,1920-09-08
8,7,1992,1992-07-08
11,10,1949,1949-10-11
12,1,1948,1948-01-12
28,12,1955,1955-12-28
20,4,1946,1946-04-20
7,7,1918,1918-07-07
20,2,2022,2022-02-20
5,10,1973,1973-10-05
19,3,2004,2004-03-19
7,2,1957,1957-02-07
11,1,1955,1955-01-11
6,10,1939,1939-10-06
23,6,1910,1910-06-23
21,4,2014,2014-04-21
30,6,2022,2022-06-30
27,6,1983,1983-06-27
15,3,1978,1978-03-15
26,6,2008,2008-06-26
23,2,1933,1933-02-23
22,8,1962,1962-08-22
28,8,2016,2016-08-28
31,1,1922,1922-01-31
25,8,1986,1986-08-25
14,4,1910,1910-04-14
15,11,1937,1937-11-15
15,4,1992,1992-04-15
10,10,1987,1987-10-10
15,5,1969,1969-05-15
22,3,2011,2011-03-22
22,11,1914,1914-11-22
22,1,1913,1913-01-22
24,9,1949,1949-09-24
20,5,1975,1975-05-20
25,3,1989,1989-03-25
9,7,1915,1915-07-09
7,11,2008,2008-11-07
7,10,1977,1977-10-07
10,11,2007,2007-11-10
16,9,1914,1914-09-16
17,1,1921,1921-01-17
20,6,1998,1998-06-20
8,1,1971,1971-01-08
8,1,2015,2015-01-08
30,4,1987,1987-04-30
6,12,1989,1989-12-06
22,11,2007,2007-11-22
10,4,1969,1969-04-10
16,10,1927,1927-10-16
17,6,2013,2013-06-17
13,11,2018,2018-11-13
30,1,1943,1943-01-30
12,10,2011,2011-10-12
2,2,1981,1981-02-02
12,4,1964,1964-04-12
29,7,1968,1968-07-29
3,7,2006,2006-07-03
25,4,1967,1967-04-25
20,7,1950,1950-07-20
14,10,2011,2011-10-14
23,7,1962,1962-07-23
11,8,1981,1981-08-11
13,9,1911,1911-09-13
27,3,1910,1910-03-27
31,12,1955,1955-12-31
20,12,2019,2019-12-20
11,8,1909,1909-08-11
29,10,1961,1961-10-29
7,12,1941,1941-12-07
7,7,1999,1999-07-07
7,4,1917,1917-04-07
25,2,2012,2012-02-25
4,7,1959,1959-07-04
24,9,1944,1944-09-24
3,6,1966,1966-06-03
2,8,2018,2018-08-02
27,1,1987,1987-01-27
18,12,1979,1979-12-18
26,11,1962,1962-11-26
21,5,1994,1994-05-21
2,5,1994,1994-05-02
24,1,1949,1949-01-24
25,12,1952,1952-12-25
28,7,1974,1974-07-28
9,7,1982,1982-07-09
19,3,1967,1967-03-19
28,10,1982,1982-10-28
8,5,2007,2007-05-08
24,8,1995,1995-08-24
10,6,1970,1970-06-10
15,9,1925,1925-09-15
4,7,1977,1977-07-04
17,3,2023,2023-03-17
10,2,1933,1933-02-10
13,6,1999,1999-06-13
28,9,1936,1936-09-28
14,5,1939,1939-05-14
6,8,2015,2015-08-06
13,4,1933,1933-04-13
11,3,2016,2016-03-11
24,10,1975,1975-10-24
23,11,1940,1940-11-23
29,7,1924,1924-07-29
15,2,2018,2018-02-15
4,6,1949,1949-06-04
22,6,1972,1972-06-22
26,11,1959,1959-11-26
28,3,2006,2006-03-28
15,11,1941,1941-11-15
24,9,1910,1910-09-24
28,2,1915,1915-02-28
3,10,2000,2000-10-03
6,1,1927,1927-01-06
30,10,1908,1908-10-30
20,1,1986,1986-01-20
27,4,1912,1912-04-27
20,4,1945,1945-04-20
1,10,1924,1924-10-01
12,3,1911,1911-03-12
27,12,2011,2011-12-27
16,3,1986,1986-03-16
22,5,2021,2021-05-22
13,6,1933,1933-06-13
30,4,1960,1960-04-30
18,3,1966,1966-03-18
19,11,1958,1958-11-19
16,4,1972,1972-04-16
21,2,2001,2001-02-21
24,11,1974,1974-11-24
29,5,1936,1936-05-29
25,10,1973,1973-10-25
10,11,1923,1923-11-10
20,3,1914,1914-03-20
8,9,1912,1912-09-08
25,4,2004,2004-04-25
10,8,1993,1993-08-10
6,9,1957,1957-09-06
19,5,1942,1942-05-19
13,7,2010,2010-07-13
19,1,1915,1915-01-19
15,3,1977,1977-03-15
6,7,2020,2020-07-06
5,5,1967,1967-05-05
9,10,1992,1992-10-09
5,1,1972,1972-01-05
5,12,1908,1908-12-05
23,2,1933,1933-02-23
25,4,1985,1985-04-25
30,4,2009,2009-04-30
27,10,2023,2023-10-27
13,5,1912,1912-05-13
15,12,1961,1961-12-15
24,12,1979,1979-12-24
26,1,1921,1921-01-26
10,9,1995,1995-09-10
5,2,1925,1925-02-05
28,4,2013,2013-04-28
20,9,1924,1924-09-20
26,1,2013,2013-01-26
2,7,1980,1980-07-02
11,6,2001,2001-06-11
10,4,1923,1923-04-10
20,7,1953,1953-07-20
24,5,1949,1949-05-24
11,2,1917,1917-02-11
8,9,1997,1997-09-08
6,2,2014,2014-02-06
9,8,1944,1944-08-09
12,4,1947,1947-04-12
9,7,1983,1983-07-09
29,11,2000,2000-11-29
18,9,2000,2000-09-18
7,11,1925,1925-11-07
12,10,2012,2012-10-12
19,8,2016,2016-08-19
5,1,1976,1976-01-05
21,3,2023,2023-03-21
10,9,1943,1943-09-10
25,3,1990,1990-03-25
9,5,1974,1974-05-09
21,1,1951,1951-01-21
6,10,1979,1979-10-06
30,12,1986,1986-12-30
24,8,1942,1942-08-24
29,8,1924,1924-08-29
21,4,1989,1989-04-21
17,7,1998,1998-07-17
12,11,1964,1964-11-12
19,5,1940,1940-05-19
8,11,1994,1994-11-08
3,1,1934,1934-01-03
28,9,1966,1966-09-28
30,10,1926,1926-10-30
11,12,1915,1915-12-11
8,7,1925,1925-07-08
28,10,1938,1938-10-28
2,10,1985,1985-10-02
22,10,1997,1997-10-22
3,10,1961,1961-10-03
10,1,1930,1930-01-10
4,10,1988,1988-10-04
17,7,1961,1961-07-17
10,1,1924,1924-01-10
31,7,1930,1930-07-31
31,8,1941,1941-08-31
8,12,1998,1998-12-08
14,12,2013,2013-12-14
2,9,1936,1936-09-02
20,7,1976,1976-07-20
5,3,1942,1942-03-05
17,2,1913,1913-02-17
28,1,2010,2010-01-28
22,7,2018,2018-07-22
29,1,1911,1911-01-29
28,10,2001,2001-10-28
12,2,1916,1916-02-12
27,11,1971,1971-11-27
8,7,1932,1932-07-08
24,5,1920,1920-05-24
27,12,1940,1940-12-27
22,7,2002,2002-07-22
8,1,1977,1977-01-08
23,11,1995,1995-11-23
17,3,2017,2017-03-17
11,3,1924,1924-03-11
4,7,1969,1969-07-04
12,12,1939,1939-12-12
4,4,1918,1918-04-04
27,4,1990,1990-04-27
6,11,1966,1966-11-06
8,11,1923,1923-11-08
11,9,1919,1919-09-11
8,7,1983,1983-07-08
31,1,2014,2014-01-31
10,4,1948,1948-04-10
28,3,1984,1984-03-28
11,4,1937,1937-04-11
27,6,1917,1917-06-27
25,1,1984,1984-01-25
16,4,2011,2011-04-16
23,7,1977,1977-07-23
8,9,2003,2003-09-08
20,9,1935,1935-09-20
25,1,1984,1984-01-25
8,8,1972,1972-08-08
3,8,1940,1940-08-03
21,2,1983,1983-02-21
11,6,1997,1997-06-11
29,1,1947,1947-01-29
1,10,2005,2005-10-01
1,6,2010,2010-06-01
2,8,1962,1962-08-02
30,3,1934,1934-03-30
4,3,1927,1927-03-04
20,4,2009,2009-04-20
1,8,1977,1977-08-01
16,12,1987,1987-12-16
7,6,1989,1989-06-07
1,12,1950,1950-12-01
3,12,1931,1931-12-03
29,7,2000,2000-07-29
31,7,2018,2018-07-31
18,7,1967,1967-07-18
8,8,1936,1936-08-08
27,8,1929,1929-08-27
11,1,1917,1917-01-11
21,1,1969,1969-01-21
2,7,2024,2024-07-02
22,3,1988,1988-03-22
1,3,1935,1935-03-01
4,11,1940,1940-11-04
19,3,1990,1990-03-19
24,1,1916,1916-01-24
23,1,2001,2001-01-23
6,6,1928,1928-06-06
11,9,2011,2011-09-11
1,1,1963,1963-01-01
9,5,1922,1922-05-09
12,2,1963,1963-02-12
20,5,1926,1926-05-20
19,3,1969,1969-03-19
17,5,2005,2005-05-17
16,12,1937,1937-12-16
4,10,1996,1996-10-04
13,8,1944,1944-08-13
27,9,1993,1993-09-27
2,8,2010,2010-08-02
10,1,1922,1922-01-10
6,3,1923,1923-03-06
12,9,1980,1980-09-12
26,3,1985,1985-03-26
17,7,1972,1972-07-17
27,10,2010,2010-10-27
3,10,1997,1997-10-03
26,3,1965,1965-03-26
8,11,1934,1934-11-08
16,6,1946,1946-06-16
5,9,1913,1913-09-05
3,2,1914,1914-02-03
18,3,1970,1970-03-18
23,1,1919,1919-01-23
24,6,2002,2002-06-24
17,1,1962,1962-01-17
27,5,1995,1995-05-27
28,9,1995,1995-09-28
19,10,1967,1967-10-19
3,9,2013,2013-09-03
19,12,1973,1973-12-19
13,5,1952,1952-05-13
8,4,1954,1954-04-08
3,5,1988,1988-05-03
30,4,1990,1990-04-30
1,5,1998,1998-05-01
1,5,1951,1951-05-01
24,4,1931,1931-04-24
23,2,1939,1939-02-23
29,6,1932,1932-06-29
22,11,1973,1973-11-22
13,9,1962,1962-09-13
19,8,2012,2012-08-19
14,10,1961,1961-10-14
7,6,1989,1989-06-07
30,12,1967,1967-12-30
26,4,2002,2002-04-26
25,10,1931,1931-10-25
5,1,2014,2014-01-05
9,10,1927,1927-10-09
18,6,2012,2012-06-18
18,8,1981,1981-08-18
7,2,1941,1941-02-07
6,7,1955,1955-07-06
4,9,1964,1964-09-04
19,7,1987,1987-07-19
19,11,1998,1998-11-19
28,12,1950,1950-12-28
14,11,1910,1910-11-14
29,6,1986,1986-06-29
27,3,1919,1919-03-27
3,3,2012,2012-03-03
4,5,1989,1989-05-04
9,4,1948,1948-04-09
11,10,1956,1956-10-11
15,8,2011,2011-08-15
16,2,1977,1977-02-16
23,2,1924,1924-02-23
8,8,1962,1962-08-08
19,2,1932,1932-02-19
25,11,2021,2021-11-25
16,2,1920,1920-02-16
2,12,2023,2023-12-02
12,12,1920,1920-12-12
20,1,1970,1970-01-20
15,12,1956,1956-12-15
20,10,1972,1972-10-20
27,5,1919,1919-05-27
17,7,2020,2020-07-17
26,12,1912,1912-12-26
14,2,1982,1982-02-14
8,10,1950,1950-10-08
9,9,1983,1983-09-09
26,2,1997,1997-02-26
7,11,1916,1916-11-07
18,6,1923,1923-06-18
25,9,1908,1908-09-25
6,11,2019,2019-11-06
3,1,1942,1942-01-03
2,11,1985,1985-11-02
29,4,1938,1938-04-29
21,2,1960,1960-02-21
6,7,2017,2017-07-06
13,4,1954,1954-04-13
16,3,1957,1957-03-16
1,6,1950,1950-06-01
20,11,2013,2013-11-20
15,3,1919,1919-03-15
18,9,1957,1957-09-18
22,2,1949,1949-02-22
10,4,1967,1967-04-10
7,5,2014,2014-05-07
5,9,1920,1920-09-05
29,8,1996,1996-08-29
13,2,1999,1999-02-13
14,3,1963,1963-03-14
13,6,1967,1967-06-13
29,8,1913,1913-08-29
7,4,1927,1927-04-07
8,4,1991,1991-04-08
16,4,1917,1917-04-16
10,6,1975,1975-06-10
30,9,1950,1950-09-30
8,6,1945,1945-06-08
16,1,1955,1955-01-16
18,9,1951,1951-09-18
28,3,1912,1912-03-28
19,11,2015,2015-11-19
21,8,1922,1922-08-21
16,9,1959,1959-09-16
10,11,2008,2008-11-10
2,5,1998,1998-05-02
7,4,2024,2024-04-07
7,9,1963,1963-09-07
21,12,1987,1987-12-21
12,8,1915,1915-08-12
13,8,1998,1998-08-13
13,5,1966,1966-05-13
1,1,1953,1953-01-01
25,2,1986,1986-02-25
8,4,1985,1985-04-08
28,6,1942,1942-06-28
4,12,1991,1991-12-04
15,4,1921,1921-04-15
17,6,1929,1929-06-17
28,4,2024,2024-04-28
26,4,1966,1966-04-26
21,1,1946,1946-01-21
12,10,1929,1929-10-12
1,1,2022,2022-01-01
19,9,1971,1971-09-19
31,10,2014,2014-10-31
11,12,2009,2009-12-11
30,7,1972,1972-07-30
24,9,1979,1979-09-24
3,6,1941,1941-06-03
24,2,1922,1922-02-24
7,11,1930,1930-11-07
4,2,1969,1969-02-04
18,4,1985,1985-04-18
23,12,1927,1927-12-23
6,3,2007,2007-03-06
29,1,1961,1961-01-29
27,11,2023,2023-11-27
11,7,2010,2010-07-11
17,9,1964,1964-09-17
23,6,1954,1954-06-23
18,9,1921,1921-09-18
16,8,1955,1955-08-16
3,12,1990,1990-12-03
24,3,1913,1913-03-24
1,10,1968,1968-10-01
16,8,1935,1935-08-16
8,8,1944,1944-08-08
12,9,2009,2009-09-12
6,1,2013,2013-01-06
1,11,1916,1916-11-01
27,11,2001,2001-11-27
17,7,1977,1977-07-17
29,4,2015,2015-04-29
10,2,1929,1929-02-10
10,6,1943,1943-06-10
20,3,1909,1909-03-20
11,9,1982,1982-09-11
16,8,1976,1976-08-16
28,9,1979,1979-09-28
13,7,2001,2001-07-13
1,6,1998,1998-06-01
26,2,1976,1976-02-26
20,1,1916,1916-01-20
24,3,1912,1912-03-24
25,2,2004,2004-02-25
14,10,1956,1956-10-14
9,7,1975,1975-07-09
21,10,1918,1918-10-21
2,4,2011,2011-04-02
16,3,2006,2006-03-16
25,2,1988,1988-02-25
21,5,1938,1938-05-21
29,12,1945,1945-12-29
23,10,1992,1992-10-23
29,4,1964,1964-04-29
4,7,1997,1997-07-04
6,11,1986,1986-11-06
2,2,2003,2003-02-02
22,10,1972,1972-10-22
27,6,1982,1982-06-27
7,8,1944,1944-08-07
9,10,2013,2013-10-09
23,10,1925,1925-10-23
26,4,1933,1933-04-26
21,6,1909,1909-06-21
27,3,2024,2024-03-27
27,10,1961,1961-10-27
11,4,2008,2008-04-11
25,1,2001,2001-01-25
7,3,1912,1912-03-07
29,11,1958,1958-11-29
26,8,1911,1911-08-26
9,10,1970,1970-10-09
3,11,1961,1961-11-03
27,9,1912,1912-09-27
14,2,1960,1960-02-14
10,12,1913,1913-12-10
1,8,1943,1943-08-01
21,8,2013,2013-08-21
30,11,1987,1987-11-30
2,1,1914,1914-01-02
12,8,1918,1918-08-12
6,2,1979,1979-02-06
29,12,1918,1918-12-29
9,12,1997,1997-12-09
19,10,1932,1932-10-19
23,7,1988,1988-07-23
24,10,2012,2012-10-24
29,5,1976,1976-05-29
29,12,1944,1944-12-29
17,3,1917,1917-03-17
9,2,1994,1994-02-09
27,8,1994,1994-08-27
21,6,1909,1909-06-21
14,4,1934,1934-04-14
1,12,1923,1923-12-01
21,6,1951,1951-06-21
10,11,2000,2000-11-10
18,11,1982,1982-11-18
24,1,1960,1960-01-24
17,10,1956,1956-10-17
8,4,1950,1950-04-08
7,8,1961,1961-08-07
20,10,1969,1969-10-20
29,11,1994,1994-11-29
20,7,1967,1967-07-20
11,6,1985,1985-06-11
3,4,1978,1978-04-03
9,10,2009,2009-10-09
19,12,1946,1946-12-19
26,2,1968,1968-02-26
15,1,2017,2017-01-15
9,8,1954,1954-08-09
5,3,1996,1996-03-05
17,10,2010,2010-10-17
7,11,1931,1931-11-07
4,10,2003,2003-10-04
14,1,1909,1909-01-14
14,3,1951,1951-03-14
11,4,1936,1936-04-11
21,1,1912,1912-01-21
6,11,1936,1936-11-06
11,12,1934,1934-12-11
10,8,1962,1962-08-10
9,7,1997,1997-07-09
15,4,1995,1995-04-15
5,12,1979,1979-12-05
29,8,1993,1993-08-29
12,1,2001,2001-01-12
20,2,1956,1956-02-20
19,12,1936,1936-12-19
22,5,1942,1942-05-22
14,10,2019,2019-10-14
18,11,2022,2022-11-18
28,3,2000,2000-03-28
19,10,2011,2011-10-19
18,8,1923,1923-08-18
8,10,2013,2013-10-08
9,9,2002,2002-09-09
13,6,2019,2019-06-13
29,5,1991,1991-05-29
12,9,1985,1985-09-12
12,7,1985,1985-07-12
1,3,1933,1933-03-01
3,4,1940,1940-04-03
9,10,1952,1952-10-09
9,6,1994,1994-06-09
12,6,1947,1947-06-12
15,2,1920,1920-02-15
1,8,2003,2003-08-01
28,5,2016,2016-05-28
16,11,1993,1993-11-16
23,6,1996,1996-06-23
26,5,1972,1972-05-26
24,12,1945,1945-12-24
12,10,2021,2021-10-12
5,11,1926,1926-11-05
4,4,1915,1915-04-04
7,4,1993,1993-04-07
4,9,2000,2000-09-04
5,3,1915,1915-03-05
27,4,1975,1975-04-27
29,12,1918,1918-12-29
25,3,1964,1964-03-25
1,11,1966,1966-11-01
16,4,1945,1945-04-16
4,6,1996,1996-06-04
21,9,1932,1932-09-21
15,4,1917,1917-04-15
21,5,2011,2011-05-21
5,5,1927,1927-05-05
8,7,1980,1980-07-08
20,2,1954,1954-02-20
7,7,1978,1978-07-07
13,3,1939,1939-03-13
30,3,1928,1928-03-30
7,4,1986,1986-04-07
27,10,2023,2023-10-27
29,5,2006,2006-05-29
25,7,1965,1965-07-25
1,3,1975,1975-03-01
27,1,1998,1998-01-27
11,8,1962,1962-08-11
8,2,1978,1978-02-08
7,6,1988,1988-06-07
27,2,1915,1915-02-27
21,2,2021,2021-02-21
17,6,2021,2021-06-17
21,5,2020,2020-05-21
18,1,1931,1931-01-18
14,1,1948,1948-01-14
18,4,2003,2003-04-18
25,1,1928,1928-01-25
10,1,1999,1999-01-10
18,1,1909,1909-01-18
4,6,1940,1940-06-04
20,2,1974,1974-02-20
19,3,2017,2017-03-19
15,4,1976,1976-04-15
13,9,1913,1913-09-13
