city,state,location
Pittsfield,MA,"Pittsfield, MA"
Geneseo,NY,"Geneseo, NY"
Brent,AL,"Brent, AL"
Camillus,NY,"Camillus, NY"
Central Square,NY,"Central Square, NY"
Fort Payne,AL,"Fort Payne, AL"
Lunenburg,MA,"Lunenburg, MA"
Calera,AL,"Calera, AL"
Derby,CT,"Derby, CT"
Lakewood,NY,"Lakewood, NY"
Norwalk,CT,"Norwalk, CT"
Huntsville,AL,"Huntsville, AL"
Andalusia,AL,"Andalusia, AL"
Seekonk,MA,"Seekonk, MA"
Derby,CT,"Derby, CT"
Athens,AL,"Athens, AL"
Fairhaven,MA,"Fairhaven, MA"
Northhampton,MA,"Northhampton, MA"
East Falmouth,MA,"East Falmouth, MA"
New Milford,CT,"New Milford, CT"
Airmont,NY,"Airmont, NY"
Adamsville,AL,"Adamsville, AL"
Manchester,CT,"Manchester, CT"
Semmes,AL,"Semmes, AL"
Sumiton,AL,"Sumiton, AL"
Haleyville,AL,"Haleyville, AL"
Athens,AL,"Athens, AL"
Cheektowaga,NY,"Cheektowaga, NY"
Springfield,MA,"Springfield, MA"
Seekonk,MA,"Seekonk, MA"
Newburgh,NY,"Newburgh, NY"
Tuscaloosa,AL,"Tuscaloosa, AL"
Hamden,CT,"Hamden, CT"
Massapequa,NY,"Massapequa, NY"
Lakewood,NY,"Lakewood, NY"
Fishkill,NY,"Fishkill, NY"
Pelham,AL,"Pelham, AL"
Sumiton,AL,"Sumiton, AL"
Mobile,AL,"Mobile, AL"
North Windham,CT,"North Windham, CT"
Lynn,MA,"Lynn, MA"
Airmont,NY,"Airmont, NY"
Center Point,AL,"Center Point, AL"
Chelsea,AL,"Chelsea, AL"
Troy,AL,"Troy, AL"
Vestavia Hills,AL,"Vestavia Hills, AL"
Cicero,NY,"Cicero, NY"
Kingston,NY,"Kingston, NY"
Chicopee,MA,"Chicopee, MA"
Derby,CT,"Derby, CT"
Homewood,AL,"Homewood, AL"
Semmes,AL,"Semmes, AL"
Andalusia,AL,"Andalusia, AL"
Greece,NY,"Greece, NY"
East Greenbush,NY,"East Greenbush, NY"
Jacksonville,AL,"Jacksonville, AL"
North Dartmouth,MA,"North Dartmouth, MA"
Wallingford,CT,"Wallingford, CT"
Jackson,AL,"Jackson, AL"
Oxford,AL,"Oxford, AL"
Hudson,MA,"Hudson, MA"
Wetumpka,AL,"Wetumpka, AL"
Malone,NY,"Malone, NY"
Prattville,AL,"Prattville, AL"
Cortlandville,NY,"Cortlandville, NY"
New Haven,CT,"New Haven, CT"
Cheektowaga,NY,"Cheektowaga, NY"
East Meadow,NY,"East Meadow, NY"
Framingham,MA,"Framingham, MA"
Guntersville,AL,"Guntersville, AL"
Winfield,AL,"Winfield, AL"
Chelsea,AL,"Chelsea, AL"
Shelton,CT,"Shelton, CT"
Bessemer,AL,"Bessemer, AL"
Huntsville,AL,"Huntsville, AL"
Boaz,AL,"Boaz, AL"
Huntsville,AL,"Huntsville, AL"
Hamburg,NY,"Hamburg, NY"
Framingham,MA,"Framingham, MA"
Old Saybrook,CT,"Old Saybrook, CT"
Auburn,NY,"Auburn, NY"
Scottsboro,AL,"Scottsboro, AL"
Chelmsford,MA,"Chelmsford, MA"
Hartselle,AL,"Hartselle, AL"
Hadley,MA,"Hadley, MA"
Lisbon,CT,"Lisbon, CT"
Quincy,MA,"Quincy, MA"
Cheektowaga,NY,"Cheektowaga, NY"
Scottsboro,AL,"Scottsboro, AL"
Chicopee,MA,"Chicopee, MA"
Rocky Hill,CT,"Rocky Hill, CT"
Southington,CT,"Southington, CT"
Batavia,NY,"Batavia, NY"
Fairhaven,MA,"Fairhaven, MA"
Madison,AL,"Madison, AL"
Old Saybrook,CT,"Old Saybrook, CT"
Boaz,AL,"Boaz, AL"
Sumiton,AL,"Sumiton, AL"
Macedon,NY,"Macedon, NY"
Geneva,NY,"Geneva, NY"
Shelton,CT,"Shelton, CT"
Tuscaloosa,AL,"Tuscaloosa, AL"
Albany,NY,"Albany, NY"
North Reading,MA,"North Reading, MA"
North Reading,MA,"North Reading, MA"
Johnson City,NY,"Johnson City, NY"
Hartselle,AL,"Hartselle, AL"
Pell City,AL,"Pell City, AL"
East Greenbush,NY,"East Greenbush, NY"
Adamsville,AL,"Adamsville, AL"
Fredonia,NY,"Fredonia, NY"
Cobleskill,NY,"Cobleskill, NY"
Gardendale,AL,"Gardendale, AL"
Brockton,MA,"Brockton, MA"
Cortlandville,NY,"Cortlandville, NY"
Greece,NY,"Greece, NY"
Oneonta,AL,"Oneonta, AL"
Bessemer,AL,"Bessemer, AL"
Cullman,AL,"Cullman, AL"
Geneva,NY,"Geneva, NY"
Danvers,MA,"Danvers, MA"
Hamburg,NY,"Hamburg, NY"
Wetumpka,AL,"Wetumpka, AL"
Oxford,AL,"Oxford, AL"
Hamilton,AL,"Hamilton, AL"
Wareham,MA,"Wareham, MA"
Framingham,MA,"Framingham, MA"
Bessemer,AL,"Bessemer, AL"
Lockport,NY,"Lockport, NY"
Kingston,NY,"Kingston, NY"
Sylacauga,AL,"Sylacauga, AL"
Catskill,NY,"Catskill, NY"
Lancaster,NY,"Lancaster, NY"
Middle Island,NY,"Middle Island, NY"
Bristol,CT,"Bristol, CT"
Hartford,CT,"Hartford, CT"
Athens,AL,"Athens, AL"
Huntsville,AL,"Huntsville, AL"
West Haven,CT,"West Haven, CT"
Scottsboro,AL,"Scottsboro, AL"
Chelsea,AL,"Chelsea, AL"
Center Point,AL,"Center Point, AL"
Oxford,AL,"Oxford, AL"
Gulf Shores,AL,"Gulf Shores, AL"
Russellville,AL,"Russellville, AL"
New Hartford,NY,"New Hartford, NY"
Glenville,NY,"Glenville, NY"
Gulf Shores,AL,"Gulf Shores, AL"
East Syracuse,NY,"East Syracuse, NY"
Chelmsford,MA,"Chelmsford, MA"
Fulton,NY,"Fulton, NY"
Brockton,MA,"Brockton, MA"
Lakewood,NY,"Lakewood, NY"
Cobleskill,NY,"Cobleskill, NY"
Norwalk,CT,"Norwalk, CT"
Cicero,NY,"Cicero, NY"
Leicester,MA,"Leicester, MA"
Middle Island,NY,"Middle Island, NY"
Phenix City,AL,"Phenix City, AL"
Sylacauga,AL,"Sylacauga, AL"
Roanoke,AL,"Roanoke, AL"
Russellville,AL,"Russellville, AL"
Valley,AL,"Valley, AL"
Avon,CT,"Avon, CT"
Northport,AL,"Northport, AL"
Southington,CT,"Southington, CT"
Greece,NY,"Greece, NY"
North Adams,MA,"North Adams, MA"
Talladega,AL,"Talladega, AL"
Abington,MA,"Abington, MA"
Arab,AL,"Arab, AL"
North Windham,CT,"North Windham, CT"
East Greenbush,NY,"East Greenbush, NY"
Auburn,AL,"Auburn, AL"
Mobile,AL,"Mobile, AL"
Gadsden,AL,"Gadsden, AL"
Hoover,AL,"Hoover, AL"
Farmingdale,NY,"Farmingdale, NY"
Norwalk,CT,"Norwalk, CT"
Hamilton,AL,"Hamilton, AL"
East Meadow,NY,"East Meadow, NY"
East Windsor,CT,"East Windsor, CT"
Massapequa,NY,"Massapequa, NY"
Jasper,AL,"Jasper, AL"
Wallingford,CT,"Wallingford, CT"
Halfmoon,NY,"Halfmoon, NY"
Russellville,AL,"Russellville, AL"
Batavia,NY,"Batavia, NY"
Newington,CT,"Newington, CT"
Saraland,AL,"Saraland, AL"
Clay,NY,"Clay, NY"
Herkimer,NY,"Herkimer, NY"
Hornell,NY,"Hornell, NY"
Avon,CT,"Avon, CT"
Muscle Shoals,AL,"Muscle Shoals, AL"
Chelmsford,MA,"Chelmsford, MA"
North Adams,MA,"North Adams, MA"
Waterford,CT,"Waterford, CT"
Jacksonville,AL,"Jacksonville, AL"
Semmes,AL,"Semmes, AL"
Seekonk,MA,"Seekonk, MA"
Salem,MA,"Salem, MA"
North Adams,MA,"North Adams, MA"
Kingston,NY,"Kingston, NY"
Salem,MA,"Salem, MA"
Brewton,AL,"Brewton, AL"
Abington,MA,"Abington, MA"
Waterford,CT,"Waterford, CT"
Fayette,AL,"Fayette, AL"
Springville,AL,"Springville, AL"
Talladega,AL,"Talladega, AL"
Springville,AL,"Springville, AL"
Macedon,NY,"Macedon, NY"
Danvers,MA,"Danvers, MA"
Batavia,NY,"Batavia, NY"
Winfield,AL,"Winfield, AL"
Albany,NY,"Albany, NY"
Clarence,NY,"Clarence, NY"
Horseheads,NY,"Horseheads, NY"
Dothan,AL,"Dothan, AL"
Florence,AL,"Florence, AL"
Wallingford,CT,"Wallingford, CT"
Eufaula,AL,"Eufaula, AL"
Glenmont,NY,"Glenmont, NY"
Brewton,AL,"Brewton, AL"
Anniston,AL,"Anniston, AL"
Florence,AL,"Florence, AL"
Northborough,MA,"Northborough, MA"
East Syracuse,NY,"East Syracuse, NY"
North Windham,CT,"North Windham, CT"
Herkimer,NY,"Herkimer, NY"
Clanton,AL,"Clanton, AL"
Fishkill,NY,"Fishkill, NY"
Avon,CT,"Avon, CT"
Huntsville,AL,"Huntsville, AL"
Geneva,AL,"Geneva, AL"
Old Saybrook,CT,"Old Saybrook, CT"
Brent,AL,"Brent, AL"
Swansea,MA,"Swansea, MA"
Catskill,NY,"Catskill, NY"
Milford,CT,"Milford, CT"
East Syracuse,NY,"East Syracuse, NY"
Springville,AL,"Springville, AL"
North Reading,MA,"North Reading, MA"
Salem,MA,"Salem, MA"
Roanoke,AL,"Roanoke, AL"
Daphne,AL,"Daphne, AL"
Sturbridge,MA,"Sturbridge, MA"
East Syracuse,NY,"East Syracuse, NY"
Plymouth,MA,"Plymouth, MA"
Decatur,AL,"Decatur, AL"
Hanover,MA,"Hanover, MA"
Attalla,AL,"Attalla, AL"
Norwich,CT,"Norwich, CT"
Kingston,NY,"Kingston, NY"
Groton,CT,"Groton, CT"
Prattville,AL,"Prattville, AL"
Middle Island,NY,"Middle Island, NY"
Phenix City,AL,"Phenix City, AL"
Lockport,NY,"Lockport, NY"
Horseheads,NY,"Horseheads, NY"
Wareham,MA,"Wareham, MA"
East Syracuse,NY,"East Syracuse, NY"
Walpole,MA,"Walpole, MA"
Troy,AL,"Troy, AL"
Pell City,AL,"Pell City, AL"
Groton,CT,"Groton, CT"
Sylacauga,AL,"Sylacauga, AL"
Middle Island,NY,"Middle Island, NY"
Middle Island,NY,"Middle Island, NY"
North Dartmouth,MA,"North Dartmouth, MA"
Farmingdale,NY,"Farmingdale, NY"
Hamden,CT,"Hamden, CT"
Mobile,AL,"Mobile, AL"
North Windham,CT,"North Windham, CT"
Athens,AL,"Athens, AL"
Plymouth,MA,"Plymouth, MA"
New Haven,CT,"New Haven, CT"
Leicester,MA,"Leicester, MA"
Amsterdam,NY,"Amsterdam, NY"
Tuscaloosa,AL,"Tuscaloosa, AL"
Mobile,AL,"Mobile, AL"
Horseheads,NY,"Horseheads, NY"
North Reading,MA,"North Reading, MA"
Montgomery,AL,"Montgomery, AL"
Clay,NY,"Clay, NY"
Lockport,NY,"Lockport, NY"
Central Square,NY,"Central Square, NY"
Avon,MA,"Avon, MA"
Monroe,NY,"Monroe, NY"
Ware,MA,"Ware, MA"
Thomasville,AL,"Thomasville, AL"
Monroe,NY,"Monroe, NY"
Monroe,NY,"Monroe, NY"
Methuen,MA,"Methuen, MA"
Leeds,AL,"Leeds, AL"
East Syracuse,NY,"East Syracuse, NY"
Tallassee,AL,"Tallassee, AL"
Wareham,MA,"Wareham, MA"
Fall River,MA,"Fall River, MA"
Sumiton,AL,"Sumiton, AL"
Quincy,MA,"Quincy, MA"
Bellingham,MA,"Bellingham, MA"
Batavia,NY,"Batavia, NY"
Norwalk,CT,"Norwalk, CT"
Hanover,MA,"Hanover, MA"
Haleyville,AL,"Haleyville, AL"
Johnson City,NY,"Johnson City, NY"
Springfield,MA,"Springfield, MA"
Lakewood,NY,"Lakewood, NY"
Monticello,NY,"Monticello, NY"
Monticello,NY,"Monticello, NY"
Amsterdam,NY,"Amsterdam, NY"
Sturbridge,MA,"Sturbridge, MA"
Geneva,AL,"Geneva, AL"
Hoover,AL,"Hoover, AL"
Massena,NY,"Massena, NY"
Orange,MA,"Orange, MA"
Adamsville,AL,"Adamsville, AL"
Amherst,NY,"Amherst, NY"
Lynn,MA,"Lynn, MA"
Enterprise,AL,"Enterprise, AL"
Jasper,AL,"Jasper, AL"
Madison,AL,"Madison, AL"
Centereach,NY,"Centereach, NY"
Decatur,AL,"Decatur, AL"
North Windham,CT,"North Windham, CT"
Hudson,MA,"Hudson, MA"
East Windsor,CT,"East Windsor, CT"
Attalla,AL,"Attalla, AL"
Boaz,AL,"Boaz, AL"
Decatur,AL,"Decatur, AL"
Lancaster,NY,"Lancaster, NY"
Gulf Shores,AL,"Gulf Shores, AL"
Lockport,NY,"Lockport, NY"
Latham,NY,"Latham, NY"
Florence,AL,"Florence, AL"
Pell City,AL,"Pell City, AL"
Mobile,AL,"Mobile, AL"
Massena,NY,"Massena, NY"
Lowville,NY,"Lowville, NY"
Rocky Hill,CT,"Rocky Hill, CT"
Centereach,NY,"Centereach, NY"
Bay Minette,AL,"Bay Minette, AL"
Halfmoon,NY,"Halfmoon, NY"
Tuscaloosa,AL,"Tuscaloosa, AL"
Stratford,CT,"Stratford, CT"
Mohegan Lake,NY,"Mohegan Lake, NY"
Bristol,CT,"Bristol, CT"
Millbrook,AL,"Millbrook, AL"
Glenville,NY,"Glenville, NY"
Pittsfield,MA,"Pittsfield, MA"
Salem,MA,"Salem, MA"
Rocky Hill,CT,"Rocky Hill, CT"
Camillus,NY,"Camillus, NY"
Pell City,AL,"Pell City, AL"
Saraland,AL,"Saraland, AL"
Brent,AL,"Brent, AL"
Tuscaloosa,AL,"Tuscaloosa, AL"
Lynn,MA,"Lynn, MA"
Lisbon,CT,"Lisbon, CT"
Hueytown,AL,"Hueytown, AL"
Raynham,MA,"Raynham, MA"
Leeds,AL,"Leeds, AL"
Gadsden,AL,"Gadsden, AL"
Bay Minette,AL,"Bay Minette, AL"
Sturbridge,MA,"Sturbridge, MA"
Fort Payne,AL,"Fort Payne, AL"
Thomasville,AL,"Thomasville, AL"
Leominster,MA,"Leominster, MA"
Gardendale,AL,"Gardendale, AL"
Bessemer,AL,"Bessemer, AL"
Middle Island,NY,"Middle Island, NY"
Springfield,MA,"Springfield, MA"
Quincy,MA,"Quincy, MA"
Bessemer,AL,"Bessemer, AL"
Saraland,AL,"Saraland, AL"
Gulf Shores,AL,"Gulf Shores, AL"
Massapequa,NY,"Massapequa, NY"
Chelsea,AL,"Chelsea, AL"
Pittsfield,MA,"Pittsfield, MA"
Methuen,MA,"Methuen, MA"
Sylacauga,AL,"Sylacauga, AL"
North Windham,CT,"North Windham, CT"
New Haven,CT,"New Haven, CT"
Glenmont,NY,"Glenmont, NY"
Florence,AL,"Florence, AL"
Commack,NY,"Commack, NY"
Boaz,AL,"Boaz, AL"
Stratford,CT,"Stratford, CT"
Wetumpka,AL,"Wetumpka, AL"
Seekonk,MA,"Seekonk, MA"
Brockport,NY,"Brockport, NY"
Tuscaloosa,AL,"Tuscaloosa, AL"
Albany,NY,"Albany, NY"
Avon,CT,"Avon, CT"
Fulton,NY,"Fulton, NY"
Geneva,NY,"Geneva, NY"
Fall River,MA,"Fall River, MA"
North Reading,MA,"North Reading, MA"
North Dartmouth,MA,"North Dartmouth, MA"
Catskill,NY,"Catskill, NY"
Alexander City,AL,"Alexander City, AL"
Fort Payne,AL,"Fort Payne, AL"
Hoover,AL,"Hoover, AL"
Northborough,MA,"Northborough, MA"
Derby,CT,"Derby, CT"
Lynn,MA,"Lynn, MA"
Hoover,AL,"Hoover, AL"
Springville,AL,"Springville, AL"
Glenville,NY,"Glenville, NY"
Lunenburg,MA,"Lunenburg, MA"
Sturbridge,MA,"Sturbridge, MA"
Northhampton,MA,"Northhampton, MA"
Amherst,NY,"Amherst, NY"
Arab,AL,"Arab, AL"
North Oxford,MA,"North Oxford, MA"
Walpole,MA,"Walpole, MA"
Bristol,CT,"Bristol, CT"
Hartford,CT,"Hartford, CT"
Abington,MA,"Abington, MA"
Brewton,AL,"Brewton, AL"
Cicero,NY,"Cicero, NY"
Ware,MA,"Ware, MA"
Opelika,AL,"Opelika, AL"
Bristol,CT,"Bristol, CT"
Greenville,AL,"Greenville, AL"
Salem,MA,"Salem, MA"
Herkimer,NY,"Herkimer, NY"
Bay Minette,AL,"Bay Minette, AL"
Anniston,AL,"Anniston, AL"
Anniston,AL,"Anniston, AL"
Groton,CT,"Groton, CT"
Cheektowaga,NY,"Cheektowaga, NY"
Geneva,AL,"Geneva, AL"
Muscle Shoals,AL,"Muscle Shoals, AL"
Centre,AL,"Centre, AL"
Gardner,MA,"Gardner, MA"
North Adams,MA,"North Adams, MA"
Fairhope,AL,"Fairhope, AL"
North Windham,CT,"North Windham, CT"
Walpole,MA,"Walpole, MA"
Jasper,AL,"Jasper, AL"
New Haven,CT,"New Haven, CT"
Danbury,CT,"Danbury, CT"
Guilford,CT,"Guilford, CT"
Pell City,AL,"Pell City, AL"
North Reading,MA,"North Reading, MA"
Rocky Hill,CT,"Rocky Hill, CT"
Glenmont,NY,"Glenmont, NY"
Hartselle,AL,"Hartselle, AL"
Amsterdam,NY,"Amsterdam, NY"
Methuen,MA,"Methuen, MA"
West Haven,CT,"West Haven, CT"
Pelham,AL,"Pelham, AL"
New Haven,CT,"New Haven, CT"
Dothan,AL,"Dothan, AL"
Hanover,MA,"Hanover, MA"
Hartselle,AL,"Hartselle, AL"
Rocky Hill,CT,"Rocky Hill, CT"
Plymouth,MA,"Plymouth, MA"
Geneva,NY,"Geneva, NY"
Putnam,CT,"Putnam, CT"
Glenmont,NY,"Glenmont, NY"
Northport,AL,"Northport, AL"
Shelton,CT,"Shelton, CT"
East Meadow,NY,"East Meadow, NY"
Swansea,MA,"Swansea, MA"
Lockport,NY,"Lockport, NY"
Albany,NY,"Albany, NY"
Danbury,CT,"Danbury, CT"
Brewton,AL,"Brewton, AL"
Springfield,MA,"Springfield, MA"
Naugatuck,CT,"Naugatuck, CT"
Glenville,NY,"Glenville, NY"
Ithaca,NY,"Ithaca, NY"
Hudson,MA,"Hudson, MA"
Moulton,AL,"Moulton, AL"
Wareham,MA,"Wareham, MA"
New Hartford,NY,"New Hartford, NY"
Newburgh,NY,"Newburgh, NY"
Newburgh,NY,"Newburgh, NY"
Homewood,AL,"Homewood, AL"
Camillus,NY,"Camillus, NY"
Guilford,CT,"Guilford, CT"
Mohegan Lake,NY,"Mohegan Lake, NY"
Auburn,AL,"Auburn, AL"
Hanover,MA,"Hanover, MA"
Chelmsford,MA,"Chelmsford, MA"
Pell City,AL,"Pell City, AL"
Prattville,AL,"Prattville, AL"
Johnson City,NY,"Johnson City, NY"
Middle Island,NY,"Middle Island, NY"
Chelsea,AL,"Chelsea, AL"
Tallassee,AL,"Tallassee, AL"
Wetumpka,AL,"Wetumpka, AL"
Raynham,MA,"Raynham, MA"
Catskill,NY,"Catskill, NY"
Commack,NY,"Commack, NY"
North Reading,MA,"North Reading, MA"
Hamburg,NY,"Hamburg, NY"
Hueytown,AL,"Hueytown, AL"
Geneva,AL,"Geneva, AL"
Newington,CT,"Newington, CT"
Norwalk,CT,"Norwalk, CT"
Oneonta,AL,"Oneonta, AL"
Clay,NY,"Clay, NY"
Guntersville,AL,"Guntersville, AL"
Quincy,MA,"Quincy, MA"
Walpole,MA,"Walpole, MA"
Leicester,MA,"Leicester, MA"
Macedon,NY,"Macedon, NY"
Auburn,NY,"Auburn, NY"
Central Square,NY,"Central Square, NY"
Hanover,MA,"Hanover, MA"
Pittsfield,MA,"Pittsfield, MA"
Fall River,MA,"Fall River, MA"
Thomasville,AL,"Thomasville, AL"
Guilford,CT,"Guilford, CT"
Chelsea,AL,"Chelsea, AL"
Brent,AL,"Brent, AL"
Semmes,AL,"Semmes, AL"
Leeds,AL,"Leeds, AL"
Glenmont,NY,"Glenmont, NY"
Clanton,AL,"Clanton, AL"
Cheektowaga,NY,"Cheektowaga, NY"
Brockport,NY,"Brockport, NY"
Oneonta,AL,"Oneonta, AL"
Jasper,AL,"Jasper, AL"
Lockport,NY,"Lockport, NY"
Halifax,MA,"Halifax, MA"
Pell City,AL,"Pell City, AL"
Bellingham,MA,"Bellingham, MA"
Wallingford,CT,"Wallingford, CT"
Leeds,AL,"Leeds, AL"
Monroe,NY,"Monroe, NY"
East Falmouth,MA,"East Falmouth, MA"
East Windsor,CT,"East Windsor, CT"
New Hartford,NY,"New Hartford, NY"
East Falmouth,MA,"East Falmouth, MA"
Valley,AL,"Valley, AL"
Russellville,AL,"Russellville, AL"
East Greenbush,NY,"East Greenbush, NY"
Massapequa,NY,"Massapequa, NY"
North Adams,MA,"North Adams, MA"
Bristol,CT,"Bristol, CT"
Waterbury,CT,"Waterbury, CT"
Plymouth,MA,"Plymouth, MA"
Wareham,MA,"Wareham, MA"
Bellingham,MA,"Bellingham, MA"
Jacksonville,AL,"Jacksonville, AL"
Gardner,MA,"Gardner, MA"
Hartford,CT,"Hartford, CT"
Hamburg,NY,"Hamburg, NY"
Old Saybrook,CT,"Old Saybrook, CT"
Northport,AL,"Northport, AL"
Halfmoon,NY,"Halfmoon, NY"
Lunenburg,MA,"Lunenburg, MA"
Derby,CT,"Derby, CT"
Groton,CT,"Groton, CT"
Cobleskill,NY,"Cobleskill, NY"
Bessemer,AL,"Bessemer, AL"
Monroeville,AL,"Monroeville, AL"
Orange,MA,"Orange, MA"
Auburn,AL,"Auburn, AL"
Tuscaloosa,AL,"Tuscaloosa, AL"
Lisbon,CT,"Lisbon, CT"
Halifax,MA,"Halifax, MA"
Geneva,AL,"Geneva, AL"
Avon,CT,"Avon, CT"
Birmingham,AL,"Birmingham, AL"
Alexander City,AL,"Alexander City, AL"
Geneva,AL,"Geneva, AL"
Hoover,AL,"Hoover, AL"
Rocky Hill,CT,"Rocky Hill, CT"
Avon,CT,"Avon, CT"
Clanton,AL,"Clanton, AL"
Geneva,NY,"Geneva, NY"
Evans Mills,NY,"Evans Mills, NY"
Monticello,NY,"Monticello, NY"
Cullman,AL,"Cullman, AL"
Haleyville,AL,"Haleyville, AL"
Malone,NY,"Malone, NY"
Madison,AL,"Madison, AL"
North Oxford,MA,"North Oxford, MA"
Catskill,NY,"Catskill, NY"
Monroe,NY,"Monroe, NY"
Newburgh,NY,"Newburgh, NY"
Lakewood,NY,"Lakewood, NY"
Oneonta,AL,"Oneonta, AL"
Alexander City,AL,"Alexander City, AL"
Horseheads,NY,"Horseheads, NY"
Hoover,AL,"Hoover, AL"
Horseheads,NY,"Horseheads, NY"
Lancaster,NY,"Lancaster, NY"
New Milford,CT,"New Milford, CT"
Gulf Shores,AL,"Gulf Shores, AL"
Milford,CT,"Milford, CT"
Fort Payne,AL,"Fort Payne, AL"
Thomasville,AL,"Thomasville, AL"
Camillus,NY,"Camillus, NY"
Mohegan Lake,NY,"Mohegan Lake, NY"
Alexander City,AL,"Alexander City, AL"
New Haven,CT,"New Haven, CT"
Torrington,CT,"Torrington, CT"
Plymouth,MA,"Plymouth, MA"
Hudson,MA,"Hudson, MA"
Walpole,MA,"Walpole, MA"
Mobile,AL,"Mobile, AL"
Mobile,AL,"Mobile, AL"
Leicester,MA,"Leicester, MA"
Selma,AL,"Selma, AL"
Saraland,AL,"Saraland, AL"
Sumiton,AL,"Sumiton, AL"
Geneva,AL,"Geneva, AL"
Newington,CT,"Newington, CT"
Fairfield,AL,"Fairfield, AL"
Homewood,AL,"Homewood, AL"
Sumiton,AL,"Sumiton, AL"
Alexander City,AL,"Alexander City, AL"
Brockton,MA,"Brockton, MA"
Cobleskill,NY,"Cobleskill, NY"
Clay,NY,"Clay, NY"
Walpole,MA,"Walpole, MA"
Boaz,AL,"Boaz, AL"
Fayette,AL,"Fayette, AL"
Danbury,CT,"Danbury, CT"
Lakewood,NY,"Lakewood, NY"
Fall River,MA,"Fall River, MA"
Arab,AL,"Arab, AL"
Stratford,CT,"Stratford, CT"
Semmes,AL,"Semmes, AL"
Naugatuck,CT,"Naugatuck, CT"
Swansea,MA,"Swansea, MA"
Waterford,CT,"Waterford, CT"
Kingston,NY,"Kingston, NY"
Clay,NY,"Clay, NY"
Birmingham,AL,"Birmingham, AL"
Valley,AL,"Valley, AL"
Cicero,NY,"Cicero, NY"
Bristol,CT,"Bristol, CT"
Haleyville,AL,"Haleyville, AL"
Airmont,NY,"Airmont, NY"
Winfield,AL,"Winfield, AL"
Amherst,NY,"Amherst, NY"
Athens,AL,"Athens, AL"
Johnson City,NY,"Johnson City, NY"
Naugatuck,CT,"Naugatuck, CT"
Sylacauga,AL,"Sylacauga, AL"
Prattville,AL,"Prattville, AL"
Stratford,CT,"Stratford, CT"
Pell City,AL,"Pell City, AL"
Hadley,MA,"Hadley, MA"
Bay Minette,AL,"Bay Minette, AL"
Troy,AL,"Troy, AL"
Montgomery,AL,"Montgomery, AL"
Lancaster,NY,"Lancaster, NY"
Moulton,AL,"Moulton, AL"
Tuscaloosa,AL,"Tuscaloosa, AL"
Catskill,NY,"Catskill, NY"
Catskill,NY,"Catskill, NY"
Monroeville,AL,"Monroeville, AL"
Centereach,NY,"Centereach, NY"
Thomasville,AL,"Thomasville, AL"
East Greenbush,NY,"East Greenbush, NY"
Herkimer,NY,"Herkimer, NY"
Brockton,MA,"Brockton, MA"
Johnson City,NY,"Johnson City, NY"
Troy,AL,"Troy, AL"
Centre,AL,"Centre, AL"
Orange,MA,"Orange, MA"
Hartselle,AL,"Hartselle, AL"
Athens,AL,"Athens, AL"
Northport,AL,"Northport, AL"
Springfield,MA,"Springfield, MA"
Tewksbury,MA,"Tewksbury, MA"
Shelton,CT,"Shelton, CT"
Centereach,NY,"Centereach, NY"
Cicero,NY,"Cicero, NY"
Catskill,NY,"Catskill, NY"
Macedon,NY,"Macedon, NY"
Sturbridge,MA,"Sturbridge, MA"
Seekonk,MA,"Seekonk, MA"
Lancaster,NY,"Lancaster, NY"
Wareham,MA,"Wareham, MA"
Alabaster,AL,"Alabaster, AL"
New Milford,CT,"New Milford, CT"
Muscle Shoals,AL,"Muscle Shoals, AL"
Calera,AL,"Calera, AL"
Pell City,AL,"Pell City, AL"
Oneonta,AL,"Oneonta, AL"
Hudson,MA,"Hudson, MA"
East Falmouth,MA,"East Falmouth, MA"
North Windham,CT,"North Windham, CT"
Daphne,AL,"Daphne, AL"
Naugatuck,CT,"Naugatuck, CT"
Amherst,NY,"Amherst, NY"
Hartselle,AL,"Hartselle, AL"
Lisbon,CT,"Lisbon, CT"
Athens,AL,"Athens, AL"
Johnson City,NY,"Johnson City, NY"
Centre,AL,"Centre, AL"
Clarence,NY,"Clarence, NY"
Chicopee,MA,"Chicopee, MA"
East Meadow,NY,"East Meadow, NY"
Hueytown,AL,"Hueytown, AL"
Brent,AL,"Brent, AL"
Springville,AL,"Springville, AL"
Brewton,AL,"Brewton, AL"
Methuen,MA,"Methuen, MA"
Horseheads,NY,"Horseheads, NY"
Hudson,MA,"Hudson, MA"
Framingham,MA,"Framingham, MA"
Andalusia,AL,"Andalusia, AL"
Alabaster,AL,"Alabaster, AL"
Bristol,CT,"Bristol, CT"
Sylacauga,AL,"Sylacauga, AL"
Geneseo,NY,"Geneseo, NY"
East Greenbush,NY,"East Greenbush, NY"
North Attleboro,MA,"North Attleboro, MA"
Fairhope,AL,"Fairhope, AL"
Abington,MA,"Abington, MA"
Hartselle,AL,"Hartselle, AL"
Hartford,CT,"Hartford, CT"
Stratford,CT,"Stratford, CT"
North Attleboro,MA,"North Attleboro, MA"
Madison,AL,"Madison, AL"
Hudson,MA,"Hudson, MA"
Eufaula,AL,"Eufaula, AL"
Sumiton,AL,"Sumiton, AL"
Millbrook,AL,"Millbrook, AL"
Walpole,MA,"Walpole, MA"
Lakewood,NY,"Lakewood, NY"
Dothan,AL,"Dothan, AL"
Opelika,AL,"Opelika, AL"
