job_title,department_name,length_of_service,employee_info
Legal Counsel,Executive,25,"Legal Counsel,Executive,25"
Baker,Accounting,7,"Baker,Accounting,7"
Customer Service Manager,Dairy,26,"Customer Service Manager,Dairy,26"
Meat Cutter,Produce,22,"Meat Cutter,Produce,22"
Processed Foods Manager,Bakery,24,"Processed Foods Manager,Bakery,24"
Labor Relations Analyst,Accounts Payable,23,"Labor Relations Analyst,Accounts Payable,23"
Dairy Person,Investment,14,"Dairy Person,Investment,14"
HRIS Analyst,Dairy,21,"HRIS Analyst,Dairy,21"
Baker,Processed Foods,25,"Baker,Processed Foods,25"
VP Stores,Executive,25,"VP Stores,Executive,25"
Legal Counsel,Executive,25,"Legal Counsel,Executive,25"
Meat Cutter,Audit,19,"Meat Cutter,Audit,19"
Shelf Stocker,Accounts Receiveable,23,"Shelf Stocker,Accounts Receiveable,23"
Legal Counsel,Labor Relations,26,"Legal Counsel,Labor Relations,26"
Meats Manager,Executive,26,"Meats Manager,Executive,26"
Trainer,Produce,18,"Trainer,Produce,18"
Legal Counsel,Recruitment,25,"Legal Counsel,Recruitment,25"
Investment Analyst,Customer Service,10,"Investment Analyst,Customer Service,10"
VP Human Resources,Executive,26,"VP Human Resources,Executive,26"
"Exec Assistant, VP Stores",Employee Records,26,"Exec Assistant, VP Stores,Employee Records,26"
Auditor,Meats,15,"Auditor,Meats,15"
Dairy Person,Meats,26,"Dairy Person,Meats,26"
Accounts Payable Clerk,Dairy,26,"Accounts Payable Clerk,Dairy,26"
Dairy Person,HR Technology,23,"Dairy Person,HR Technology,23"
Store Manager,Executive,19,"Store Manager,Executive,19"
CEO,Executive,26,"CEO,Executive,26"
Baker,Bakery,18,"Baker,Bakery,18"
Processed Foods Manager,Training,25,"Processed Foods Manager,Training,25"
Store Manager,Meats,21,"Store Manager,Meats,21"
Meats Manager,Executive,23,"Meats Manager,Executive,23"
Produce Manager,Legal,25,"Produce Manager,Legal,25"
Accounts Receiveable Clerk,Accounting,22,"Accounts Receiveable Clerk,Accounting,22"
Processed Foods Manager,Investment,11,"Processed Foods Manager,Investment,11"
Produce Manager,Processed Foods,20,"Produce Manager,Processed Foods,20"
Benefits Admin,Bakery,21,"Benefits Admin,Bakery,21"
Customer Service Manager,Investment,25,"Customer Service Manager,Investment,25"
Dairy Person,Meats,17,"Dairy Person,Meats,17"
CHief Information Officer,Meats,25,"CHief Information Officer,Meats,25"
"Director, HR Technology",Executive,24,"Director, HR Technology,Executive,24"
Shelf Stocker,Dairy,11,"Shelf Stocker,Dairy,11"
Produce Clerk,Customer Service,13,"Produce Clerk,Customer Service,13"
Bakery Manager,Dairy,21,"Bakery Manager,Dairy,21"
"Exec Assistant, Human Resources",HR Technology,22,"Exec Assistant, Human Resources,HR Technology,22"
Meat Cutter,Customer Service,15,"Meat Cutter,Customer Service,15"
Processed Foods Manager,HR Technology,17,"Processed Foods Manager,HR Technology,17"
Store Manager,Executive,23,"Store Manager,Executive,23"
VP Human Resources,Executive,25,"VP Human Resources,Executive,25"
Shelf Stocker,Processed Foods,7,"Shelf Stocker,Processed Foods,7"
Meats Manager,Recruitment,25,"Meats Manager,Recruitment,25"
Dairy Person,Dairy,23,"Dairy Person,Dairy,23"
HRIS Analyst,Dairy,22,"HRIS Analyst,Dairy,22"
Meats Manager,Executive,24,"Meats Manager,Executive,24"
"Exec Assistant, Legal Counsel",Meats,25,"Exec Assistant, Legal Counsel,Meats,25"
Accounting Clerk,Dairy,22,"Accounting Clerk,Dairy,22"
Trainer,Processed Foods,20,"Trainer,Processed Foods,20"
VP Finance,Store Management,13,"VP Finance,Store Management,13"
Store Manager,Meats,19,"Store Manager,Meats,19"
Cashier,Dairy,24,"Cashier,Dairy,24"
VP Human Resources,Employee Records,17,"VP Human Resources,Employee Records,17"
Cashier,Dairy,2,"Cashier,Dairy,2"
Accounts Payable Clerk,Compensation,23,"Accounts Payable Clerk,Compensation,23"
Cashier,Customer Service,9,"Cashier,Customer Service,9"
Shelf Stocker,Dairy,13,"Shelf Stocker,Dairy,13"
Produce Clerk,Meats,25,"Produce Clerk,Meats,25"
Shelf Stocker,Customer Service,8,"Shelf Stocker,Customer Service,8"
Meats Manager,Executive,24,"Meats Manager,Executive,24"
VP Finance,Executive,26,"VP Finance,Executive,26"
Compensation Analyst,Dairy,14,"Compensation Analyst,Dairy,14"
Baker,Dairy,15,"Baker,Dairy,15"
Dairy Manager,Customer Service,14,"Dairy Manager,Customer Service,14"
Recruiter,Training,15,"Recruiter,Training,15"
Produce Clerk,Customer Service,10,"Produce Clerk,Customer Service,10"
"Exec Assistant, VP Stores",Executive,26,"Exec Assistant, VP Stores,Executive,26"
Customer Service Manager,Produce,24,"Customer Service Manager,Produce,24"
Customer Service Manager,Bakery,22,"Customer Service Manager,Bakery,22"
Dairy Person,Bakery,26,"Dairy Person,Bakery,26"
VP Human Resources,Labor Relations,15,"VP Human Resources,Labor Relations,15"
Benefits Admin,Legal,24,"Benefits Admin,Legal,24"
Baker,Executive,22,"Baker,Executive,22"
"Exec Assistant, Human Resources",Executive,24,"Exec Assistant, Human Resources,Executive,24"
Auditor,Executive,25,"Auditor,Executive,25"
Baker,Customer Service,8,"Baker,Customer Service,8"
"Exec Assistant, Human Resources",Meats,19,"Exec Assistant, Human Resources,Meats,19"
Investment Analyst,Accounts Payable,22,"Investment Analyst,Accounts Payable,22"
"Exec Assistant, Legal Counsel",Recruitment,15,"Exec Assistant, Legal Counsel,Recruitment,15"
Trainer,Executive,10,"Trainer,Executive,10"
Customer Service Manager,Employee Records,17,"Customer Service Manager,Employee Records,17"
Produce Manager,Executive,20,"Produce Manager,Executive,20"
CEO,Executive,23,"CEO,Executive,23"
CEO,Executive,19,"CEO,Executive,19"
"Exec Assistant, Finance",Training,24,"Exec Assistant, Finance,Training,24"
"Director, Accounts Payable",Executive,21,"Director, Accounts Payable,Executive,21"
"Exec Assistant, Finance",HR Technology,26,"Exec Assistant, Finance,HR Technology,26"
"Exec Assistant, Human Resources",Compensation,25,"Exec Assistant, Human Resources,Compensation,25"
Accounting Clerk,Meats,12,"Accounting Clerk,Meats,12"
Processed Foods Manager,Dairy,17,"Processed Foods Manager,Dairy,17"
Processed Foods Manager,Labor Relations,25,"Processed Foods Manager,Labor Relations,25"
Produce Clerk,Dairy,24,"Produce Clerk,Dairy,24"
Customer Service Manager,Accounting,14,"Customer Service Manager,Accounting,14"
Processed Foods Manager,Legal,24,"Processed Foods Manager,Legal,24"
Produce Clerk,Accounts Receiveable,21,"Produce Clerk,Accounts Receiveable,21"
Corporate Lawyer,Produce,16,"Corporate Lawyer,Produce,16"
Accounts Receiveable Clerk,Audit,19,"Accounts Receiveable Clerk,Audit,19"
HRIS Analyst,Dairy,25,"HRIS Analyst,Dairy,25"
Meat Cutter,Dairy,14,"Meat Cutter,Dairy,14"
Produce Manager,HR Technology,25,"Produce Manager,HR Technology,25"
Baker,Customer Service,19,"Baker,Customer Service,19"
Labor Relations Analyst,Recruitment,13,"Labor Relations Analyst,Recruitment,13"
Meat Cutter,Bakery,16,"Meat Cutter,Bakery,16"
Produce Manager,Investment,15,"Produce Manager,Investment,15"
Compensation Analyst,Accounting,22,"Compensation Analyst,Accounting,22"
Investment Analyst,Accounting,23,"Investment Analyst,Accounting,23"
Produce Manager,Labor Relations,26,"Produce Manager,Labor Relations,26"
Compensation Analyst,Produce,16,"Compensation Analyst,Produce,16"
"Director, Accounts Receivable",Executive,25,"Director, Accounts Receivable,Executive,25"
Cashier,Processed Foods,21,"Cashier,Processed Foods,21"
Dairy Manager,Compensation,19,"Dairy Manager,Compensation,19"
Shelf Stocker,Bakery,10,"Shelf Stocker,Bakery,10"
"Director, Accounts Receivable",Executive,21,"Director, Accounts Receivable,Executive,21"
Dairy Person,Processed Foods,24,"Dairy Person,Processed Foods,24"
Shelf Stocker,Dairy,12,"Shelf Stocker,Dairy,12"
Compensation Analyst,Customer Service,22,"Compensation Analyst,Customer Service,22"
Shelf Stocker,Customer Service,8,"Shelf Stocker,Customer Service,8"
VP Stores,Executive,26,"VP Stores,Executive,26"
Auditor,Bakery,19,"Auditor,Bakery,19"
"Exec Assistant, Legal Counsel",Executive,24,"Exec Assistant, Legal Counsel,Executive,24"
"Director, Accounts Receivable",Executive,15,"Director, Accounts Receivable,Executive,15"
Accounts Receiveable Clerk,Dairy,8,"Accounts Receiveable Clerk,Dairy,8"
Customer Service Manager,Produce,12,"Customer Service Manager,Produce,12"
"Director, Accounting",Investment,23,"Director, Accounting,Investment,23"
Baker,Processed Foods,25,"Baker,Processed Foods,25"
Dairy Person,Investment,22,"Dairy Person,Investment,22"
VP Stores,Executive,26,"VP Stores,Executive,26"
Bakery Manager,Accounts Receiveable,25,"Bakery Manager,Accounts Receiveable,25"
HRIS Analyst,Dairy,20,"HRIS Analyst,Dairy,20"
Shelf Stocker,Information Technology,15,"Shelf Stocker,Information Technology,15"
Processed Foods Manager,Recruitment,24,"Processed Foods Manager,Recruitment,24"
Investment Analyst,Processed Foods,17,"Investment Analyst,Processed Foods,17"
Investment Analyst,Investment,25,"Investment Analyst,Investment,25"
Shelf Stocker,Accounts Payable,21,"Shelf Stocker,Accounts Payable,21"
Cashier,Customer Service,16,"Cashier,Customer Service,16"
Processed Foods Manager,Meats,19,"Processed Foods Manager,Meats,19"
Meats Manager,Executive,20,"Meats Manager,Executive,20"
Processed Foods Manager,Compensation,21,"Processed Foods Manager,Compensation,21"
Processed Foods Manager,Executive,22,"Processed Foods Manager,Executive,22"
Accounting Clerk,Compensation,21,"Accounting Clerk,Compensation,21"
"Director, HR Technology",Executive,22,"Director, HR Technology,Executive,22"
Dairy Manager,Meats,23,"Dairy Manager,Meats,23"
Accounting Clerk,Customer Service,23,"Accounting Clerk,Customer Service,23"
"Director, Accounts Receivable",Executive,25,"Director, Accounts Receivable,Executive,25"
Labor Relations Analyst,Employee Records,13,"Labor Relations Analyst,Employee Records,13"
Shelf Stocker,Customer Service,21,"Shelf Stocker,Customer Service,21"
Legal Counsel,Executive,26,"Legal Counsel,Executive,26"
Customer Service Manager,Bakery,6,"Customer Service Manager,Bakery,6"
Investment Analyst,Accounting,19,"Investment Analyst,Accounting,19"
Produce Clerk,Processed Foods,25,"Produce Clerk,Processed Foods,25"
"Director, Accounts Receivable",Executive,17,"Director, Accounts Receivable,Executive,17"
Customer Service Manager,Processed Foods,16,"Customer Service Manager,Processed Foods,16"
"Exec Assistant, Human Resources",Legal,26,"Exec Assistant, Human Resources,Legal,26"
"Director, Compensation",Produce,22,"Director, Compensation,Produce,22"
"Director, Accounts Payable",Store Management,26,"Director, Accounts Payable,Store Management,26"
Baker,Dairy,24,"Baker,Dairy,24"
Dairy Person,Produce,20,"Dairy Person,Produce,20"
"Director, Recruitment",Labor Relations,22,"Director, Recruitment,Labor Relations,22"
Accounting Clerk,Customer Service,16,"Accounting Clerk,Customer Service,16"
Produce Manager,Executive,26,"Produce Manager,Executive,26"
Dairy Person,Executive,25,"Dairy Person,Executive,25"
Accounts Payable Clerk,Bakery,23,"Accounts Payable Clerk,Bakery,23"
Baker,Dairy,13,"Baker,Dairy,13"
"Exec Assistant, Legal Counsel",Labor Relations,25,"Exec Assistant, Legal Counsel,Labor Relations,25"
"Director, Compensation",Executive,23,"Director, Compensation,Executive,23"
Benefits Admin,Audit,22,"Benefits Admin,Audit,22"
Labor Relations Analyst,Audit,17,"Labor Relations Analyst,Audit,17"
Customer Service Manager,Bakery,9,"Customer Service Manager,Bakery,9"
Produce Clerk,Processed Foods,13,"Produce Clerk,Processed Foods,13"
Accounts Receiveable Clerk,Information Technology,18,"Accounts Receiveable Clerk,Information Technology,18"
Benefits Admin,Processed Foods,23,"Benefits Admin,Processed Foods,23"
Store Manager,Executive,26,"Store Manager,Executive,26"
"Director, Labor Relations",Accounts Receiveable,26,"Director, Labor Relations,Accounts Receiveable,26"
Cashier,Customer Service,8,"Cashier,Customer Service,8"
Bakery Manager,Meats,19,"Bakery Manager,Meats,19"
Baker,Produce,21,"Baker,Produce,21"
VP Finance,Store Management,18,"VP Finance,Store Management,18"
"Exec Assistant, Finance",Meats,26,"Exec Assistant, Finance,Meats,26"
Shelf Stocker,Accounting,21,"Shelf Stocker,Accounting,21"
Accounts Payable Clerk,Accounting,15,"Accounts Payable Clerk,Accounting,15"
Store Manager,Employee Records,25,"Store Manager,Employee Records,25"
"Director, Investments",Meats,25,"Director, Investments,Meats,25"
Labor Relations Analyst,Bakery,23,"Labor Relations Analyst,Bakery,23"
"Director, HR Technology",Executive,24,"Director, HR Technology,Executive,24"
Meat Cutter,Store Management,14,"Meat Cutter,Store Management,14"
VP Human Resources,Employee Records,26,"VP Human Resources,Employee Records,26"
VP Finance,Executive,14,"VP Finance,Executive,14"
"Exec Assistant, Human Resources",Legal,13,"Exec Assistant, Human Resources,Legal,13"
Accounts Payable Clerk,Processed Foods,23,"Accounts Payable Clerk,Processed Foods,23"
Bakery Manager,Store Management,23,"Bakery Manager,Store Management,23"
Investment Analyst,Investment,12,"Investment Analyst,Investment,12"
Store Manager,Store Management,26,"Store Manager,Store Management,26"
"Director, Recruitment",Executive,21,"Director, Recruitment,Executive,21"
Dairy Person,Employee Records,20,"Dairy Person,Employee Records,20"
"Director, Labor Relations",Meats,18,"Director, Labor Relations,Meats,18"
Customer Service Manager,Dairy,12,"Customer Service Manager,Dairy,12"
"Exec Assistant, Legal Counsel",Training,25,"Exec Assistant, Legal Counsel,Training,25"
Investment Analyst,Customer Service,16,"Investment Analyst,Customer Service,16"
Processed Foods Manager,Dairy,15,"Processed Foods Manager,Dairy,15"
Dairy Person,HR Technology,25,"Dairy Person,HR Technology,25"
Corporate Lawyer,Meats,24,"Corporate Lawyer,Meats,24"
Customer Service Manager,Bakery,21,"Customer Service Manager,Bakery,21"
Produce Clerk,Dairy,22,"Produce Clerk,Dairy,22"
"Director, Audit",Meats,26,"Director, Audit,Meats,26"
Shelf Stocker,Accounts Payable,23,"Shelf Stocker,Accounts Payable,23"
Produce Clerk,Bakery,19,"Produce Clerk,Bakery,19"
Dairy Manager,Meats,25,"Dairy Manager,Meats,25"
"Director, Employee Records",Produce,22,"Director, Employee Records,Produce,22"
Baker,Customer Service,11,"Baker,Customer Service,11"
Benefits Admin,HR Technology,19,"Benefits Admin,HR Technology,19"
Produce Clerk,Employee Records,18,"Produce Clerk,Employee Records,18"
Produce Clerk,Customer Service,6,"Produce Clerk,Customer Service,6"
Baker,Processed Foods,24,"Baker,Processed Foods,24"
Labor Relations Analyst,Meats,9,"Labor Relations Analyst,Meats,9"
Compensation Analyst,Accounting,22,"Compensation Analyst,Accounting,22"
Dairy Person,Executive,25,"Dairy Person,Executive,25"
Accounts Receiveable Clerk,Audit,22,"Accounts Receiveable Clerk,Audit,22"
"Director, Labor Relations",Meats,23,"Director, Labor Relations,Meats,23"
Dairy Person,HR Technology,12,"Dairy Person,HR Technology,12"
Customer Service Manager,Customer Service,13,"Customer Service Manager,Customer Service,13"
Shelf Stocker,Dairy,22,"Shelf Stocker,Dairy,22"
Processed Foods Manager,Investment,15,"Processed Foods Manager,Investment,15"
Shelf Stocker,Customer Service,11,"Shelf Stocker,Customer Service,11"
"Director, Accounts Receivable",Recruitment,23,"Director, Accounts Receivable,Recruitment,23"
"Exec Assistant, Legal Counsel",Executive,19,"Exec Assistant, Legal Counsel,Executive,19"
"Director, Training",Meats,19,"Director, Training,Meats,19"
Produce Manager,Store Management,18,"Produce Manager,Store Management,18"
Baker,Processed Foods,19,"Baker,Processed Foods,19"
Produce Clerk,Customer Service,14,"Produce Clerk,Customer Service,14"
Labor Relations Analyst,Labor Relations,10,"Labor Relations Analyst,Labor Relations,10"
Bakery Manager,HR Technology,25,"Bakery Manager,HR Technology,25"
"Exec Assistant, Finance",Executive,24,"Exec Assistant, Finance,Executive,24"
Systems Analyst,Produce,26,"Systems Analyst,Produce,26"
Cashier,Dairy,12,"Cashier,Dairy,12"
Produce Clerk,Accounting,18,"Produce Clerk,Accounting,18"
Meat Cutter,Executive,21,"Meat Cutter,Executive,21"
VP Human Resources,Executive,22,"VP Human Resources,Executive,22"
HRIS Analyst,Dairy,25,"HRIS Analyst,Dairy,25"
Shelf Stocker,Processed Foods,17,"Shelf Stocker,Processed Foods,17"
"Exec Assistant, Legal Counsel",Executive,26,"Exec Assistant, Legal Counsel,Executive,26"
Legal Counsel,Executive,22,"Legal Counsel,Executive,22"
"Director, Accounts Receivable",Store Management,25,"Director, Accounts Receivable,Store Management,25"
Produce Manager,Dairy,22,"Produce Manager,Dairy,22"
"Director, Employee Records",Audit,23,"Director, Employee Records,Audit,23"
Baker,Accounting,23,"Baker,Accounting,23"
Processed Foods Manager,Executive,8,"Processed Foods Manager,Executive,8"
Baker,Labor Relations,25,"Baker,Labor Relations,25"
Dairy Person,Bakery,19,"Dairy Person,Bakery,19"
"Exec Assistant, VP Stores",Meats,24,"Exec Assistant, VP Stores,Meats,24"
Dairy Manager,Processed Foods,10,"Dairy Manager,Processed Foods,10"
Shelf Stocker,Dairy,22,"Shelf Stocker,Dairy,22"
"Exec Assistant, VP Stores",Executive,20,"Exec Assistant, VP Stores,Executive,20"
"Director, Accounting",Bakery,19,"Director, Accounting,Bakery,19"
Recruiter,Accounts Payable,20,"Recruiter,Accounts Payable,20"
Store Manager,HR Technology,26,"Store Manager,HR Technology,26"
VP Human Resources,Executive,21,"VP Human Resources,Executive,21"
Produce Clerk,Customer Service,21,"Produce Clerk,Customer Service,21"
Accounts Payable Clerk,Legal,23,"Accounts Payable Clerk,Legal,23"
Produce Clerk,Audit,19,"Produce Clerk,Audit,19"
"Director, Compensation",Executive,26,"Director, Compensation,Executive,26"
"Director, Recruitment",Executive,24,"Director, Recruitment,Executive,24"
Baker,Information Technology,20,"Baker,Information Technology,20"
Cashier,Customer Service,9,"Cashier,Customer Service,9"
Produce Clerk,Customer Service,23,"Produce Clerk,Customer Service,23"
VP Stores,Executive,26,"VP Stores,Executive,26"
Investment Analyst,Dairy,19,"Investment Analyst,Dairy,19"
Shelf Stocker,Customer Service,19,"Shelf Stocker,Customer Service,19"
Processed Foods Manager,Training,25,"Processed Foods Manager,Training,25"
Produce Clerk,Processed Foods,18,"Produce Clerk,Processed Foods,18"
"Exec Assistant, Human Resources",Bakery,23,"Exec Assistant, Human Resources,Bakery,23"
Bakery Manager,HR Technology,10,"Bakery Manager,HR Technology,10"
"Exec Assistant, Finance",Meats,21,"Exec Assistant, Finance,Meats,21"
Meat Cutter,Processed Foods,23,"Meat Cutter,Processed Foods,23"
"Exec Assistant, Finance",Recruitment,21,"Exec Assistant, Finance,Recruitment,21"
Dairy Manager,Processed Foods,19,"Dairy Manager,Processed Foods,19"
Dairy Manager,Accounts Payable,25,"Dairy Manager,Accounts Payable,25"
Customer Service Manager,Labor Relations,21,"Customer Service Manager,Labor Relations,21"
VP Human Resources,Produce,25,"VP Human Resources,Produce,25"
Labor Relations Analyst,Executive,21,"Labor Relations Analyst,Executive,21"
Produce Clerk,Produce,7,"Produce Clerk,Produce,7"
HRIS Analyst,Processed Foods,19,"HRIS Analyst,Processed Foods,19"
"Director, Accounts Payable",Meats,18,"Director, Accounts Payable,Meats,18"
Shelf Stocker,Customer Service,19,"Shelf Stocker,Customer Service,19"
CHief Information Officer,Compensation,24,"CHief Information Officer,Compensation,24"
"Director, Accounts Receivable",Recruitment,19,"Director, Accounts Receivable,Recruitment,19"
Produce Clerk,Executive,23,"Produce Clerk,Executive,23"
Baker,Customer Service,9,"Baker,Customer Service,9"
"Exec Assistant, Human Resources",Meats,26,"Exec Assistant, Human Resources,Meats,26"
Investment Analyst,Bakery,12,"Investment Analyst,Bakery,12"
Meat Cutter,Accounting,24,"Meat Cutter,Accounting,24"
Store Manager,Recruitment,25,"Store Manager,Recruitment,25"
Meats Manager,Employee Records,13,"Meats Manager,Employee Records,13"
HRIS Analyst,Bakery,20,"HRIS Analyst,Bakery,20"
Cashier,Processed Foods,20,"Cashier,Processed Foods,20"
Bakery Manager,Bakery,13,"Bakery Manager,Bakery,13"
Baker,Executive,20,"Baker,Executive,20"
VP Finance,Executive,25,"VP Finance,Executive,25"
Compensation Analyst,Accounting,8,"Compensation Analyst,Accounting,8"
Accounts Payable Clerk,Executive,17,"Accounts Payable Clerk,Executive,17"
Processed Foods Manager,Processed Foods,23,"Processed Foods Manager,Processed Foods,23"
Processed Foods Manager,Meats,19,"Processed Foods Manager,Meats,19"
Accounts Payable Clerk,Customer Service,17,"Accounts Payable Clerk,Customer Service,17"
"Director, Accounts Receivable",Training,25,"Director, Accounts Receivable,Training,25"
Benefits Admin,Recruitment,21,"Benefits Admin,Recruitment,21"
Bakery Manager,Training,24,"Bakery Manager,Training,24"
Accounting Clerk,Employee Records,23,"Accounting Clerk,Employee Records,23"
Dairy Person,Accounts Receiveable,16,"Dairy Person,Accounts Receiveable,16"
VP Human Resources,Executive,25,"VP Human Resources,Executive,25"
"Exec Assistant, Human Resources",Store Management,23,"Exec Assistant, Human Resources,Store Management,23"
Produce Clerk,Customer Service,6,"Produce Clerk,Customer Service,6"
Dairy Person,Accounts Receiveable,26,"Dairy Person,Accounts Receiveable,26"
Produce Clerk,Accounts Receiveable,21,"Produce Clerk,Accounts Receiveable,21"
Accounting Clerk,Investment,12,"Accounting Clerk,Investment,12"
Produce Clerk,Dairy,22,"Produce Clerk,Dairy,22"
"Director, Accounting",HR Technology,25,"Director, Accounting,HR Technology,25"
Dairy Manager,Customer Service,23,"Dairy Manager,Customer Service,23"
Accounts Payable Clerk,Bakery,17,"Accounts Payable Clerk,Bakery,17"
Benefits Admin,HR Technology,25,"Benefits Admin,HR Technology,25"
VP Stores,Executive,24,"VP Stores,Executive,24"
Cashier,Customer Service,15,"Cashier,Customer Service,15"
Compensation Analyst,Bakery,21,"Compensation Analyst,Bakery,21"
VP Human Resources,Executive,25,"VP Human Resources,Executive,25"
Corporate Lawyer,Dairy,17,"Corporate Lawyer,Dairy,17"
Dairy Person,Produce,25,"Dairy Person,Produce,25"
Dairy Person,Meats,20,"Dairy Person,Meats,20"
Produce Clerk,Customer Service,6,"Produce Clerk,Customer Service,6"
Bakery Manager,Bakery,23,"Bakery Manager,Bakery,23"
Recruiter,Meats,23,"Recruiter,Meats,23"
CEO,Executive,25,"CEO,Executive,25"
"Exec Assistant, Legal Counsel",Executive,24,"Exec Assistant, Legal Counsel,Executive,24"
Accounting Clerk,Audit,23,"Accounting Clerk,Audit,23"
Benefits Admin,Dairy,18,"Benefits Admin,Dairy,18"
HRIS Analyst,Accounts Payable,25,"HRIS Analyst,Accounts Payable,25"
Meat Cutter,Bakery,26,"Meat Cutter,Bakery,26"
Produce Clerk,Dairy,21,"Produce Clerk,Dairy,21"
Meat Cutter,Bakery,21,"Meat Cutter,Bakery,21"
Labor Relations Analyst,Labor Relations,24,"Labor Relations Analyst,Labor Relations,24"
Cashier,Processed Foods,16,"Cashier,Processed Foods,16"
Processed Foods Manager,HR Technology,25,"Processed Foods Manager,HR Technology,25"
Baker,Produce,24,"Baker,Produce,24"
Baker,Accounting,6,"Baker,Accounting,6"
Shelf Stocker,Customer Service,23,"Shelf Stocker,Customer Service,23"
Recruiter,Produce,10,"Recruiter,Produce,10"
Dairy Person,Store Management,26,"Dairy Person,Store Management,26"
Labor Relations Analyst,Labor Relations,17,"Labor Relations Analyst,Labor Relations,17"
Auditor,Bakery,22,"Auditor,Bakery,22"
"Director, Recruitment",Accounts Receiveable,25,"Director, Recruitment,Accounts Receiveable,25"
Shelf Stocker,Investment,15,"Shelf Stocker,Investment,15"
Compensation Analyst,Investment,7,"Compensation Analyst,Investment,7"
Shelf Stocker,Customer Service,22,"Shelf Stocker,Customer Service,22"
Cashier,Customer Service,17,"Cashier,Customer Service,17"
Investment Analyst,Processed Foods,16,"Investment Analyst,Processed Foods,16"
Baker,Legal,21,"Baker,Legal,21"
Labor Relations Analyst,Processed Foods,19,"Labor Relations Analyst,Processed Foods,19"
Customer Service Manager,Produce,26,"Customer Service Manager,Produce,26"
"Exec Assistant, Finance",Employee Records,23,"Exec Assistant, Finance,Employee Records,23"
Systems Analyst,Bakery,16,"Systems Analyst,Bakery,16"
Store Manager,Accounts Payable,23,"Store Manager,Accounts Payable,23"
HRIS Analyst,Accounts Payable,25,"HRIS Analyst,Accounts Payable,25"
Dairy Person,Customer Service,24,"Dairy Person,Customer Service,24"
"Director, Accounts Payable",Executive,22,"Director, Accounts Payable,Executive,22"
Dairy Person,Employee Records,24,"Dairy Person,Employee Records,24"
Produce Clerk,Produce,20,"Produce Clerk,Produce,20"
Recruiter,Store Management,11,"Recruiter,Store Management,11"
"Exec Assistant, VP Stores",Store Management,23,"Exec Assistant, VP Stores,Store Management,23"
Meats Manager,Executive,25,"Meats Manager,Executive,25"
Store Manager,Compensation,20,"Store Manager,Compensation,20"
Bakery Manager,Recruitment,19,"Bakery Manager,Recruitment,19"
Customer Service Manager,HR Technology,21,"Customer Service Manager,HR Technology,21"
"Director, HR Technology",Produce,22,"Director, HR Technology,Produce,22"
Bakery Manager,Dairy,15,"Bakery Manager,Dairy,15"
Systems Analyst,Meats,26,"Systems Analyst,Meats,26"
Accounting Clerk,Investment,24,"Accounting Clerk,Investment,24"
Accounting Clerk,Customer Service,24,"Accounting Clerk,Customer Service,24"
"Director, Accounts Receivable",HR Technology,24,"Director, Accounts Receivable,HR Technology,24"
Customer Service Manager,Customer Service,20,"Customer Service Manager,Customer Service,20"
Customer Service Manager,Executive,24,"Customer Service Manager,Executive,24"
Baker,Processed Foods,9,"Baker,Processed Foods,9"
Store Manager,Executive,25,"Store Manager,Executive,25"
Store Manager,Executive,26,"Store Manager,Executive,26"
Dairy Person,Meats,26,"Dairy Person,Meats,26"
Shelf Stocker,Accounting,4,"Shelf Stocker,Accounting,4"
Labor Relations Analyst,Executive,23,"Labor Relations Analyst,Executive,23"
Store Manager,Executive,16,"Store Manager,Executive,16"
Shelf Stocker,Produce,14,"Shelf Stocker,Produce,14"
HRIS Analyst,Dairy,14,"HRIS Analyst,Dairy,14"
Accounting Clerk,Accounts Receiveable,26,"Accounting Clerk,Accounts Receiveable,26"
Produce Clerk,Dairy,20,"Produce Clerk,Dairy,20"
Store Manager,Executive,26,"Store Manager,Executive,26"
VP Human Resources,Executive,20,"VP Human Resources,Executive,20"
Dairy Person,Bakery,22,"Dairy Person,Bakery,22"
Dairy Person,Legal,22,"Dairy Person,Legal,22"
Baker,Investment,6,"Baker,Investment,6"
Benefits Admin,Accounts Payable,6,"Benefits Admin,Accounts Payable,6"
"Exec Assistant, Finance",HR Technology,23,"Exec Assistant, Finance,HR Technology,23"
Customer Service Manager,Recruitment,18,"Customer Service Manager,Recruitment,18"
Meat Cutter,Compensation,23,"Meat Cutter,Compensation,23"
Dairy Manager,Labor Relations,23,"Dairy Manager,Labor Relations,23"
"Exec Assistant, Legal Counsel",Legal,25,"Exec Assistant, Legal Counsel,Legal,25"
"Director, Employee Records",Processed Foods,25,"Director, Employee Records,Processed Foods,25"
Customer Service Manager,Executive,23,"Customer Service Manager,Executive,23"
"Director, Training",Training,22,"Director, Training,Training,22"
"Director, Employee Records",HR Technology,25,"Director, Employee Records,HR Technology,25"
Shelf Stocker,Dairy,23,"Shelf Stocker,Dairy,23"
Recruiter,Compensation,11,"Recruiter,Compensation,11"
"Exec Assistant, Legal Counsel",Meats,26,"Exec Assistant, Legal Counsel,Meats,26"
Produce Clerk,Information Technology,21,"Produce Clerk,Information Technology,21"
VP Stores,Executive,26,"VP Stores,Executive,26"
VP Human Resources,Legal,26,"VP Human Resources,Legal,26"
Dairy Manager,Dairy,24,"Dairy Manager,Dairy,24"
"Director, Employee Records",Accounts Receiveable,20,"Director, Employee Records,Accounts Receiveable,20"
