transaction_amount,merchant_name,date,transaction_details
345.94,Anderson and Sons,2023-09-08,"345.94,Anderson and Sons,2023-09-08"
74.79,"Jones, Romero and Simon",2023-07-14,"74.79,Jones, Romero and Simon,2023-07-14"
1601.05,Miranda-Hernandez,2023-02-24,"1601.05,Miranda-Hernandez,2023-02-24"
430.24,Armstrong-Thomas,2023-03-14,"430.24,Armstrong-Thomas,2023-03-14"
239.53,"Wallace, Orozco and Walker",2023-04-05,"239.53,Wallace, Orozco and Walker,2023-04-05"
2046.06,Parker Group,2023-01-08,"2046.06,Parker Group,2023-01-08"
117.67,Martinez-Sweeney,2023-07-06,"117.67,Martinez-Sweeney,2023-07-06"
863.22,"Hogan, Gray and Mckinney",2023-02-05,"863.22,Hogan, Gray and Mckinney,2023-02-05"
1546.51,Hansen Group,2023-10-10,"1546.51,Hansen Group,2023-10-10"
35.87,Esparza-Hunt,2023-08-09,"35.87,Esparza-Hunt,2023-08-09"
612.26,"West, Taylor and Erickson",2023-06-15,"612.26,West, Taylor and Erickson,2023-06-15"
344.69,"Hayes, Pope and Woods",2023-07-03,"344.69,Hayes, Pope and Woods,2023-07-03"
2897.04,French LLC,2023-06-11,"2897.04,French LLC,2023-06-11"
143.33,"Terry, Gates and Jackson",2023-05-13,"143.33,Terry, Gates and Jackson,2023-05-13"
464.58,"Baker, Black and Nichols",2023-08-25,"464.58,Baker, Black and Nichols,2023-08-25"
739.25,Fernandez LLC,2023-03-17,"739.25,Fernandez LLC,2023-03-17"
1109.9,"Ferguson, Wood and Murphy",2023-06-23,"1109.9,Ferguson, Wood and Murphy,2023-06-23"
166.46,Contreras-Tran,2023-05-01,"166.46,Contreras-Tran,2023-05-01"
397.44,Stokes Ltd,2023-06-03,"397.44,Stokes Ltd,2023-06-03"
486.41,Walker-Bell,2023-10-01,"486.41,Walker-Bell,2023-10-01"
2745.82,Johnson-Ingram,2023-03-29,"2745.82,Johnson-Ingram,2023-03-29"
191.45,Henson-Lawrence,2023-03-14,"191.45,Henson-Lawrence,2023-03-14"
488.41,"Pratt, Chase and Lewis",2023-06-28,"488.41,Pratt, Chase and Lewis,2023-06-28"
328.53,Rush and Sons,2023-06-11,"328.53,Rush and Sons,2023-06-11"
866.0,"Clark, Matthews and Smith",2023-03-07,"866.0,Clark, Matthews and Smith,2023-03-07"
146.93,Patterson LLC,2023-05-10,"146.93,Patterson LLC,2023-05-10"
82.59,"Werner, Simmons and Stokes",2023-09-24,"82.59,Werner, Simmons and Stokes,2023-09-24"
282.21,Lopez Inc,2023-01-27,"282.21,Lopez Inc,2023-01-27"
58.06,"Payne, Bridges and Morris",2023-08-05,"58.06,Payne, Bridges and Morris,2023-08-05"
146.25,Mcguire-Mendoza,2023-06-27,"146.25,Mcguire-Mendoza,2023-06-27"
15.37,"Jones, Garza and Henry",2023-02-28,"15.37,Jones, Garza and Henry,2023-02-28"
50.32,Gray-Carter,2023-08-16,"50.32,Gray-Carter,2023-08-16"
241.88,James PLC,2023-01-15,"241.88,James PLC,2023-01-15"
287.29,"Young, Fry and Webb",2023-03-30,"287.29,Young, Fry and Webb,2023-03-30"
336.94,"Padilla, Stephens and Duncan",2023-01-17,"336.94,Padilla, Stephens and Duncan,2023-01-17"
262.67,Garcia-Wright,2023-02-26,"262.67,Garcia-Wright,2023-02-26"
255.46,King Group,2023-03-22,"255.46,King Group,2023-03-22"
211.3,Fletcher Ltd,2023-10-10,"211.3,Fletcher Ltd,2023-10-10"
26.65,Reynolds Inc,2023-06-06,"26.65,Reynolds Inc,2023-06-06"
1605.27,"Mclaughlin, Nguyen and Anderson",2023-09-29,"1605.27,Mclaughlin, Nguyen and Anderson,2023-09-29"
1843.25,"Williams, Perez and Powell",2023-01-12,"1843.25,Williams, Perez and Powell,2023-01-12"
135.91,"Moses, Williams and Hensley",2023-05-17,"135.91,Moses, Williams and Hensley,2023-05-17"
29.82,Garrison-Kennedy,2023-03-23,"29.82,Garrison-Kennedy,2023-03-23"
147.18,Adams-Garcia,2023-03-18,"147.18,Adams-Garcia,2023-03-18"
648.18,Harvey Inc,2023-08-13,"648.18,Harvey Inc,2023-08-13"
1148.15,Perry-Hines,2023-04-11,"1148.15,Perry-Hines,2023-04-11"
49.26,"Fowler, Martin and Newton",2023-01-09,"49.26,Fowler, Martin and Newton,2023-01-09"
81.6,Johnson-Garza,2023-09-07,"81.6,Johnson-Garza,2023-09-07"
114.98,Cook Inc,2023-07-27,"114.98,Cook Inc,2023-07-27"
166.03,"Santana, Miller and Berry",2023-05-29,"166.03,Santana, Miller and Berry,2023-05-29"
1295.43,Church-Stout,2023-02-14,"1295.43,Church-Stout,2023-02-14"
186.76,Bailey and Sons,2023-02-09,"186.76,Bailey and Sons,2023-02-09"
352.16,Roach-Gordon,2023-03-03,"352.16,Roach-Gordon,2023-03-03"
185.0,"Johnson, Walton and Lawson",2023-07-20,"185.0,Johnson, Walton and Lawson,2023-07-20"
25.26,Smith LLC,2023-04-24,"25.26,Smith LLC,2023-04-24"
272.67,"Fox, Christensen and White",2023-07-14,"272.67,Fox, Christensen and White,2023-07-14"
819.11,Carlson PLC,2023-04-11,"819.11,Carlson PLC,2023-04-11"
121.41,Fuller LLC,2023-02-25,"121.41,Fuller LLC,2023-02-25"
98.11,"Todd, Daniels and Barnett",2023-09-05,"98.11,Todd, Daniels and Barnett,2023-09-05"
292.11,"Gray, Cunningham and Weaver",2023-02-02,"292.11,Gray, Cunningham and Weaver,2023-02-02"
596.3,Collins-Kelly,2023-01-06,"596.3,Collins-Kelly,2023-01-06"
32.34,Carroll-Bruce,2023-05-04,"32.34,Carroll-Bruce,2023-05-04"
81.84,"Cruz, French and Carter",2023-09-19,"81.84,Cruz, French and Carter,2023-09-19"
461.3,Taylor-Morrow,2023-02-06,"461.3,Taylor-Morrow,2023-02-06"
260.35,Butler-Garcia,2023-06-20,"260.35,Butler-Garcia,2023-06-20"
36.9,Waters Ltd,2023-03-07,"36.9,Waters Ltd,2023-03-07"
634.57,Taylor-Hart,2023-08-07,"634.57,Taylor-Hart,2023-08-07"
19.79,Garcia-Davis,2023-07-20,"19.79,Garcia-Davis,2023-07-20"
126.43,"Hansen, Hernandez and Ayala",2023-03-03,"126.43,Hansen, Hernandez and Ayala,2023-03-03"
2553.32,Conley-Garza,2023-03-18,"2553.32,Conley-Garza,2023-03-18"
115.58,Rodriguez-Higgins,2023-09-13,"115.58,Rodriguez-Higgins,2023-09-13"
400.77,"Sanders, Thomas and Wallace",2023-05-04,"400.77,Sanders, Thomas and Wallace,2023-05-04"
2785.6,Riley-Wallace,2023-05-09,"2785.6,Riley-Wallace,2023-05-09"
87.41,Webb LLC,2023-01-15,"87.41,Webb LLC,2023-01-15"
37.93,"Sutton, Cabrera and Stone",2023-09-13,"37.93,Sutton, Cabrera and Stone,2023-09-13"
47.58,Davis and Sons,2023-04-26,"47.58,Davis and Sons,2023-04-26"
110.91,"Wallace, Owens and Lang",2023-06-27,"110.91,Wallace, Owens and Lang,2023-06-27"
586.23,"Green, Watson and Ferrell",2023-07-29,"586.23,Green, Watson and Ferrell,2023-07-29"
179.44,Cooper-Figueroa,2023-06-06,"179.44,Cooper-Figueroa,2023-06-06"
2393.82,Sullivan-Perry,2023-04-30,"2393.82,Sullivan-Perry,2023-04-30"
164.56,"Holmes, Rowe and Wilkinson",2023-07-07,"164.56,Holmes, Rowe and Wilkinson,2023-07-07"
278.23,Barnett LLC,2023-06-13,"278.23,Barnett LLC,2023-06-13"
478.76,Nash-Walker,2023-08-26,"478.76,Nash-Walker,2023-08-26"
138.7,"Velasquez, Tucker and James",2023-07-29,"138.7,Velasquez, Tucker and James,2023-07-29"
178.76,Smith Group,2023-07-26,"178.76,Smith Group,2023-07-26"
251.05,"Hall, Harmon and Hughes",2023-09-10,"251.05,Hall, Harmon and Hughes,2023-09-10"
54.73,Perez Inc,2023-03-20,"54.73,Perez Inc,2023-03-20"
217.02,Romero LLC,2023-03-14,"217.02,Romero LLC,2023-03-14"
393.88,Love Ltd,2023-03-26,"393.88,Love Ltd,2023-03-26"
464.49,Price Group,2023-06-18,"464.49,Price Group,2023-06-18"
89.7,Joseph and Sons,2023-05-11,"89.7,Joseph and Sons,2023-05-11"
716.17,"Austin, Cox and Lester",2023-03-01,"716.17,Austin, Cox and Lester,2023-03-01"
196.57,Dawson Inc,2023-04-27,"196.57,Dawson Inc,2023-04-27"
382.77,Campbell and Sons,2023-10-09,"382.77,Campbell and Sons,2023-10-09"
78.07,Reynolds-White,2023-09-10,"78.07,Reynolds-White,2023-09-10"
31.41,Richards-Jones,2023-01-22,"31.41,Richards-Jones,2023-01-22"
613.45,Nunez LLC,2023-09-18,"613.45,Nunez LLC,2023-09-18"
427.11,Rivera-Copeland,2023-10-11,"427.11,Rivera-Copeland,2023-10-11"
42.08,"Harrison, Lee and Monroe",2023-04-20,"42.08,Harrison, Lee and Monroe,2023-04-20"
1881.96,Stanley-Johns,2023-03-19,"1881.96,Stanley-Johns,2023-03-19"
87.31,Gardner-Marquez,2023-07-08,"87.31,Gardner-Marquez,2023-07-08"
315.83,Mclean LLC,2023-02-28,"315.83,Mclean LLC,2023-02-28"
23.26,"Camacho, Henry and Peters",2023-07-18,"23.26,Camacho, Henry and Peters,2023-07-18"
569.24,Horn Ltd,2023-06-18,"569.24,Horn Ltd,2023-06-18"
91.29,Roman PLC,2023-01-11,"91.29,Roman PLC,2023-01-11"
432.02,Arellano LLC,2023-07-30,"432.02,Arellano LLC,2023-07-30"
772.0,Lambert Group,2023-06-29,"772.0,Lambert Group,2023-06-29"
183.05,"Larson, Gonzalez and Johnson",2023-06-20,"183.05,Larson, Gonzalez and Johnson,2023-06-20"
2046.71,Newman-Dixon,2023-09-15,"2046.71,Newman-Dixon,2023-09-15"
442.82,Barnes-Frederick,2023-07-31,"442.82,Barnes-Frederick,2023-07-31"
460.21,"Allen, Lopez and Ross",2023-02-24,"460.21,Allen, Lopez and Ross,2023-02-24"
92.1,Ward-Keller,2023-03-10,"92.1,Ward-Keller,2023-03-10"
2670.12,Barry and Sons,2023-05-02,"2670.12,Barry and Sons,2023-05-02"
130.82,Nelson-White,2023-01-16,"130.82,Nelson-White,2023-01-16"
2887.28,Hernandez-Peterson,2023-09-30,"2887.28,Hernandez-Peterson,2023-09-30"
637.32,"Brown, Norris and Brown",2023-03-14,"637.32,Brown, Norris and Brown,2023-03-14"
708.49,Serrano Group,2023-06-09,"708.49,Serrano Group,2023-06-09"
40.73,Ortiz and Sons,2023-07-04,"40.73,Ortiz and Sons,2023-07-04"
255.59,Paul Group,2023-03-28,"255.59,Paul Group,2023-03-28"
729.91,Fernandez-Bright,2023-09-01,"729.91,Fernandez-Bright,2023-09-01"
55.55,James Group,2023-09-02,"55.55,James Group,2023-09-02"
2816.78,Garcia-Carter,2023-03-20,"2816.78,Garcia-Carter,2023-03-20"
191.96,Riggs Inc,2023-10-02,"191.96,Riggs Inc,2023-10-02"
80.76,Moon LLC,2023-10-09,"80.76,Moon LLC,2023-10-09"
57.72,"Carey, Haney and Jones",2023-08-21,"57.72,Carey, Haney and Jones,2023-08-21"
169.03,Scott-Huffman,2023-09-01,"169.03,Scott-Huffman,2023-09-01"
132.24,"Green, Wilson and Henry",2023-09-05,"132.24,Green, Wilson and Henry,2023-09-05"
65.58,Turner Group,2023-10-08,"65.58,Turner Group,2023-10-08"
391.0,Lambert Inc,2023-05-02,"391.0,Lambert Inc,2023-05-02"
2216.77,Rodriguez-Bailey,2023-08-10,"2216.77,Rodriguez-Bailey,2023-08-10"
67.83,Allen Group,2023-01-22,"67.83,Allen Group,2023-01-22"
222.46,Wilson Group,2023-03-28,"222.46,Wilson Group,2023-03-28"
194.88,Zimmerman-Carlson,2023-09-26,"194.88,Zimmerman-Carlson,2023-09-26"
268.88,"Mitchell, Rodriguez and Schmitt",2023-07-01,"268.88,Mitchell, Rodriguez and Schmitt,2023-07-01"
902.3,Dudley Inc,2023-02-17,"902.3,Dudley Inc,2023-02-17"
80.86,"West, King and Ford",2023-01-20,"80.86,West, King and Ford,2023-01-20"
164.13,Middleton LLC,2023-08-21,"164.13,Middleton LLC,2023-08-21"
183.45,Green-Harrington,2023-04-07,"183.45,Green-Harrington,2023-04-07"
13.75,"Warner, Ramirez and Turner",2023-04-24,"13.75,Warner, Ramirez and Turner,2023-04-24"
447.55,"Peterson, Adams and Jones",2023-09-04,"447.55,Peterson, Adams and Jones,2023-09-04"
514.34,"Kelley, Schaefer and White",2023-05-18,"514.34,Kelley, Schaefer and White,2023-05-18"
39.27,"Johnson, Crawford and Crawford",2023-01-24,"39.27,Johnson, Crawford and Crawford,2023-01-24"
2024.31,Fisher-Collins,2023-07-27,"2024.31,Fisher-Collins,2023-07-27"
41.18,Gutierrez-Lopez,2023-04-02,"41.18,Gutierrez-Lopez,2023-04-02"
318.95,White-Conner,2023-03-18,"318.95,White-Conner,2023-03-18"
22.46,"Hopkins, Ford and Waller",2023-09-24,"22.46,Hopkins, Ford and Waller,2023-09-24"
83.82,Gardner-Blair,2023-08-05,"83.82,Gardner-Blair,2023-08-05"
395.97,Farmer-Hernandez,2023-08-16,"395.97,Farmer-Hernandez,2023-08-16"
664.14,Alexander-Gross,2023-04-01,"664.14,Alexander-Gross,2023-04-01"
136.44,"Stanley, Lewis and Arnold",2023-02-26,"136.44,Stanley, Lewis and Arnold,2023-02-26"
464.7,Kramer-Jackson,2023-02-12,"464.7,Kramer-Jackson,2023-02-12"
115.98,Hayes-Turner,2023-08-09,"115.98,Hayes-Turner,2023-08-09"
304.91,"Ray, Harris and Douglas",2023-04-17,"304.91,Ray, Harris and Douglas,2023-04-17"
170.3,"Lang, Marks and Martin",2023-02-07,"170.3,Lang, Marks and Martin,2023-02-07"
2779.55,"Martinez, Burns and Wallace",2023-07-13,"2779.55,Martinez, Burns and Wallace,2023-07-13"
716.47,Garrison-Olson,2023-08-25,"716.47,Garrison-Olson,2023-08-25"
212.66,Hoffman Group,2023-08-02,"212.66,Hoffman Group,2023-08-02"
448.99,"Brooks, Wilson and Welch",2023-02-05,"448.99,Brooks, Wilson and Welch,2023-02-05"
149.6,Juarez-Davis,2023-07-21,"149.6,Juarez-Davis,2023-07-21"
130.38,Wallace LLC,2023-02-16,"130.38,Wallace LLC,2023-02-16"
991.76,Evans-Wilson,2023-08-05,"991.76,Evans-Wilson,2023-08-05"
30.95,Guerrero-Delgado,2023-02-24,"30.95,Guerrero-Delgado,2023-02-24"
2616.63,Young-Calderon,2023-06-02,"2616.63,Young-Calderon,2023-06-02"
77.17,Alexander-Peterson,2023-08-16,"77.17,Alexander-Peterson,2023-08-16"
784.39,"Woods, Baker and Evans",2023-10-01,"784.39,Woods, Baker and Evans,2023-10-01"
846.36,Bray Ltd,2023-09-18,"846.36,Bray Ltd,2023-09-18"
256.98,"Mason, Rodriguez and Peterson",2023-09-23,"256.98,Mason, Rodriguez and Peterson,2023-09-23"
392.52,Faulkner Inc,2023-03-25,"392.52,Faulkner Inc,2023-03-25"
128.16,"Duncan, Mills and Walters",2023-01-10,"128.16,Duncan, Mills and Walters,2023-01-10"
15.31,"Kelly, Graves and Brown",2023-04-06,"15.31,Kelly, Graves and Brown,2023-04-06"
47.43,Miller Inc,2023-02-01,"47.43,Miller Inc,2023-02-01"
30.08,Smith-Cantu,2023-03-06,"30.08,Smith-Cantu,2023-03-06"
40.7,"Lee, Robinson and Brown",2023-04-20,"40.7,Lee, Robinson and Brown,2023-04-20"
27.33,Willis-Martinez,2023-07-01,"27.33,Willis-Martinez,2023-07-01"
21.46,"Kennedy, Miller and Brown",2023-04-29,"21.46,Kennedy, Miller and Brown,2023-04-29"
747.03,Thornton-Jones,2023-04-30,"747.03,Thornton-Jones,2023-04-30"
63.17,"Williams, Atkins and King",2023-01-12,"63.17,Williams, Atkins and King,2023-01-12"
981.03,"Sanchez, Johnson and Hernandez",2023-03-29,"981.03,Sanchez, Johnson and Hernandez,2023-03-29"
873.0,Thomas-Fisher,2023-02-01,"873.0,Thomas-Fisher,2023-02-01"
60.22,Montgomery and Sons,2023-08-05,"60.22,Montgomery and Sons,2023-08-05"
139.37,Armstrong-Herrera,2023-09-09,"139.37,Armstrong-Herrera,2023-09-09"
344.22,"Vasquez, Campos and Brown",2023-06-25,"344.22,Vasquez, Campos and Brown,2023-06-25"
22.86,"Conrad, Barnes and Dixon",2023-07-06,"22.86,Conrad, Barnes and Dixon,2023-07-06"
70.86,Jones-Silva,2023-05-02,"70.86,Jones-Silva,2023-05-02"
391.48,Castro Group,2023-07-28,"391.48,Castro Group,2023-07-28"
169.33,"Austin, Bell and Thomas",2023-05-15,"169.33,Austin, Bell and Thomas,2023-05-15"
987.38,Guerra LLC,2023-01-18,"987.38,Guerra LLC,2023-01-18"
2996.85,Delgado-Warner,2023-04-03,"2996.85,Delgado-Warner,2023-04-03"
133.73,"Morgan, Smith and Valdez",2023-09-15,"133.73,Morgan, Smith and Valdez,2023-09-15"
584.15,Ford-Parker,2023-02-09,"584.15,Ford-Parker,2023-02-09"
52.57,Smith LLC,2023-02-09,"52.57,Smith LLC,2023-02-09"
752.79,"Harris, Henry and Gonzalez",2023-10-09,"752.79,Harris, Henry and Gonzalez,2023-10-09"
89.38,Cameron-Richard,2023-05-01,"89.38,Cameron-Richard,2023-05-01"
445.78,"Brewer, Fields and Smith",2023-01-08,"445.78,Brewer, Fields and Smith,2023-01-08"
181.33,Tran LLC,2023-10-02,"181.33,Tran LLC,2023-10-02"
1005.74,Fernandez-Lee,2023-07-05,"1005.74,Fernandez-Lee,2023-07-05"
274.27,White LLC,2023-02-01,"274.27,White LLC,2023-02-01"
103.22,Zimmerman PLC,2023-06-04,"103.22,Zimmerman PLC,2023-06-04"
379.53,Campbell-Thompson,2023-01-20,"379.53,Campbell-Thompson,2023-01-20"
2742.43,Gallagher-Peterson,2023-02-03,"2742.43,Gallagher-Peterson,2023-02-03"
95.6,Turner LLC,2023-06-27,"95.6,Turner LLC,2023-06-27"
161.3,"Lopez, Mcintyre and Murray",2023-07-04,"161.3,Lopez, Mcintyre and Murray,2023-07-04"
90.98,"Grimes, Cook and Mcclure",2023-05-02,"90.98,Grimes, Cook and Mcclure,2023-05-02"
84.38,Allen PLC,2023-03-06,"84.38,Allen PLC,2023-03-06"
94.58,Hoffman-Bennett,2023-03-03,"94.58,Hoffman-Bennett,2023-03-03"
701.64,"Hurst, Gallagher and Wood",2023-03-18,"701.64,Hurst, Gallagher and Wood,2023-03-18"
908.69,"Baker, Herrera and Gonzalez",2023-07-24,"908.69,Baker, Herrera and Gonzalez,2023-07-24"
108.31,Lee Group,2023-04-15,"108.31,Lee Group,2023-04-15"
366.31,Walters Inc,2023-07-11,"366.31,Walters Inc,2023-07-11"
2280.36,Sandoval-Cantrell,2023-04-02,"2280.36,Sandoval-Cantrell,2023-04-02"
78.74,"Beard, Bryant and Torres",2023-07-02,"78.74,Beard, Bryant and Torres,2023-07-02"
24.85,Garrett Group,2023-10-03,"24.85,Garrett Group,2023-10-03"
185.02,Guerra-Nelson,2023-06-30,"185.02,Guerra-Nelson,2023-06-30"
92.56,Diaz-Casey,2023-06-13,"92.56,Diaz-Casey,2023-06-13"
176.12,Skinner Inc,2023-02-24,"176.12,Skinner Inc,2023-02-24"
67.91,Wilson Group,2023-03-23,"67.91,Wilson Group,2023-03-23"
1465.63,Arnold-Hill,2023-01-09,"1465.63,Arnold-Hill,2023-01-09"
216.48,"Black, Jennings and Phelps",2023-06-05,"216.48,Black, Jennings and Phelps,2023-06-05"
111.75,Bennett-Snyder,2023-08-24,"111.75,Bennett-Snyder,2023-08-24"
168.88,"Kennedy, Mann and Ford",2023-05-19,"168.88,Kennedy, Mann and Ford,2023-05-19"
40.74,"Juarez, Moore and Banks",2023-09-25,"40.74,Juarez, Moore and Banks,2023-09-25"
316.77,Perez PLC,2023-02-06,"316.77,Perez PLC,2023-02-06"
48.65,"Martin, Reed and Delacruz",2023-03-06,"48.65,Martin, Reed and Delacruz,2023-03-06"
402.23,Wu Inc,2023-07-13,"402.23,Wu Inc,2023-07-13"
39.76,Turner PLC,2023-03-23,"39.76,Turner PLC,2023-03-23"
32.64,"Wright, Ross and Gilbert",2023-03-27,"32.64,Wright, Ross and Gilbert,2023-03-27"
175.25,"Hensley, Blanchard and Klein",2023-03-29,"175.25,Hensley, Blanchard and Klein,2023-03-29"
357.99,Murphy LLC,2023-06-05,"357.99,Murphy LLC,2023-06-05"
60.22,Rodgers Inc,2023-09-25,"60.22,Rodgers Inc,2023-09-25"
2475.09,Davis LLC,2023-03-10,"2475.09,Davis LLC,2023-03-10"
51.35,Rios Group,2023-10-10,"51.35,Rios Group,2023-10-10"
587.63,"Arnold, Powell and Lucas",2023-09-28,"587.63,Arnold, Powell and Lucas,2023-09-28"
1350.58,"Hinton, Noble and Henry",2023-02-17,"1350.58,Hinton, Noble and Henry,2023-02-17"
57.31,Stephens LLC,2023-06-07,"57.31,Stephens LLC,2023-06-07"
2414.13,Cooper-Figueroa,2023-08-10,"2414.13,Cooper-Figueroa,2023-08-10"
143.31,Singh-Olson,2023-02-25,"143.31,Singh-Olson,2023-02-25"
39.0,"Butler, Martinez and Elliott",2023-09-07,"39.0,Butler, Martinez and Elliott,2023-09-07"
82.97,"Hutchinson, Miranda and Mcpherson",2023-07-15,"82.97,Hutchinson, Miranda and Mcpherson,2023-07-15"
182.25,Woodward-Andersen,2023-09-05,"182.25,Woodward-Andersen,2023-09-05"
230.35,Robinson-Griffith,2023-08-27,"230.35,Robinson-Griffith,2023-08-27"
49.34,Anderson LLC,2023-04-24,"49.34,Anderson LLC,2023-04-24"
462.97,Lucas-Fuentes,2023-05-09,"462.97,Lucas-Fuentes,2023-05-09"
28.25,"Ellis, Campbell and George",2023-07-23,"28.25,Ellis, Campbell and George,2023-07-23"
1788.84,Gibson-Mitchell,2023-03-26,"1788.84,Gibson-Mitchell,2023-03-26"
150.15,"Jones, Turner and Hall",2023-05-20,"150.15,Jones, Turner and Hall,2023-05-20"
88.73,Dunn-Pope,2023-05-22,"88.73,Dunn-Pope,2023-05-22"
66.51,Curtis-Spence,2023-03-03,"66.51,Curtis-Spence,2023-03-03"
78.58,"Carter, Adams and Arnold",2023-02-04,"78.58,Carter, Adams and Arnold,2023-02-04"
960.25,Harris-Huffman,2023-02-15,"960.25,Harris-Huffman,2023-02-15"
2534.35,Ramirez-Frost,2023-05-21,"2534.35,Ramirez-Frost,2023-05-21"
32.09,"Sanders, Campbell and Armstrong",2023-02-23,"32.09,Sanders, Campbell and Armstrong,2023-02-23"
877.57,Duncan Inc,2023-06-08,"877.57,Duncan Inc,2023-06-08"
404.48,"Baker, Ford and Hartman",2023-07-22,"404.48,Baker, Ford and Hartman,2023-07-22"
423.92,Little-Bates,2023-07-08,"423.92,Little-Bates,2023-07-08"
65.47,Kramer-Heath,2023-06-19,"65.47,Kramer-Heath,2023-06-19"
2193.84,Donaldson and Sons,2023-08-29,"2193.84,Donaldson and Sons,2023-08-29"
468.72,"Carpenter, Anderson and Kelley",2023-01-29,"468.72,Carpenter, Anderson and Kelley,2023-01-29"
38.32,"Bond, Zavala and Underwood",2023-10-09,"38.32,Bond, Zavala and Underwood,2023-10-09"
109.35,Lane-Bell,2023-03-31,"109.35,Lane-Bell,2023-03-31"
90.43,Hamilton-West,2023-04-01,"90.43,Hamilton-West,2023-04-01"
44.53,"Hart, Jackson and Day",2023-03-30,"44.53,Hart, Jackson and Day,2023-03-30"
62.0,Smith-Smith,2023-06-18,"62.0,Smith-Smith,2023-06-18"
148.86,"Wade, Rodgers and Oconnor",2023-09-29,"148.86,Wade, Rodgers and Oconnor,2023-09-29"
357.31,Acevedo Ltd,2023-07-20,"357.31,Acevedo Ltd,2023-07-20"
150.85,"Hoffman, Figueroa and Rodriguez",2023-02-13,"150.85,Hoffman, Figueroa and Rodriguez,2023-02-13"
130.29,Taylor-Luna,2023-08-07,"130.29,Taylor-Luna,2023-08-07"
1571.67,Thornton-Hawkins,2023-07-05,"1571.67,Thornton-Hawkins,2023-07-05"
433.37,"Hansen, Fowler and Roberts",2023-05-25,"433.37,Hansen, Fowler and Roberts,2023-05-25"
65.6,Cortez PLC,2023-09-27,"65.6,Cortez PLC,2023-09-27"
139.42,Davis-Cook,2023-08-28,"139.42,Davis-Cook,2023-08-28"
246.44,"Brown, Dean and Velez",2023-09-07,"246.44,Brown, Dean and Velez,2023-09-07"
170.17,Beltran-Daniels,2023-04-17,"170.17,Beltran-Daniels,2023-04-17"
920.81,"Hall, Winters and Rocha",2023-05-05,"920.81,Hall, Winters and Rocha,2023-05-05"
21.63,Dominguez-Lucas,2023-10-02,"21.63,Dominguez-Lucas,2023-10-02"
225.89,Cervantes-Anthony,2023-04-01,"225.89,Cervantes-Anthony,2023-04-01"
741.75,Bauer-Roberts,2023-08-01,"741.75,Bauer-Roberts,2023-08-01"
79.68,George LLC,2023-01-03,"79.68,George LLC,2023-01-03"
170.2,"Johnson, Mcclain and Smith",2023-07-09,"170.2,Johnson, Mcclain and Smith,2023-07-09"
31.0,Bush-Graham,2023-05-14,"31.0,Bush-Graham,2023-05-14"
83.09,Reese-Page,2023-08-06,"83.09,Reese-Page,2023-08-06"
231.45,Walker LLC,2023-08-23,"231.45,Walker LLC,2023-08-23"
40.99,Barnes Ltd,2023-01-15,"40.99,Barnes Ltd,2023-01-15"
1707.98,"Wells, Wiley and Mccoy",2023-04-24,"1707.98,Wells, Wiley and Mccoy,2023-04-24"
1415.79,Garcia-Hoffman,2023-02-05,"1415.79,Garcia-Hoffman,2023-02-05"
41.44,Wilson LLC,2023-09-05,"41.44,Wilson LLC,2023-09-05"
66.71,Torres PLC,2023-04-15,"66.71,Torres PLC,2023-04-15"
429.23,"Martinez, Alvarez and Krueger",2023-04-15,"429.23,Martinez, Alvarez and Krueger,2023-04-15"
860.03,Moore and Sons,2023-04-08,"860.03,Moore and Sons,2023-04-08"
223.59,Terry-Burns,2023-03-05,"223.59,Terry-Burns,2023-03-05"
101.24,Wilson-Dawson,2023-10-12,"101.24,Wilson-Dawson,2023-10-12"
42.56,"Bailey, Pitts and Holt",2023-02-15,"42.56,Bailey, Pitts and Holt,2023-02-15"
540.27,Bruce PLC,2023-07-01,"540.27,Bruce PLC,2023-07-01"
1209.2,Townsend Ltd,2023-06-21,"1209.2,Townsend Ltd,2023-06-21"
220.94,"Guzman, Garner and White",2023-09-02,"220.94,Guzman, Garner and White,2023-09-02"
89.37,Richards-Jones,2023-02-22,"89.37,Richards-Jones,2023-02-22"
116.24,Walker Ltd,2023-09-22,"116.24,Walker Ltd,2023-09-22"
26.34,Johnson-Werner,2023-07-09,"26.34,Johnson-Werner,2023-07-09"
16.41,Watson Ltd,2023-05-30,"16.41,Watson Ltd,2023-05-30"
143.78,Hernandez Inc,2023-01-30,"143.78,Hernandez Inc,2023-01-30"
101.42,Davis Ltd,2023-09-20,"101.42,Davis Ltd,2023-09-20"
151.53,"Williams, Smith and Wilson",2023-02-07,"151.53,Williams, Smith and Wilson,2023-02-07"
364.63,"Myers, Howard and Finley",2023-04-11,"364.63,Myers, Howard and Finley,2023-04-11"
61.2,"Marks, Callahan and Brooks",2023-04-21,"61.2,Marks, Callahan and Brooks,2023-04-21"
46.14,Lowe Ltd,2023-02-25,"46.14,Lowe Ltd,2023-02-25"
50.49,Wiggins Ltd,2023-07-01,"50.49,Wiggins Ltd,2023-07-01"
164.0,"Gutierrez, Gutierrez and Hayes",2023-05-11,"164.0,Gutierrez, Gutierrez and Hayes,2023-05-11"
163.18,"Johnston, Davis and Lawrence",2023-03-27,"163.18,Johnston, Davis and Lawrence,2023-03-27"
447.5,Petty-Bennett,2023-01-12,"447.5,Petty-Bennett,2023-01-12"
