country,rank,year,passport_info
Qatar,58,2010,"Qatar,58,2010"
Liberia,86,2016,"Liberia,86,2016"
Togo,83,2013,"Togo,83,2013"
Bahrain,45,2015,"Bahrain,45,2015"
eSwatini,61,2021,"eSwatini,61,2021"
Lebanon,94,2012,"Lebanon,94,2012"
Colombia,65,2010,"Colombia,65,2010"
Libya,99,2017,"Libya,99,2017"
Syria,100,2016,"Syria,100,2016"
Palestinian Territory,101,2011,"Palestinian Territory,101,2011"
Israel,15,2013,"Israel,15,2013"
St. Kitts and Nevis,56,2021,"St. Kitts and Nevis,56,2021"
Dominica,24,2007,"Dominica,24,2007"
Uruguay,43,2018,"Uruguay,43,2018"
Belarus,72,2016,"Belarus,72,2016"
Egypt,86,2010,"Egypt,86,2010"
Turkmenistan,82,2019,"Turkmenistan,82,2019"
Liechtenstein,5,2007,"Liechtenstein,5,2007"
Dominican Republic,71,2011,"Dominican Republic,71,2011"
Kenya,57,2007,"Kenya,57,2007"
San Marino,32,2009,"San Marino,32,2009"
Finland,3,2010,"Finland,3,2010"
Solomon Islands,77,2022,"Solomon Islands,77,2022"
New Zealand,4,2014,"New Zealand,4,2014"
Haiti,92,2021,"Haiti,92,2021"
Namibia,52,2007,"Namibia,52,2007"
Oman,66,2014,"Oman,66,2014"
Maldives,56,2011,"Maldives,56,2011"
Dominican Republic,69,2010,"Dominican Republic,69,2010"
Togo,74,2019,"Togo,74,2019"
Uzbekistan,76,2012,"Uzbekistan,76,2012"
Rwanda,74,2006,"Rwanda,74,2006"
Singapore,2,2019,"Singapore,2,2019"
Denmark,4,2017,"Denmark,4,2017"
Rwanda,74,2015,"Rwanda,74,2015"
Philippines,88,2009,"Philippines,88,2009"
Poland,4,2008,"Poland,4,2008"
Portugal,6,2009,"Portugal,6,2009"
Namibia,70,2017,"Namibia,70,2017"
Slovakia,4,2012,"Slovakia,4,2012"
Yemen,97,2018,"Yemen,97,2018"
Spain,3,2011,"Spain,3,2011"
Hong Kong (SAR China),6,2009,"Hong Kong (SAR China),6,2009"
Ecuador,82,2020,"Ecuador,82,2020"
Bulgaria,26,2008,"Bulgaria,26,2008"
Philippines,67,2006,"Philippines,67,2006"
Honduras,46,2013,"Honduras,46,2013"
Liechtenstein,20,2020,"Liechtenstein,20,2020"
Japan,1,2007,"Japan,1,2007"
Mongolia,82,2016,"Mongolia,82,2016"
St. Lucia,45,2009,"St. Lucia,45,2009"
Bahamas,20,2018,"Bahamas,20,2018"
Hungary,15,2017,"Hungary,15,2017"
Panama,29,2009,"Panama,29,2009"
Rwanda,76,2011,"Rwanda,76,2011"
Algeria,78,2021,"Algeria,78,2021"
Bhutan,60,2013,"Bhutan,60,2013"
Zambia,74,2013,"Zambia,74,2013"
Saudi Arabia,52,2007,"Saudi Arabia,52,2007"
El Salvador,59,2020,"El Salvador,59,2020"
Cyprus,11,2012,"Cyprus,11,2012"
Hungary,19,2015,"Hungary,19,2015"
Eritrea,98,2018,"Eritrea,98,2018"
North Korea,97,2016,"North Korea,97,2016"
Mozambique,58,2013,"Mozambique,58,2013"
Serbia,30,2016,"Serbia,30,2016"
Iran,83,2016,"Iran,83,2016"
Fiji,65,2019,"Fiji,65,2019"
Greece,13,2017,"Greece,13,2017"
Denmark,4,2017,"Denmark,4,2017"
North Korea,102,2021,"North Korea,102,2021"
Bulgaria,13,2010,"Bulgaria,13,2010"
Rwanda,60,2010,"Rwanda,60,2010"
Tajikistan,75,2011,"Tajikistan,75,2011"
Lithuania,14,2015,"Lithuania,14,2015"
Cyprus,9,2013,"Cyprus,9,2013"
Madagascar,83,2010,"Madagascar,83,2010"
Bhutan,74,2013,"Bhutan,74,2013"
Seychelles,22,2022,"Seychelles,22,2022"
Bahamas,23,2020,"Bahamas,23,2020"
Chad,91,2007,"Chad,91,2007"
Colombia,18,2021,"Colombia,18,2021"
Yemen,108,2022,"Yemen,108,2022"
Ecuador,72,2012,"Ecuador,72,2012"
Afghanistan,113,2012,"Afghanistan,113,2012"
Ethiopia,95,2017,"Ethiopia,95,2017"
Taiwan (Chinese Taipei),71,2009,"Taiwan (Chinese Taipei),71,2009"
Syria,102,2018,"Syria,102,2018"
Malta,14,2015,"Malta,14,2015"
France,3,2006,"France,3,2006"
Guinea-Bissau,85,2018,"Guinea-Bissau,85,2018"
Laos,87,2017,"Laos,87,2017"
Kosovo,87,2016,"Kosovo,87,2016"
Timor-Leste,67,2020,"Timor-Leste,67,2020"
Nepal,97,2019,"Nepal,97,2019"
Netherlands,4,2008,"Netherlands,4,2008"
Russian Federation,55,2010,"Russian Federation,55,2010"
Thailand,64,2013,"Thailand,64,2013"
Venezuela,36,2007,"Venezuela,36,2007"
El Salvador,20,2021,"El Salvador,20,2021"
Turkey,66,2010,"Turkey,66,2010"
St. Lucia,69,2015,"St. Lucia,69,2015"
Estonia,17,2016,"Estonia,17,2016"
Hong Kong (SAR China),65,2011,"Hong Kong (SAR China),65,2011"
Libya,93,2020,"Libya,93,2020"
Antigua and Barbuda,31,2020,"Antigua and Barbuda,31,2020"
Mozambique,83,2011,"Mozambique,83,2011"
El Salvador,30,2021,"El Salvador,30,2021"
North Macedonia,73,2022,"North Macedonia,73,2022"
Jamaica,68,2019,"Jamaica,68,2019"
Barbados,39,2020,"Barbados,39,2020"
Canada,3,2019,"Canada,3,2019"
Ireland,3,2022,"Ireland,3,2022"
Bahamas,21,2012,"Bahamas,21,2012"
Barbados,44,2018,"Barbados,44,2018"
Romania,11,2007,"Romania,11,2007"
St. Lucia,20,2011,"St. Lucia,20,2011"
Bahrain,85,2021,"Bahrain,85,2021"
Chad,74,2017,"Chad,74,2017"
Costa Rica,41,2008,"Costa Rica,41,2008"
Madagascar,85,2007,"Madagascar,85,2007"
Guinea,77,2019,"Guinea,77,2019"
Marshall Islands,53,2011,"Marshall Islands,53,2011"
Philippines,85,2013,"Philippines,85,2013"
Bolivia,57,2020,"Bolivia,57,2020"
Tajikistan,79,2014,"Tajikistan,79,2014"
Philippines,67,2007,"Philippines,67,2007"
Turkmenistan,81,2018,"Turkmenistan,81,2018"
St. Lucia,31,2011,"St. Lucia,31,2011"
Sri Lanka,87,2011,"Sri Lanka,87,2011"
Bahrain,76,2021,"Bahrain,76,2021"
India,77,2018,"India,77,2018"
Uzbekistan,65,2019,"Uzbekistan,65,2019"
Mozambique,76,2011,"Mozambique,76,2011"
Burkina Faso,83,2009,"Burkina Faso,83,2009"
Brunei,22,2008,"Brunei,22,2008"
Uganda,80,2019,"Uganda,80,2019"
Malaysia,25,2011,"Malaysia,25,2011"
Nigeria,96,2009,"Nigeria,96,2009"
Bolivia,73,2017,"Bolivia,73,2017"
Burundi,98,2020,"Burundi,98,2020"
Israel,39,2018,"Israel,39,2018"
Guinea,62,2008,"Guinea,62,2008"
Eritrea,99,2018,"Eritrea,99,2018"
Liberia,80,2009,"Liberia,80,2009"
Yemen,101,2019,"Yemen,101,2019"
Germany,2,2008,"Germany,2,2008"
Morocco,82,2015,"Morocco,82,2015"
Netherlands,7,2018,"Netherlands,7,2018"
Vatican City,49,2021,"Vatican City,49,2021"
Myanmar,90,2021,"Myanmar,90,2021"
Armenia,77,2021,"Armenia,77,2021"
The Gambia,56,2011,"The Gambia,56,2011"
Cambodia,77,2007,"Cambodia,77,2007"
Cuba,62,2012,"Cuba,62,2012"
Spain,2,2007,"Spain,2,2007"
Marshall Islands,40,2009,"Marshall Islands,40,2009"
Chad,79,2013,"Chad,79,2013"
Niger,94,2017,"Niger,94,2017"
Taiwan (Chinese Taipei),48,2012,"Taiwan (Chinese Taipei),48,2012"
Iran,91,2014,"Iran,91,2014"
Morocco,77,2007,"Morocco,77,2007"
Gabon,89,2011,"Gabon,89,2011"
Afghanistan,106,2009,"Afghanistan,106,2009"
Samoa,59,2018,"Samoa,59,2018"
Malaysia,22,2020,"Malaysia,22,2020"
Kuwait,62,2016,"Kuwait,62,2016"
Israel,51,2016,"Israel,51,2016"
Saudi Arabia,80,2013,"Saudi Arabia,80,2013"
Argentina,29,2017,"Argentina,29,2017"
Ukraine,62,2013,"Ukraine,62,2013"
Kosovo,88,2007,"Kosovo,88,2007"
Czech Republic,19,2011,"Czech Republic,19,2011"
Indonesia,78,2021,"Indonesia,78,2021"
Iran,93,2009,"Iran,93,2009"
Netherlands,3,2008,"Netherlands,3,2008"
Cambodia,83,2022,"Cambodia,83,2022"
Guinea,86,2013,"Guinea,86,2013"
Chad,82,2006,"Chad,82,2006"
Slovakia,40,2021,"Slovakia,40,2021"
Jordan,78,2017,"Jordan,78,2017"
Mexico,13,2007,"Mexico,13,2007"
Turkey,42,2015,"Turkey,42,2015"
Malta,17,2007,"Malta,17,2007"
Mongolia,76,2008,"Mongolia,76,2008"
Oman,61,2016,"Oman,61,2016"
Macao (SAR China),31,2016,"Macao (SAR China),31,2016"
Sri Lanka,90,2014,"Sri Lanka,90,2014"
New Zealand,13,2009,"New Zealand,13,2009"
Iceland,29,2009,"Iceland,29,2009"
Tanzania,74,2010,"Tanzania,74,2010"
Liberia,89,2018,"Liberia,89,2018"
San Marino,10,2011,"San Marino,10,2011"
Hungary,22,2016,"Hungary,22,2016"
Ghana,74,2011,"Ghana,74,2011"
Gabon,78,2017,"Gabon,78,2017"
Uzbekistan,80,2022,"Uzbekistan,80,2022"
Eritrea,95,2017,"Eritrea,95,2017"
Rwanda,80,2016,"Rwanda,80,2016"
Cambodia,76,2009,"Cambodia,76,2009"
Denmark,5,2010,"Denmark,5,2010"
Antigua and Barbuda,15,2006,"Antigua and Barbuda,15,2006"
Afghanistan,111,2016,"Afghanistan,111,2016"
Panama,47,2019,"Panama,47,2019"
Malawi,78,2014,"Malawi,78,2014"
Andorra,14,2021,"Andorra,14,2021"
Poland,10,2008,"Poland,10,2008"
Vietnam,91,2010,"Vietnam,91,2010"
Cambodia,85,2017,"Cambodia,85,2017"
St. Kitts and Nevis,14,2010,"St. Kitts and Nevis,14,2010"
Argentina,33,2010,"Argentina,33,2010"
Lesotho,68,2011,"Lesotho,68,2011"
Slovakia,20,2014,"Slovakia,20,2014"
Marshall Islands,71,2021,"Marshall Islands,71,2021"
Bulgaria,5,2009,"Bulgaria,5,2009"
Chile,19,2022,"Chile,19,2022"
Jamaica,50,2021,"Jamaica,50,2021"
Central African Republic,80,2009,"Central African Republic,80,2009"
Andorra,35,2014,"Andorra,35,2014"
Laos,92,2019,"Laos,92,2019"
Greece,7,2009,"Greece,7,2009"
Poland,24,2020,"Poland,24,2020"
Bosnia and Herzegovina,56,2017,"Bosnia and Herzegovina,56,2017"
Peru,41,2020,"Peru,41,2020"
Algeria,79,2020,"Algeria,79,2020"
Croatia,9,2012,"Croatia,9,2012"
Sri Lanka,92,2014,"Sri Lanka,92,2014"
Comoro Islands,75,2018,"Comoro Islands,75,2018"
Macao (SAR China),41,2011,"Macao (SAR China),41,2011"
Bahamas,30,2013,"Bahamas,30,2013"
Indonesia,66,2014,"Indonesia,66,2014"
Bhutan,88,2010,"Bhutan,88,2010"
Malaysia,22,2008,"Malaysia,22,2008"
India,87,2009,"India,87,2009"
Tajikistan,88,2014,"Tajikistan,88,2014"
Brunei,51,2009,"Brunei,51,2009"
South Africa,42,2015,"South Africa,42,2015"
Bangladesh,92,2018,"Bangladesh,92,2018"
Ecuador,73,2017,"Ecuador,73,2017"
Tunisia,87,2016,"Tunisia,87,2016"
Syria,101,2020,"Syria,101,2020"
Central African Republic,79,2008,"Central African Republic,79,2008"
Saudi Arabia,80,2022,"Saudi Arabia,80,2022"
Sierra Leone,75,2011,"Sierra Leone,75,2011"
United Arab Emirates,31,2011,"United Arab Emirates,31,2011"
Sierra Leone,77,2011,"Sierra Leone,77,2011"
Andorra,25,2015,"Andorra,25,2015"
Oman,68,2021,"Oman,68,2021"
Congo (Dem. Rep.),82,2018,"Congo (Dem. Rep.),82,2018"
Comoro Islands,92,2009,"Comoro Islands,92,2009"
Guinea,75,2019,"Guinea,75,2019"
Nepal,99,2017,"Nepal,99,2017"
Costa Rica,35,2014,"Costa Rica,35,2014"
Slovenia,16,2021,"Slovenia,16,2021"
Panama,38,2019,"Panama,38,2019"
Costa Rica,45,2020,"Costa Rica,45,2020"
Liberia,87,2013,"Liberia,87,2013"
Yemen,96,2014,"Yemen,96,2014"
Malawi,79,2021,"Malawi,79,2021"
Macao (SAR China),35,2011,"Macao (SAR China),35,2011"
New Zealand,15,2017,"New Zealand,15,2017"
Brunei,17,2006,"Brunei,17,2006"
Sri Lanka,101,2017,"Sri Lanka,101,2017"
Chad,89,2014,"Chad,89,2014"
Andorra,59,2018,"Andorra,59,2018"
Slovakia,7,2019,"Slovakia,7,2019"
Dominican Republic,64,2007,"Dominican Republic,64,2007"
Nigeria,95,2013,"Nigeria,95,2013"
Belgium,4,2007,"Belgium,4,2007"
Slovakia,6,2020,"Slovakia,6,2020"
Monaco,25,2011,"Monaco,25,2011"
Cuba,51,2012,"Cuba,51,2012"
Bolivia,42,2011,"Bolivia,42,2011"
Sao Tome and Principe,79,2010,"Sao Tome and Principe,79,2010"
Albania,73,2022,"Albania,73,2022"
Guatemala,64,2008,"Guatemala,64,2008"
Kenya,62,2016,"Kenya,62,2016"
Bulgaria,10,2015,"Bulgaria,10,2015"
Congo (Dem. Rep.),88,2020,"Congo (Dem. Rep.),88,2020"
Algeria,92,2009,"Algeria,92,2009"
Czech Republic,11,2021,"Czech Republic,11,2021"
eSwatini,60,2017,"eSwatini,60,2017"
The Gambia,65,2015,"The Gambia,65,2015"
United Arab Emirates,7,2007,"United Arab Emirates,7,2007"
Czech Republic,7,2020,"Czech Republic,7,2020"
Sri Lanka,91,2009,"Sri Lanka,91,2009"
Fiji,72,2012,"Fiji,72,2012"
Mali,89,2013,"Mali,89,2013"
Canada,13,2009,"Canada,13,2009"
Malaysia,21,2016,"Malaysia,21,2016"
Mozambique,79,2014,"Mozambique,79,2014"
Afghanistan,114,2013,"Afghanistan,114,2013"
Libya,90,2007,"Libya,90,2007"
Italy,2,2013,"Italy,2,2013"
Burundi,88,2013,"Burundi,88,2013"
Palestinian Territory,97,2009,"Palestinian Territory,97,2009"
Trinidad and Tobago,43,2010,"Trinidad and Tobago,43,2010"
Ethiopia,92,2013,"Ethiopia,92,2013"
Georgia,31,2014,"Georgia,31,2014"
Bolivia,65,2022,"Bolivia,65,2022"
Mexico,28,2018,"Mexico,28,2018"
Egypt,75,2009,"Egypt,75,2009"
Trinidad and Tobago,30,2017,"Trinidad and Tobago,30,2017"
Liberia,80,2012,"Liberia,80,2012"
Belarus,62,2007,"Belarus,62,2007"
Kiribati,61,2016,"Kiribati,61,2016"
Mauritius,7,2011,"Mauritius,7,2011"
Vatican City,62,2017,"Vatican City,62,2017"
Togo,94,2022,"Togo,94,2022"
Central African Republic,80,2013,"Central African Republic,80,2013"
Venezuela,55,2020,"Venezuela,55,2020"
Lebanon,95,2010,"Lebanon,95,2010"
Taiwan (Chinese Taipei),17,2013,"Taiwan (Chinese Taipei),17,2013"
Colombia,48,2019,"Colombia,48,2019"
Grenada,78,2013,"Grenada,78,2013"
Libya,94,2019,"Libya,94,2019"
Canada,7,2007,"Canada,7,2007"
Togo,90,2020,"Togo,90,2020"
Dominican Republic,65,2008,"Dominican Republic,65,2008"
Chile,10,2011,"Chile,10,2011"
Fiji,46,2021,"Fiji,46,2021"
Armenia,75,2014,"Armenia,75,2014"
South Sudan,99,2010,"South Sudan,99,2010"
Kyrgyzstan,68,2021,"Kyrgyzstan,68,2021"
Grenada,72,2017,"Grenada,72,2017"
Norway,5,2014,"Norway,5,2014"
Angola,88,2021,"Angola,88,2021"
Colombia,75,2020,"Colombia,75,2020"
Gabon,66,2010,"Gabon,66,2010"
Honduras,60,2019,"Honduras,60,2019"
Bangladesh,88,2012,"Bangladesh,88,2012"
Mexico,26,2010,"Mexico,26,2010"
Marshall Islands,69,2016,"Marshall Islands,69,2016"
Costa Rica,36,2012,"Costa Rica,36,2012"
Maldives,77,2011,"Maldives,77,2011"
Tunisia,67,2019,"Tunisia,67,2019"
Denmark,4,2013,"Denmark,4,2013"
Bulgaria,20,2016,"Bulgaria,20,2016"
Yemen,100,2021,"Yemen,100,2021"
Taiwan (Chinese Taipei),28,2006,"Taiwan (Chinese Taipei),28,2006"
Cape Verde Islands,84,2013,"Cape Verde Islands,84,2013"
Angola,90,2019,"Angola,90,2019"
Cambodia,86,2009,"Cambodia,86,2009"
Taiwan (Chinese Taipei),36,2010,"Taiwan (Chinese Taipei),36,2010"
Cameroon,76,2008,"Cameroon,76,2008"
Tajikistan,82,2017,"Tajikistan,82,2017"
Guatemala,59,2008,"Guatemala,59,2008"
France,3,2018,"France,3,2018"
Iraq,107,2010,"Iraq,107,2010"
Azerbaijan,76,2014,"Azerbaijan,76,2014"
Sweden,4,2013,"Sweden,4,2013"
Gabon,61,2017,"Gabon,61,2017"
North Macedonia,46,2009,"North Macedonia,46,2009"
El Salvador,55,2018,"El Salvador,55,2018"
Iraq,103,2020,"Iraq,103,2020"
Guyana,47,2012,"Guyana,47,2012"
Dominica,50,2014,"Dominica,50,2014"
Finland,2,2016,"Finland,2,2016"
France,7,2018,"France,7,2018"
Morocco,79,2009,"Morocco,79,2009"
Cambodia,81,2015,"Cambodia,81,2015"
Lesotho,66,2008,"Lesotho,66,2008"
Russian Federation,47,2006,"Russian Federation,47,2006"
Niger,89,2011,"Niger,89,2011"
Dominican Republic,69,2014,"Dominican Republic,69,2014"
Guatemala,58,2010,"Guatemala,58,2010"
Sri Lanka,98,2013,"Sri Lanka,98,2013"
Vanuatu,48,2010,"Vanuatu,48,2010"
China,72,2010,"China,72,2010"
Djibouti,92,2022,"Djibouti,92,2022"
South Sudan,93,2007,"South Sudan,93,2007"
Zimbabwe,75,2021,"Zimbabwe,75,2021"
Malaysia,28,2009,"Malaysia,28,2009"
Maldives,73,2019,"Maldives,73,2019"
Morocco,81,2011,"Morocco,81,2011"
Tonga,27,2010,"Tonga,27,2010"
Liberia,96,2015,"Liberia,96,2015"
Djibouti,90,2022,"Djibouti,90,2022"
Lebanon,92,2008,"Lebanon,92,2008"
Iraq,105,2009,"Iraq,105,2009"
Myanmar,90,2015,"Myanmar,90,2015"
Oman,75,2014,"Oman,75,2014"
Cameroon,79,2012,"Cameroon,79,2012"
Dominica,37,2006,"Dominica,37,2006"
Panama,26,2014,"Panama,26,2014"
Armenia,65,2019,"Armenia,65,2019"
Nauru,27,2013,"Nauru,27,2013"
Papua New Guinea,62,2007,"Papua New Guinea,62,2007"
Algeria,64,2008,"Algeria,64,2008"
Malta,35,2019,"Malta,35,2019"
Solomon Islands,46,2012,"Solomon Islands,46,2012"
Philippines,86,2014,"Philippines,86,2014"
Russian Federation,68,2022,"Russian Federation,68,2022"
United Arab Emirates,10,2018,"United Arab Emirates,10,2018"
Greece,11,2012,"Greece,11,2012"
Venezuela,28,2018,"Venezuela,28,2018"
Solomon Islands,50,2019,"Solomon Islands,50,2019"
Micronesia,62,2016,"Micronesia,62,2016"
Georgia,41,2016,"Georgia,41,2016"
Cambodia,68,2018,"Cambodia,68,2018"
Estonia,20,2008,"Estonia,20,2008"
Sao Tome and Principe,80,2008,"Sao Tome and Principe,80,2008"
Cameroon,83,2007,"Cameroon,83,2007"
Peru,38,2013,"Peru,38,2013"
Haiti,76,2011,"Haiti,76,2011"
Brazil,45,2012,"Brazil,45,2012"
Sudan,92,2020,"Sudan,92,2020"
Austria,6,2016,"Austria,6,2016"
Switzerland,6,2008,"Switzerland,6,2008"
San Marino,33,2008,"San Marino,33,2008"
Bangladesh,102,2022,"Bangladesh,102,2022"
Israel,57,2014,"Israel,57,2014"
Lithuania,24,2022,"Lithuania,24,2022"
Gabon,94,2019,"Gabon,94,2019"
Guinea-Bissau,83,2018,"Guinea-Bissau,83,2018"
Bosnia and Herzegovina,66,2006,"Bosnia and Herzegovina,66,2006"
Guinea-Bissau,88,2012,"Guinea-Bissau,88,2012"
New Zealand,6,2009,"New Zealand,6,2009"
Greece,7,2021,"Greece,7,2021"
Bolivia,60,2014,"Bolivia,60,2014"
Albania,56,2015,"Albania,56,2015"
Ethiopia,92,2022,"Ethiopia,92,2022"
Burundi,89,2022,"Burundi,89,2022"
Paraguay,29,2015,"Paraguay,29,2015"
Micronesia,66,2019,"Micronesia,66,2019"
Albania,63,2013,"Albania,63,2013"
Kiribati,65,2013,"Kiribati,65,2013"
Costa Rica,12,2011,"Costa Rica,12,2011"
eSwatini,34,2007,"eSwatini,34,2007"
Mexico,51,2015,"Mexico,51,2015"
Macao (SAR China),33,2017,"Macao (SAR China),33,2017"
Antigua and Barbuda,25,2011,"Antigua and Barbuda,25,2011"
Bhutan,88,2008,"Bhutan,88,2008"
Tunisia,73,2021,"Tunisia,73,2021"
Norway,4,2007,"Norway,4,2007"
India,86,2012,"India,86,2012"
Germany,1,2006,"Germany,1,2006"
Romania,5,2008,"Romania,5,2008"
Morocco,70,2009,"Morocco,70,2009"
Maldives,46,2016,"Maldives,46,2016"
Albania,20,2008,"Albania,20,2008"
Bahamas,26,2013,"Bahamas,26,2013"
Denmark,12,2019,"Denmark,12,2019"
Iceland,22,2014,"Iceland,22,2014"
Cape Verde Islands,87,2017,"Cape Verde Islands,87,2017"
Solomon Islands,37,2013,"Solomon Islands,37,2013"
Croatia,15,2014,"Croatia,15,2014"
Seychelles,32,2013,"Seychelles,32,2013"
Malaysia,22,2012,"Malaysia,22,2012"
Egypt,89,2013,"Egypt,89,2013"
Ukraine,42,2019,"Ukraine,42,2019"
Rwanda,89,2019,"Rwanda,89,2019"
Taiwan (Chinese Taipei),38,2015,"Taiwan (Chinese Taipei),38,2015"
Taiwan (Chinese Taipei),61,2021,"Taiwan (Chinese Taipei),61,2021"
Iran,104,2021,"Iran,104,2021"
South Africa,55,2010,"South Africa,55,2010"
Solomon Islands,25,2007,"Solomon Islands,25,2007"
Bangladesh,101,2021,"Bangladesh,101,2021"
Cape Verde Islands,58,2013,"Cape Verde Islands,58,2013"
Brazil,32,2013,"Brazil,32,2013"
Trinidad and Tobago,18,2016,"Trinidad and Tobago,18,2016"
Tonga,58,2021,"Tonga,58,2021"
Laos,75,2015,"Laos,75,2015"
Zambia,76,2016,"Zambia,76,2016"
Yemen,91,2006,"Yemen,91,2006"
Iraq,106,2018,"Iraq,106,2018"
Singapore,3,2013,"Singapore,3,2013"
Italy,6,2018,"Italy,6,2018"
Sri Lanka,88,2021,"Sri Lanka,88,2021"
Palestinian Territory,96,2009,"Palestinian Territory,96,2009"
Vatican City,54,2020,"Vatican City,54,2020"
Finland,3,2013,"Finland,3,2013"
Vietnam,70,2021,"Vietnam,70,2021"
Lesotho,40,2020,"Lesotho,40,2020"
United Arab Emirates,22,2008,"United Arab Emirates,22,2008"
Kiribati,50,2015,"Kiribati,50,2015"
Eritrea,94,2020,"Eritrea,94,2020"
Palau Islands,33,2013,"Palau Islands,33,2013"
Niger,82,2020,"Niger,82,2020"
New Zealand,6,2016,"New Zealand,6,2016"
Pakistan,105,2009,"Pakistan,105,2009"
Czech Republic,8,2008,"Czech Republic,8,2008"
Papua New Guinea,61,2008,"Papua New Guinea,61,2008"
Iraq,105,2020,"Iraq,105,2020"
Cuba,80,2009,"Cuba,80,2009"
Honduras,62,2010,"Honduras,62,2010"
Guyana,67,2017,"Guyana,67,2017"
Italy,1,2013,"Italy,1,2013"
Mozambique,68,2011,"Mozambique,68,2011"
Burundi,89,2013,"Burundi,89,2013"
Italy,1,2021,"Italy,1,2021"
Greece,28,2009,"Greece,28,2009"
Kyrgyzstan,68,2015,"Kyrgyzstan,68,2015"
United Kingdom,7,2021,"United Kingdom,7,2021"
Italy,7,2010,"Italy,7,2010"
Montenegro,35,2018,"Montenegro,35,2018"
Portugal,5,2021,"Portugal,5,2021"
Monaco,35,2015,"Monaco,35,2015"
Rwanda,72,2013,"Rwanda,72,2013"
Somalia,96,2011,"Somalia,96,2011"
Singapore,1,2021,"Singapore,1,2021"
Mongolia,51,2010,"Mongolia,51,2010"
Mexico,51,2021,"Mexico,51,2021"
Bahamas,6,2015,"Bahamas,6,2015"
Solomon Islands,48,2007,"Solomon Islands,48,2007"
North Macedonia,34,2007,"North Macedonia,34,2007"
Eritrea,88,2018,"Eritrea,88,2018"
Philippines,78,2013,"Philippines,78,2013"
Eritrea,83,2007,"Eritrea,83,2007"
Guatemala,36,2009,"Guatemala,36,2009"
Singapore,1,2016,"Singapore,1,2016"
Hungary,16,2018,"Hungary,16,2018"
Lithuania,22,2019,"Lithuania,22,2019"
Djibouti,83,2017,"Djibouti,83,2017"
Mauritania,82,2019,"Mauritania,82,2019"
Lebanon,95,2017,"Lebanon,95,2017"
Vanuatu,25,2013,"Vanuatu,25,2013"
Guinea-Bissau,90,2013,"Guinea-Bissau,90,2013"
Australia,20,2008,"Australia,20,2008"
Malawi,82,2018,"Malawi,82,2018"
Uganda,65,2011,"Uganda,65,2011"
Netherlands,4,2014,"Netherlands,4,2014"
El Salvador,59,2012,"El Salvador,59,2012"
Ethiopia,92,2020,"Ethiopia,92,2020"
Congo (Dem. Rep.),92,2017,"Congo (Dem. Rep.),92,2017"
Guyana,65,2014,"Guyana,65,2014"
Kuwait,55,2010,"Kuwait,55,2010"
Latvia,13,2018,"Latvia,13,2018"
Guinea,74,2013,"Guinea,74,2013"
Cambodia,79,2009,"Cambodia,79,2009"
Togo,79,2016,"Togo,79,2016"
Pakistan,94,2016,"Pakistan,94,2016"
Iran,92,2014,"Iran,92,2014"
Syria,102,2022,"Syria,102,2022"
Nigeria,83,2006,"Nigeria,83,2006"
Yemen,101,2012,"Yemen,101,2012"
Madagascar,77,2014,"Madagascar,77,2014"
Bosnia and Herzegovina,58,2006,"Bosnia and Herzegovina,58,2006"
St. Lucia,23,2013,"St. Lucia,23,2013"
Hungary,8,2020,"Hungary,8,2020"
Netherlands,7,2019,"Netherlands,7,2019"
Cuba,72,2020,"Cuba,72,2020"
North Korea,76,2018,"North Korea,76,2018"
Grenada,33,2013,"Grenada,33,2013"
Timor-Leste,44,2019,"Timor-Leste,44,2019"
Togo,75,2012,"Togo,75,2012"
Macao (SAR China),44,2022,"Macao (SAR China),44,2022"
Guinea,82,2020,"Guinea,82,2020"
Tajikistan,72,2006,"Tajikistan,72,2006"
Ireland,3,2017,"Ireland,3,2017"
Somalia,98,2020,"Somalia,98,2020"
Andorra,35,2011,"Andorra,35,2011"
Germany,2,2014,"Germany,2,2014"
Lesotho,67,2009,"Lesotho,67,2009"
Syria,105,2017,"Syria,105,2017"
Kyrgyzstan,68,2011,"Kyrgyzstan,68,2011"
Uganda,87,2010,"Uganda,87,2010"
South Africa,56,2006,"South Africa,56,2006"
Maldives,36,2016,"Maldives,36,2016"
Israel,30,2018,"Israel,30,2018"
Bulgaria,22,2020,"Bulgaria,22,2020"
Congo (Rep.),90,2010,"Congo (Rep.),90,2010"
Togo,80,2010,"Togo,80,2010"
Namibia,56,2015,"Namibia,56,2015"
Guinea,77,2008,"Guinea,77,2008"
Bangladesh,92,2007,"Bangladesh,92,2007"
Cambodia,96,2013,"Cambodia,96,2013"
Macao (SAR China),28,2014,"Macao (SAR China),28,2014"
North Korea,101,2019,"North Korea,101,2019"
Comoro Islands,88,2008,"Comoro Islands,88,2008"
Belarus,56,2007,"Belarus,56,2007"
Egypt,86,2015,"Egypt,86,2015"
Ecuador,74,2011,"Ecuador,74,2011"
Latvia,7,2008,"Latvia,7,2008"
Gabon,81,2006,"Gabon,81,2006"
Tajikistan,75,2013,"Tajikistan,75,2013"
Micronesia,36,2006,"Micronesia,36,2006"
Central African Republic,83,2014,"Central African Republic,83,2014"
Brunei,22,2012,"Brunei,22,2012"
Turkey,45,2014,"Turkey,45,2014"
Albania,26,2019,"Albania,26,2019"
Oman,77,2017,"Oman,77,2017"
