job,marital,education,demographic_info
services,single,unknown,"services,single,unknown"
housemaid,married,unknown,"housemaid,married,unknown"
management,single,secondary,"management,single,secondary"
technician,married,secondary,"technician,married,secondary"
unknown,married,secondary,"unknown,married,secondary"
retired,single,unknown,"retired,single,unknown"
services,single,secondary,"services,single,secondary"
blue-collar,divorced,unknown,"blue-collar,divorced,unknown"
self-employed,married,secondary,"self-employed,married,secondary"
self-employed,single,secondary,"self-employed,single,secondary"
self-employed,divorced,primary,"self-employed,divorced,primary"
services,divorced,secondary,"services,divorced,secondary"
services,divorced,unknown,"services,divorced,unknown"
blue-collar,married,primary,"blue-collar,married,primary"
technician,married,secondary,"technician,married,secondary"
housemaid,divorced,unknown,"housemaid,divorced,unknown"
management,single,primary,"management,single,primary"
blue-collar,divorced,secondary,"blue-collar,divorced,secondary"
student,single,tertiary,"student,single,tertiary"
self-employed,married,unknown,"self-employed,married,unknown"
management,married,unknown,"management,married,unknown"
self-employed,single,secondary,"self-employed,single,secondary"
unemployed,married,tertiary,"unemployed,married,tertiary"
unemployed,married,primary,"unemployed,married,primary"
housemaid,divorced,primary,"housemaid,divorced,primary"
technician,married,secondary,"technician,married,secondary"
admin.,single,unknown,"admin.,single,unknown"
technician,married,secondary,"technician,married,secondary"
student,divorced,secondary,"student,divorced,secondary"
retired,single,tertiary,"retired,single,tertiary"
retired,single,tertiary,"retired,single,tertiary"
entrepreneur,single,secondary,"entrepreneur,single,secondary"
unemployed,married,unknown,"unemployed,married,unknown"
entrepreneur,divorced,primary,"entrepreneur,divorced,primary"
services,divorced,tertiary,"services,divorced,tertiary"
unknown,divorced,tertiary,"unknown,divorced,tertiary"
blue-collar,married,secondary,"blue-collar,married,secondary"
entrepreneur,single,secondary,"entrepreneur,single,secondary"
housemaid,married,tertiary,"housemaid,married,tertiary"
retired,married,unknown,"retired,married,unknown"
technician,married,unknown,"technician,married,unknown"
services,divorced,secondary,"services,divorced,secondary"
student,single,secondary,"student,single,secondary"
management,single,primary,"management,single,primary"
retired,divorced,unknown,"retired,divorced,unknown"
services,single,tertiary,"services,single,tertiary"
unknown,single,tertiary,"unknown,single,tertiary"
admin.,divorced,unknown,"admin.,divorced,unknown"
retired,divorced,unknown,"retired,divorced,unknown"
retired,married,primary,"retired,married,primary"
entrepreneur,single,unknown,"entrepreneur,single,unknown"
housemaid,single,tertiary,"housemaid,single,tertiary"
retired,single,primary,"retired,single,primary"
student,married,unknown,"student,married,unknown"
entrepreneur,divorced,tertiary,"entrepreneur,divorced,tertiary"
admin.,divorced,unknown,"admin.,divorced,unknown"
retired,divorced,tertiary,"retired,divorced,tertiary"
management,married,secondary,"management,married,secondary"
blue-collar,divorced,tertiary,"blue-collar,divorced,tertiary"
self-employed,married,secondary,"self-employed,married,secondary"
retired,married,secondary,"retired,married,secondary"
blue-collar,single,secondary,"blue-collar,single,secondary"
housemaid,married,unknown,"housemaid,married,unknown"
unknown,married,tertiary,"unknown,married,tertiary"
management,divorced,tertiary,"management,divorced,tertiary"
self-employed,divorced,primary,"self-employed,divorced,primary"
unknown,married,unknown,"unknown,married,unknown"
retired,single,unknown,"retired,single,unknown"
unknown,divorced,unknown,"unknown,divorced,unknown"
management,single,tertiary,"management,single,tertiary"
self-employed,divorced,unknown,"self-employed,divorced,unknown"
student,single,secondary,"student,single,secondary"
admin.,married,tertiary,"admin.,married,tertiary"
technician,married,secondary,"technician,married,secondary"
management,divorced,primary,"management,divorced,primary"
management,divorced,tertiary,"management,divorced,tertiary"
unknown,single,secondary,"unknown,single,secondary"
retired,divorced,primary,"retired,divorced,primary"
unknown,divorced,tertiary,"unknown,divorced,tertiary"
management,divorced,tertiary,"management,divorced,tertiary"
management,divorced,primary,"management,divorced,primary"
retired,single,tertiary,"retired,single,tertiary"
unemployed,single,unknown,"unemployed,single,unknown"
self-employed,married,secondary,"self-employed,married,secondary"
admin.,married,primary,"admin.,married,primary"
retired,single,primary,"retired,single,primary"
student,divorced,primary,"student,divorced,primary"
entrepreneur,married,unknown,"entrepreneur,married,unknown"
management,divorced,secondary,"management,divorced,secondary"
self-employed,married,tertiary,"self-employed,married,tertiary"
blue-collar,married,primary,"blue-collar,married,primary"
student,married,unknown,"student,married,unknown"
retired,divorced,secondary,"retired,divorced,secondary"
management,single,secondary,"management,single,secondary"
management,single,primary,"management,single,primary"
student,single,unknown,"student,single,unknown"
housemaid,single,primary,"housemaid,single,primary"
unemployed,single,unknown,"unemployed,single,unknown"
self-employed,single,secondary,"self-employed,single,secondary"
entrepreneur,married,unknown,"entrepreneur,married,unknown"
housemaid,single,secondary,"housemaid,single,secondary"
housemaid,divorced,unknown,"housemaid,divorced,unknown"
admin.,divorced,unknown,"admin.,divorced,unknown"
management,single,tertiary,"management,single,tertiary"
admin.,married,secondary,"admin.,married,secondary"
self-employed,divorced,tertiary,"self-employed,divorced,tertiary"
technician,married,unknown,"technician,married,unknown"
blue-collar,divorced,primary,"blue-collar,divorced,primary"
admin.,divorced,tertiary,"admin.,divorced,tertiary"
admin.,married,secondary,"admin.,married,secondary"
technician,married,primary,"technician,married,primary"
unemployed,married,tertiary,"unemployed,married,tertiary"
housemaid,single,primary,"housemaid,single,primary"
unemployed,divorced,secondary,"unemployed,divorced,secondary"
housemaid,married,primary,"housemaid,married,primary"
management,single,unknown,"management,single,unknown"
housemaid,single,tertiary,"housemaid,single,tertiary"
retired,married,unknown,"retired,married,unknown"
technician,single,primary,"technician,single,primary"
student,single,secondary,"student,single,secondary"
services,married,secondary,"services,married,secondary"
unemployed,divorced,tertiary,"unemployed,divorced,tertiary"
entrepreneur,single,unknown,"entrepreneur,single,unknown"
management,single,tertiary,"management,single,tertiary"
student,single,secondary,"student,single,secondary"
housemaid,single,primary,"housemaid,single,primary"
unknown,single,primary,"unknown,single,primary"
blue-collar,married,secondary,"blue-collar,married,secondary"
admin.,divorced,primary,"admin.,divorced,primary"
self-employed,single,unknown,"self-employed,single,unknown"
blue-collar,divorced,unknown,"blue-collar,divorced,unknown"
unknown,single,secondary,"unknown,single,secondary"
blue-collar,single,primary,"blue-collar,single,primary"
student,single,unknown,"student,single,unknown"
services,single,tertiary,"services,single,tertiary"
technician,single,tertiary,"technician,single,tertiary"
management,married,secondary,"management,married,secondary"
self-employed,divorced,secondary,"self-employed,divorced,secondary"
management,divorced,secondary,"management,divorced,secondary"
services,divorced,unknown,"services,divorced,unknown"
blue-collar,divorced,primary,"blue-collar,divorced,primary"
technician,single,secondary,"technician,single,secondary"
housemaid,married,tertiary,"housemaid,married,tertiary"
student,divorced,secondary,"student,divorced,secondary"
self-employed,single,unknown,"self-employed,single,unknown"
self-employed,single,tertiary,"self-employed,single,tertiary"
technician,married,tertiary,"technician,married,tertiary"
entrepreneur,single,secondary,"entrepreneur,single,secondary"
management,married,secondary,"management,married,secondary"
services,married,primary,"services,married,primary"
self-employed,married,unknown,"self-employed,married,unknown"
blue-collar,divorced,secondary,"blue-collar,divorced,secondary"
unknown,married,primary,"unknown,married,primary"
blue-collar,divorced,unknown,"blue-collar,divorced,unknown"
entrepreneur,single,primary,"entrepreneur,single,primary"
retired,married,primary,"retired,married,primary"
admin.,married,secondary,"admin.,married,secondary"
management,divorced,tertiary,"management,divorced,tertiary"
student,married,tertiary,"student,married,tertiary"
unemployed,married,secondary,"unemployed,married,secondary"
entrepreneur,married,primary,"entrepreneur,married,primary"
retired,married,secondary,"retired,married,secondary"
unemployed,single,secondary,"unemployed,single,secondary"
management,married,tertiary,"management,married,tertiary"
entrepreneur,single,tertiary,"entrepreneur,single,tertiary"
unemployed,married,unknown,"unemployed,married,unknown"
unknown,married,primary,"unknown,married,primary"
student,married,primary,"student,married,primary"
housemaid,divorced,secondary,"housemaid,divorced,secondary"
entrepreneur,married,primary,"entrepreneur,married,primary"
housemaid,divorced,primary,"housemaid,divorced,primary"
unknown,divorced,secondary,"unknown,divorced,secondary"
entrepreneur,married,unknown,"entrepreneur,married,unknown"
self-employed,married,secondary,"self-employed,married,secondary"
services,single,secondary,"services,single,secondary"
management,married,tertiary,"management,married,tertiary"
housemaid,married,secondary,"housemaid,married,secondary"
management,divorced,tertiary,"management,divorced,tertiary"
entrepreneur,single,secondary,"entrepreneur,single,secondary"
entrepreneur,married,unknown,"entrepreneur,married,unknown"
entrepreneur,single,secondary,"entrepreneur,single,secondary"
management,married,primary,"management,married,primary"
management,married,secondary,"management,married,secondary"
admin.,married,tertiary,"admin.,married,tertiary"
services,married,unknown,"services,married,unknown"
admin.,single,secondary,"admin.,single,secondary"
technician,married,unknown,"technician,married,unknown"
management,single,primary,"management,single,primary"
admin.,married,primary,"admin.,married,primary"
technician,married,tertiary,"technician,married,tertiary"
entrepreneur,married,primary,"entrepreneur,married,primary"
services,divorced,tertiary,"services,divorced,tertiary"
entrepreneur,single,tertiary,"entrepreneur,single,tertiary"
entrepreneur,married,unknown,"entrepreneur,married,unknown"
housemaid,divorced,tertiary,"housemaid,divorced,tertiary"
student,single,tertiary,"student,single,tertiary"
unemployed,divorced,primary,"unemployed,divorced,primary"
unemployed,married,secondary,"unemployed,married,secondary"
student,single,tertiary,"student,single,tertiary"
blue-collar,single,primary,"blue-collar,single,primary"
management,married,secondary,"management,married,secondary"
blue-collar,married,secondary,"blue-collar,married,secondary"
unemployed,divorced,secondary,"unemployed,divorced,secondary"
housemaid,married,unknown,"housemaid,married,unknown"
entrepreneur,divorced,tertiary,"entrepreneur,divorced,tertiary"
services,divorced,unknown,"services,divorced,unknown"
technician,married,primary,"technician,married,primary"
technician,single,primary,"technician,single,primary"
housemaid,single,secondary,"housemaid,single,secondary"
entrepreneur,married,primary,"entrepreneur,married,primary"
unknown,married,tertiary,"unknown,married,tertiary"
housemaid,single,primary,"housemaid,single,primary"
technician,divorced,unknown,"technician,divorced,unknown"
services,single,primary,"services,single,primary"
services,single,tertiary,"services,single,tertiary"
services,single,unknown,"services,single,unknown"
unknown,single,primary,"unknown,single,primary"
self-employed,divorced,primary,"self-employed,divorced,primary"
retired,single,secondary,"retired,single,secondary"
self-employed,married,secondary,"self-employed,married,secondary"
blue-collar,married,tertiary,"blue-collar,married,tertiary"
retired,single,tertiary,"retired,single,tertiary"
student,single,secondary,"student,single,secondary"
services,married,unknown,"services,married,unknown"
retired,single,secondary,"retired,single,secondary"
blue-collar,single,primary,"blue-collar,single,primary"
unknown,married,unknown,"unknown,married,unknown"
retired,married,unknown,"retired,married,unknown"
technician,married,tertiary,"technician,married,tertiary"
management,married,tertiary,"management,married,tertiary"
unknown,married,tertiary,"unknown,married,tertiary"
housemaid,divorced,tertiary,"housemaid,divorced,tertiary"
services,single,unknown,"services,single,unknown"
housemaid,single,unknown,"housemaid,single,unknown"
unemployed,divorced,secondary,"unemployed,divorced,secondary"
entrepreneur,married,unknown,"entrepreneur,married,unknown"
self-employed,married,secondary,"self-employed,married,secondary"
unemployed,divorced,tertiary,"unemployed,divorced,tertiary"
unemployed,divorced,unknown,"unemployed,divorced,unknown"
entrepreneur,single,tertiary,"entrepreneur,single,tertiary"
entrepreneur,divorced,unknown,"entrepreneur,divorced,unknown"
admin.,divorced,primary,"admin.,divorced,primary"
admin.,single,secondary,"admin.,single,secondary"
management,divorced,secondary,"management,divorced,secondary"
unemployed,divorced,secondary,"unemployed,divorced,secondary"
services,divorced,secondary,"services,divorced,secondary"
entrepreneur,married,primary,"entrepreneur,married,primary"
unemployed,single,tertiary,"unemployed,single,tertiary"
unemployed,married,secondary,"unemployed,married,secondary"
entrepreneur,single,primary,"entrepreneur,single,primary"
management,single,secondary,"management,single,secondary"
blue-collar,divorced,unknown,"blue-collar,divorced,unknown"
self-employed,single,secondary,"self-employed,single,secondary"
technician,divorced,primary,"technician,divorced,primary"
admin.,divorced,tertiary,"admin.,divorced,tertiary"
services,single,primary,"services,single,primary"
retired,married,tertiary,"retired,married,tertiary"
unemployed,divorced,secondary,"unemployed,divorced,secondary"
self-employed,divorced,tertiary,"self-employed,divorced,tertiary"
technician,single,secondary,"technician,single,secondary"
management,divorced,primary,"management,divorced,primary"
student,married,tertiary,"student,married,tertiary"
services,single,unknown,"services,single,unknown"
self-employed,divorced,tertiary,"self-employed,divorced,tertiary"
unemployed,single,secondary,"unemployed,single,secondary"
services,divorced,unknown,"services,divorced,unknown"
housemaid,single,primary,"housemaid,single,primary"
entrepreneur,married,tertiary,"entrepreneur,married,tertiary"
admin.,single,tertiary,"admin.,single,tertiary"
technician,divorced,secondary,"technician,divorced,secondary"
management,divorced,unknown,"management,divorced,unknown"
admin.,divorced,primary,"admin.,divorced,primary"
technician,divorced,secondary,"technician,divorced,secondary"
self-employed,married,tertiary,"self-employed,married,tertiary"
admin.,divorced,secondary,"admin.,divorced,secondary"
self-employed,divorced,unknown,"self-employed,divorced,unknown"
unemployed,single,unknown,"unemployed,single,unknown"
entrepreneur,single,unknown,"entrepreneur,single,unknown"
self-employed,divorced,tertiary,"self-employed,divorced,tertiary"
admin.,single,unknown,"admin.,single,unknown"
entrepreneur,married,tertiary,"entrepreneur,married,tertiary"
student,divorced,secondary,"student,divorced,secondary"
housemaid,single,primary,"housemaid,single,primary"
retired,divorced,unknown,"retired,divorced,unknown"
technician,married,primary,"technician,married,primary"
technician,married,unknown,"technician,married,unknown"
admin.,single,unknown,"admin.,single,unknown"
blue-collar,single,unknown,"blue-collar,single,unknown"
technician,divorced,secondary,"technician,divorced,secondary"
technician,divorced,tertiary,"technician,divorced,tertiary"
blue-collar,married,unknown,"blue-collar,married,unknown"
services,divorced,unknown,"services,divorced,unknown"
unknown,married,primary,"unknown,married,primary"
management,married,tertiary,"management,married,tertiary"
management,married,unknown,"management,married,unknown"
technician,married,unknown,"technician,married,unknown"
housemaid,married,tertiary,"housemaid,married,tertiary"
retired,single,secondary,"retired,single,secondary"
self-employed,married,secondary,"self-employed,married,secondary"
technician,single,tertiary,"technician,single,tertiary"
retired,married,tertiary,"retired,married,tertiary"
admin.,single,unknown,"admin.,single,unknown"
student,single,secondary,"student,single,secondary"
student,married,primary,"student,married,primary"
retired,single,unknown,"retired,single,unknown"
services,single,unknown,"services,single,unknown"
retired,married,unknown,"retired,married,unknown"
unknown,married,tertiary,"unknown,married,tertiary"
retired,single,unknown,"retired,single,unknown"
technician,divorced,primary,"technician,divorced,primary"
services,married,tertiary,"services,married,tertiary"
technician,divorced,tertiary,"technician,divorced,tertiary"
management,married,secondary,"management,married,secondary"
self-employed,married,tertiary,"self-employed,married,tertiary"
student,single,unknown,"student,single,unknown"
retired,married,secondary,"retired,married,secondary"
technician,divorced,secondary,"technician,divorced,secondary"
entrepreneur,single,unknown,"entrepreneur,single,unknown"
admin.,divorced,tertiary,"admin.,divorced,tertiary"
management,divorced,tertiary,"management,divorced,tertiary"
unemployed,divorced,secondary,"unemployed,divorced,secondary"
services,married,tertiary,"services,married,tertiary"
blue-collar,divorced,primary,"blue-collar,divorced,primary"
housemaid,married,tertiary,"housemaid,married,tertiary"
admin.,divorced,tertiary,"admin.,divorced,tertiary"
technician,single,tertiary,"technician,single,tertiary"
entrepreneur,single,tertiary,"entrepreneur,single,tertiary"
entrepreneur,single,tertiary,"entrepreneur,single,tertiary"
retired,married,secondary,"retired,married,secondary"
student,single,tertiary,"student,single,tertiary"
admin.,divorced,unknown,"admin.,divorced,unknown"
unemployed,single,primary,"unemployed,single,primary"
services,single,primary,"services,single,primary"
student,single,tertiary,"student,single,tertiary"
management,single,unknown,"management,single,unknown"
entrepreneur,divorced,primary,"entrepreneur,divorced,primary"
services,divorced,tertiary,"services,divorced,tertiary"
technician,married,tertiary,"technician,married,tertiary"
entrepreneur,divorced,primary,"entrepreneur,divorced,primary"
unknown,married,tertiary,"unknown,married,tertiary"
services,divorced,primary,"services,divorced,primary"
entrepreneur,divorced,primary,"entrepreneur,divorced,primary"
services,married,unknown,"services,married,unknown"
services,divorced,unknown,"services,divorced,unknown"
admin.,divorced,unknown,"admin.,divorced,unknown"
self-employed,single,tertiary,"self-employed,single,tertiary"
management,married,primary,"management,married,primary"
services,divorced,primary,"services,divorced,primary"
technician,married,unknown,"technician,married,unknown"
management,divorced,unknown,"management,divorced,unknown"
technician,single,primary,"technician,single,primary"
services,single,secondary,"services,single,secondary"
technician,divorced,tertiary,"technician,divorced,tertiary"
admin.,single,unknown,"admin.,single,unknown"
retired,married,secondary,"retired,married,secondary"
unknown,divorced,primary,"unknown,divorced,primary"
technician,single,tertiary,"technician,single,tertiary"
admin.,divorced,tertiary,"admin.,divorced,tertiary"
management,married,secondary,"management,married,secondary"
blue-collar,divorced,secondary,"blue-collar,divorced,secondary"
services,single,secondary,"services,single,secondary"
admin.,married,unknown,"admin.,married,unknown"
retired,married,unknown,"retired,married,unknown"
retired,single,secondary,"retired,single,secondary"
entrepreneur,single,primary,"entrepreneur,single,primary"
unknown,single,secondary,"unknown,single,secondary"
technician,married,secondary,"technician,married,secondary"
services,single,secondary,"services,single,secondary"
services,single,primary,"services,single,primary"
housemaid,married,unknown,"housemaid,married,unknown"
self-employed,divorced,secondary,"self-employed,divorced,secondary"
retired,divorced,secondary,"retired,divorced,secondary"
student,single,tertiary,"student,single,tertiary"
management,single,secondary,"management,single,secondary"
self-employed,divorced,primary,"self-employed,divorced,primary"
admin.,single,unknown,"admin.,single,unknown"
retired,single,tertiary,"retired,single,tertiary"
entrepreneur,married,primary,"entrepreneur,married,primary"
self-employed,married,primary,"self-employed,married,primary"
technician,single,unknown,"technician,single,unknown"
housemaid,married,primary,"housemaid,married,primary"
housemaid,married,unknown,"housemaid,married,unknown"
management,single,unknown,"management,single,unknown"
unknown,married,unknown,"unknown,married,unknown"
student,married,unknown,"student,married,unknown"
unemployed,single,unknown,"unemployed,single,unknown"
unknown,married,unknown,"unknown,married,unknown"
services,single,secondary,"services,single,secondary"
management,divorced,secondary,"management,divorced,secondary"
housemaid,married,tertiary,"housemaid,married,tertiary"
housemaid,married,tertiary,"housemaid,married,tertiary"
unknown,single,secondary,"unknown,single,secondary"
self-employed,married,secondary,"self-employed,married,secondary"
unknown,married,tertiary,"unknown,married,tertiary"
services,divorced,secondary,"services,divorced,secondary"
self-employed,divorced,tertiary,"self-employed,divorced,tertiary"
entrepreneur,single,tertiary,"entrepreneur,single,tertiary"
technician,divorced,tertiary,"technician,divorced,tertiary"
student,married,primary,"student,married,primary"
blue-collar,single,unknown,"blue-collar,single,unknown"
unemployed,married,unknown,"unemployed,married,unknown"
management,single,secondary,"management,single,secondary"
unemployed,single,unknown,"unemployed,single,unknown"
unknown,married,secondary,"unknown,married,secondary"
self-employed,married,primary,"self-employed,married,primary"
self-employed,single,unknown,"self-employed,single,unknown"
admin.,married,primary,"admin.,married,primary"
management,married,secondary,"management,married,secondary"
self-employed,married,tertiary,"self-employed,married,tertiary"
management,married,secondary,"management,married,secondary"
admin.,single,primary,"admin.,single,primary"
self-employed,married,primary,"self-employed,married,primary"
self-employed,divorced,secondary,"self-employed,divorced,secondary"
services,married,tertiary,"services,married,tertiary"
self-employed,divorced,tertiary,"self-employed,divorced,tertiary"
entrepreneur,divorced,secondary,"entrepreneur,divorced,secondary"
services,married,unknown,"services,married,unknown"
retired,single,secondary,"retired,single,secondary"
management,divorced,unknown,"management,divorced,unknown"
entrepreneur,divorced,unknown,"entrepreneur,divorced,unknown"
housemaid,married,secondary,"housemaid,married,secondary"
self-employed,single,tertiary,"self-employed,single,tertiary"
blue-collar,married,unknown,"blue-collar,married,unknown"
student,married,primary,"student,married,primary"
admin.,single,tertiary,"admin.,single,tertiary"
admin.,divorced,unknown,"admin.,divorced,unknown"
retired,married,secondary,"retired,married,secondary"
self-employed,divorced,tertiary,"self-employed,divorced,tertiary"
unknown,single,tertiary,"unknown,single,tertiary"
blue-collar,married,tertiary,"blue-collar,married,tertiary"
admin.,married,tertiary,"admin.,married,tertiary"
retired,married,primary,"retired,married,primary"
admin.,single,unknown,"admin.,single,unknown"
entrepreneur,single,unknown,"entrepreneur,single,unknown"
blue-collar,divorced,tertiary,"blue-collar,divorced,tertiary"
technician,married,tertiary,"technician,married,tertiary"
services,single,tertiary,"services,single,tertiary"
admin.,single,unknown,"admin.,single,unknown"
self-employed,married,tertiary,"self-employed,married,tertiary"
self-employed,married,unknown,"self-employed,married,unknown"
management,married,secondary,"management,married,secondary"
retired,divorced,tertiary,"retired,divorced,tertiary"
admin.,married,unknown,"admin.,married,unknown"
retired,divorced,tertiary,"retired,divorced,tertiary"
unknown,married,unknown,"unknown,married,unknown"
services,divorced,primary,"services,divorced,primary"
technician,married,unknown,"technician,married,unknown"
unemployed,single,primary,"unemployed,single,primary"
management,married,secondary,"management,married,secondary"
retired,married,secondary,"retired,married,secondary"
entrepreneur,married,secondary,"entrepreneur,married,secondary"
housemaid,divorced,secondary,"housemaid,divorced,secondary"
housemaid,divorced,unknown,"housemaid,divorced,unknown"
housemaid,single,tertiary,"housemaid,single,tertiary"
blue-collar,divorced,primary,"blue-collar,divorced,primary"
entrepreneur,divorced,tertiary,"entrepreneur,divorced,tertiary"
housemaid,single,tertiary,"housemaid,single,tertiary"
self-employed,married,unknown,"self-employed,married,unknown"
management,single,tertiary,"management,single,tertiary"
retired,single,unknown,"retired,single,unknown"
technician,divorced,unknown,"technician,divorced,unknown"
self-employed,single,unknown,"self-employed,single,unknown"
unknown,single,unknown,"unknown,single,unknown"
blue-collar,married,tertiary,"blue-collar,married,tertiary"
management,married,primary,"management,married,primary"
self-employed,single,tertiary,"self-employed,single,tertiary"
services,married,tertiary,"services,married,tertiary"
management,married,unknown,"management,married,unknown"
management,single,secondary,"management,single,secondary"
services,single,unknown,"services,single,unknown"
unknown,divorced,unknown,"unknown,divorced,unknown"
unemployed,single,tertiary,"unemployed,single,tertiary"
technician,married,tertiary,"technician,married,tertiary"
housemaid,single,unknown,"housemaid,single,unknown"
management,divorced,primary,"management,divorced,primary"
housemaid,married,secondary,"housemaid,married,secondary"
entrepreneur,married,unknown,"entrepreneur,married,unknown"
admin.,divorced,unknown,"admin.,divorced,unknown"
unemployed,married,secondary,"unemployed,married,secondary"
retired,single,secondary,"retired,single,secondary"
technician,divorced,secondary,"technician,divorced,secondary"
admin.,single,secondary,"admin.,single,secondary"
services,divorced,unknown,"services,divorced,unknown"
admin.,divorced,unknown,"admin.,divorced,unknown"
entrepreneur,single,secondary,"entrepreneur,single,secondary"
technician,single,secondary,"technician,single,secondary"
retired,single,tertiary,"retired,single,tertiary"
unemployed,divorced,tertiary,"unemployed,divorced,tertiary"
services,divorced,unknown,"services,divorced,unknown"
technician,single,unknown,"technician,single,unknown"
housemaid,married,tertiary,"housemaid,married,tertiary"
technician,divorced,primary,"technician,divorced,primary"
services,single,secondary,"services,single,secondary"
admin.,single,tertiary,"admin.,single,tertiary"
student,married,tertiary,"student,married,tertiary"
student,married,secondary,"student,married,secondary"
housemaid,married,unknown,"housemaid,married,unknown"
entrepreneur,married,tertiary,"entrepreneur,married,tertiary"
housemaid,divorced,tertiary,"housemaid,divorced,tertiary"
unemployed,divorced,secondary,"unemployed,divorced,secondary"
technician,divorced,tertiary,"technician,divorced,tertiary"
retired,married,unknown,"retired,married,unknown"
blue-collar,married,secondary,"blue-collar,married,secondary"
blue-collar,married,unknown,"blue-collar,married,unknown"
technician,married,primary,"technician,married,primary"
management,divorced,tertiary,"management,divorced,tertiary"
self-employed,single,unknown,"self-employed,single,unknown"
student,married,tertiary,"student,married,tertiary"
technician,divorced,secondary,"technician,divorced,secondary"
services,single,tertiary,"services,single,tertiary"
technician,single,tertiary,"technician,single,tertiary"
services,single,secondary,"services,single,secondary"
management,married,tertiary,"management,married,tertiary"
entrepreneur,divorced,primary,"entrepreneur,divorced,primary"
blue-collar,married,primary,"blue-collar,married,primary"
student,married,primary,"student,married,primary"
housemaid,divorced,unknown,"housemaid,divorced,unknown"
management,single,tertiary,"management,single,tertiary"
student,married,unknown,"student,married,unknown"
management,divorced,secondary,"management,divorced,secondary"
services,married,secondary,"services,married,secondary"
technician,married,secondary,"technician,married,secondary"
self-employed,married,secondary,"self-employed,married,secondary"
retired,married,secondary,"retired,married,secondary"
technician,divorced,primary,"technician,divorced,primary"
retired,single,unknown,"retired,single,unknown"
retired,married,secondary,"retired,married,secondary"
blue-collar,single,tertiary,"blue-collar,single,tertiary"
blue-collar,single,secondary,"blue-collar,single,secondary"
admin.,single,tertiary,"admin.,single,tertiary"
entrepreneur,single,unknown,"entrepreneur,single,unknown"
services,divorced,tertiary,"services,divorced,tertiary"
blue-collar,single,unknown,"blue-collar,single,unknown"
self-employed,married,unknown,"self-employed,married,unknown"
unemployed,single,unknown,"unemployed,single,unknown"
admin.,single,secondary,"admin.,single,secondary"
unknown,married,tertiary,"unknown,married,tertiary"
management,married,unknown,"management,married,unknown"
management,married,unknown,"management,married,unknown"
unknown,married,tertiary,"unknown,married,tertiary"
housemaid,divorced,unknown,"housemaid,divorced,unknown"
blue-collar,married,tertiary,"blue-collar,married,tertiary"
admin.,single,unknown,"admin.,single,unknown"
services,single,tertiary,"services,single,tertiary"
entrepreneur,single,unknown,"entrepreneur,single,unknown"
blue-collar,single,secondary,"blue-collar,single,secondary"
technician,married,secondary,"technician,married,secondary"
unknown,married,secondary,"unknown,married,secondary"
technician,single,unknown,"technician,single,unknown"
retired,married,secondary,"retired,married,secondary"
retired,married,unknown,"retired,married,unknown"
blue-collar,single,secondary,"blue-collar,single,secondary"
management,married,primary,"management,married,primary"
self-employed,married,secondary,"self-employed,married,secondary"
management,married,secondary,"management,married,secondary"
housemaid,single,unknown,"housemaid,single,unknown"
unknown,single,tertiary,"unknown,single,tertiary"
self-employed,married,tertiary,"self-employed,married,tertiary"
self-employed,divorced,tertiary,"self-employed,divorced,tertiary"
unemployed,single,secondary,"unemployed,single,secondary"
blue-collar,divorced,unknown,"blue-collar,divorced,unknown"
admin.,married,unknown,"admin.,married,unknown"
entrepreneur,married,unknown,"entrepreneur,married,unknown"
unemployed,married,tertiary,"unemployed,married,tertiary"
self-employed,single,primary,"self-employed,single,primary"
admin.,divorced,unknown,"admin.,divorced,unknown"
student,married,unknown,"student,married,unknown"
services,divorced,secondary,"services,divorced,secondary"
technician,single,primary,"technician,single,primary"
services,single,tertiary,"services,single,tertiary"
retired,divorced,secondary,"retired,divorced,secondary"
housemaid,divorced,secondary,"housemaid,divorced,secondary"
entrepreneur,single,unknown,"entrepreneur,single,unknown"
management,married,secondary,"management,married,secondary"
services,single,unknown,"services,single,unknown"
admin.,single,secondary,"admin.,single,secondary"
technician,single,primary,"technician,single,primary"
unknown,married,secondary,"unknown,married,secondary"
technician,single,unknown,"technician,single,unknown"
management,married,primary,"management,married,primary"
admin.,single,secondary,"admin.,single,secondary"
student,single,secondary,"student,single,secondary"
self-employed,divorced,secondary,"self-employed,divorced,secondary"
blue-collar,married,primary,"blue-collar,married,primary"
retired,single,unknown,"retired,single,unknown"
blue-collar,single,unknown,"blue-collar,single,unknown"
technician,married,unknown,"technician,married,unknown"
services,divorced,tertiary,"services,divorced,tertiary"
management,single,secondary,"management,single,secondary"
entrepreneur,single,unknown,"entrepreneur,single,unknown"
unknown,married,unknown,"unknown,married,unknown"
unknown,divorced,unknown,"unknown,divorced,unknown"
services,divorced,primary,"services,divorced,primary"
student,single,unknown,"student,single,unknown"
unknown,single,unknown,"unknown,single,unknown"
management,divorced,tertiary,"management,divorced,tertiary"
housemaid,single,unknown,"housemaid,single,unknown"
student,single,primary,"student,single,primary"
entrepreneur,married,primary,"entrepreneur,married,primary"
blue-collar,married,secondary,"blue-collar,married,secondary"
retired,divorced,tertiary,"retired,divorced,tertiary"
self-employed,single,secondary,"self-employed,single,secondary"
retired,single,tertiary,"retired,single,tertiary"
technician,divorced,unknown,"technician,divorced,unknown"
blue-collar,married,tertiary,"blue-collar,married,tertiary"
